
[00:00:00.000 --> 00:00:04.360]  (主席)很開心也很感恩今天可以在復活節第七個主日
[00:00:04.360 --> 00:00:06.460]  在這裡跟大家一起崇拜
[00:00:06.460 --> 00:00:10.760]  並且分享和咀嚼上帝的話
[00:00:10.760 --> 00:00:12.880]  按照教會的年齡
[00:00:12.880 --> 00:00:16.320]  今天是復活節期的第七個主日
[00:00:16.320 --> 00:00:20.400]  或者叫做升天日後的主日
[00:00:20.400 --> 00:00:26.320]  是大公教會聚焦在耶穌基督的復活事件的最後一個主日
[00:00:26.320 --> 00:00:30.040]  事實上下星期已經是聖靈降臨的主日
[00:00:30.040 --> 00:00:33.560]  亦開始思想聖靈的降臨
[00:00:33.560 --> 00:00:34.920]  以至初期教會
[00:00:34.920 --> 00:00:39.200]  以至日後教會的教會運動正式的展開
[00:00:39.200 --> 00:00:45.240]  於是乎我們今天是在中間的時間裏面
[00:00:45.240 --> 00:00:49.480]  我們這個中間時間就居於在復活這個事件
[00:00:49.480 --> 00:00:53.080]  和聖靈降臨的事件中間
[00:00:53.080 --> 00:00:57.200]  大家知道復活是我們基督的信仰
[00:00:57.200 --> 00:01:00.440]  盼望的最重要的地方
[00:01:00.440 --> 00:01:03.800]  在聖經裏面有很多地方提到盼望的重要性
[00:01:03.800 --> 00:01:07.720]  譬如保羅在哥倫多前書第十五章那裏
[00:01:07.720 --> 00:01:09.480]  直接是說到
[00:01:09.480 --> 00:01:13.080]  「基督若沒有復活,你們的信便是徒然」
[00:01:13.080 --> 00:01:16.360]  「我們若靠基督,只在今生有指望」
[00:01:16.360 --> 00:01:20.400]  「就算比眾人更可憐,若死人不復活」
[00:01:20.400 --> 00:01:22.400]  「我們就吃吃喝喝罷」
[00:01:22.400 --> 00:01:25.320]  「因為明天要死了」
[00:01:25.320 --> 00:01:28.680]  所以我們整個信仰
[00:01:28.680 --> 00:01:30.720]  自有基督教的信仰以來
[00:01:30.720 --> 00:01:34.640]  其實盼望都是重中之重的
[00:01:34.640 --> 00:01:37.120]  不過我估計如果我們生活在香港
[00:01:37.120 --> 00:01:40.040]  尤其是我們過往的十年八載
[00:01:40.040 --> 00:01:42.040]  都是生活在香港的時候
[00:01:42.040 --> 00:01:46.120]  我估計我們不單止覺得盼望是重中之重
[00:01:46.120 --> 00:01:50.000]  並且重中之重的是最重要的東西
[00:01:50.000 --> 00:01:52.200]  在過往的十年八載裏面
[00:01:52.200 --> 00:01:55.840]  香港經歷了前所未有的變化
[00:01:55.840 --> 00:01:58.560]  很多人覺得香港的核心價值
[00:01:58.560 --> 00:02:02.280]  以至香港賴以成為香港的一些素質
[00:02:02.280 --> 00:02:04.360]  制度,並且文化
[00:02:04.360 --> 00:02:06.000]  是方方面面
[00:02:06.000 --> 00:02:10.080]  過往的十年八載都受到很多不同的挑戰
[00:02:10.080 --> 00:02:11.480]  很多不同的威脅
[00:02:11.480 --> 00:02:14.360]  甚至有人覺得是破壞
[00:02:14.360 --> 00:02:19.720]  以致我們年輕人看不到前路的光明
[00:02:19.720 --> 00:02:23.280]  不少的成年人都好像很害怕
[00:02:23.280 --> 00:02:26.320]  好像害怕著一覺醒來
[00:02:26.320 --> 00:02:30.160]  發現香港再不是我們認識的香港一樣
[00:02:30.160 --> 00:02:35.120]  於是乎很多人都起來盡一些努力
[00:02:35.120 --> 00:02:38.280]  嘗試保存著獅子山下
[00:02:38.280 --> 00:02:42.000]  不過很多的柔和的舉措也好
[00:02:42.000 --> 00:02:44.200]  或者是激烈的行動也好
[00:02:44.200 --> 00:02:46.200]  似乎都是沒有什麼成效
[00:02:46.200 --> 00:02:48.320]  都是屢戰屢敗的
[00:02:48.320 --> 00:02:50.840]  情況就好像失控
[00:02:50.840 --> 00:02:53.840]  或者是脫繩馬騮一樣失控
[00:02:53.840 --> 00:02:57.040]  情況好像是一天比一天差
[00:02:57.040 --> 00:03:00.960]  在當中人好像是越來越無奈
[00:03:00.960 --> 00:03:04.360]  無能感在香港瀰漫著
[00:03:04.360 --> 00:03:08.440]  並且是幾何級數地滋長
[00:03:08.440 --> 00:03:09.840]  我們每個人都知道
[00:03:09.840 --> 00:03:15.480]  無能感其實是消磨盼望的最佳燃料
[00:03:15.480 --> 00:03:17.640]  有很多不同的研究指出
[00:03:17.640 --> 00:03:19.320]  一些所謂充滿盼望的人
[00:03:19.320 --> 00:03:21.320]  或者叫做high hopper
[00:03:21.320 --> 00:03:25.640]  裏面都是有一股很強勁的一種
[00:03:25.640 --> 00:03:27.800]  所謂的能動感
[00:03:27.800 --> 00:03:29.800]  sense of agency
[00:03:29.800 --> 00:03:32.560]  就是說充滿著盼望的人
[00:03:32.560 --> 00:03:36.120]  會覺得自己是有能為力的
