
[00:00:00.000 --> 00:00:04.000]  大英姐妹平安,我們一起祈禱!
[00:00:04.000 --> 00:00:10.000]  真是如何?感謝你自己的恩典,讓我們在主耶穌的清晨可以聚集,來敬拜你!
[00:00:10.000 --> 00:00:15.000]  可以思想你的話語,聆聽你的解釋,
[00:00:15.000 --> 00:00:18.000]  請我們求聖靈在我們當中幫助我們,
[00:00:18.000 --> 00:00:25.000]  讓我們從聖經的記載裡面有好好的學習,應用在我們日常的生活當中,
[00:00:25.000 --> 00:00:28.000]  奉耶穌基督的名祈禱!阿們!
[00:00:29.000 --> 00:00:35.000]  最近我們都在看《創世紀》當中的家庭故事,
[00:00:35.000 --> 00:00:41.000]  我們已經看過阿巴拉罕,他是信心的偉人,
[00:00:41.000 --> 00:00:44.000]  但他不是一位完全的人,
[00:00:44.000 --> 00:00:49.000]  他曾經說謊,也曾經缺乏信心,
[00:00:49.000 --> 00:00:57.000]  聽了太太的建議,娶了太太的婢女做妾侍,
[00:00:57.000 --> 00:01:00.000]  生了一位兒子,以薩瑪尼。
[00:01:00.000 --> 00:01:06.000]  上次我又和大家分享了以薩一家四口的故事,
[00:01:06.000 --> 00:01:10.000]  他們每個人都做了一些很糟糕的決定,
[00:01:10.000 --> 00:01:14.000]  上帝雖然沒有出手阻止他們的決定,
[00:01:14.000 --> 00:01:20.000]  但還是要他們為自己的糟糕決定付上代價。
[00:01:20.000 --> 00:01:27.000]  對阿國來說,他用欺騙的手段取得了父親的祝福,
[00:01:27.000 --> 00:01:30.000]  他就要離開家人,
[00:01:30.000 --> 00:01:36.000]  去到舅父家裡逃避哥哥以掃的報復。
[00:01:36.000 --> 00:01:43.000]  他這次去不是去旅行,一去就去了差不多二十年。
[00:01:43.000 --> 00:01:47.000]  當他再回到家鄉的時候,
[00:01:47.000 --> 00:01:51.000]  偏愛他的媽媽利伯嘉,
[00:01:51.000 --> 00:01:54.000]  相信已經死了。
[00:01:54.000 --> 00:01:58.000]  因為聖經沒有記載阿國回鄉之後去見他媽媽,
[00:01:58.000 --> 00:02:01.000]  也沒有記載他埋葬他媽媽,
