
[00:00:00.000 --> 00:00:02.040]  約翰福音十九章
[00:00:02.040 --> 00:00:04.840]  從二十五節讀到第二十七節
[00:00:04.840 --> 00:00:08.880]  這裏說站在耶穌十字架旁邊的
[00:00:08.880 --> 00:00:11.560]  有祂的母親和母親的姐妹
[00:00:11.560 --> 00:00:13.920]  並格羅巴的妻子瑪利亞
[00:00:13.920 --> 00:00:16.280]  和莫大拉的瑪利亞
[00:00:16.280 --> 00:00:19.800]  耶穌見母親和祂所愛的那門徒站在旁邊
[00:00:19.800 --> 00:00:21.520]  就對祂母親說
[00:00:21.520 --> 00:00:24.520]  母親看你的兒子
[00:00:24.520 --> 00:00:27.560]  又對那門徒說看你的母親
[00:00:27.560 --> 00:00:31.440]  從此那門徒就接他到自己家裏去了
[00:00:31.440 --> 00:00:33.640]  我們就讀到這裏
[00:00:33.640 --> 00:00:35.800]  今天很多人看到我第一句話都是說
[00:00:35.800 --> 00:00:39.320]  劉牧師你怎麼變得那麼黑呀
[00:00:39.320 --> 00:00:41.040]  沒錯上兩個禮拜
[00:00:41.040 --> 00:00:44.280]  我們全家到希臘羣島去度假
[00:00:44.280 --> 00:00:46.680]  那邊的景色實在太美麗了
[00:00:46.680 --> 00:00:49.600]  每天爲了趕景點
[00:00:49.600 --> 00:00:53.240]  在太陽之下我們走路爬坡
[00:00:53.240 --> 00:00:56.960]  不知不覺之間就變成小黑炭了
[00:00:56.960 --> 00:00:59.920]  不過感謝神對我跟師母來講
[00:00:59.920 --> 00:01:01.960]  也給我們很好的bonus
[00:01:01.960 --> 00:01:05.440]  那就經過兩個禮拜強迫運動
[00:01:05.440 --> 00:01:07.160]  現在我們兩個人身體都很健壯
[00:01:07.160 --> 00:01:12.160]  Hallelujah
[00:01:12.160 --> 00:01:13.200]  今天是母親節
[00:01:13.200 --> 00:01:16.880]  在這裏也是首先恭賀在座的每一位偉大的母親
[00:01:16.880 --> 00:01:19.360]  母親節非常非常非常快樂
[00:01:19.360 --> 00:01:21.160]  Amen
[00:01:21.160 --> 00:01:23.520]  你知道很多時候我們領受母親的愛
[00:01:23.520 --> 00:01:25.120]  我們常常習以爲常
[00:01:25.120 --> 00:01:27.240]  母親節的時候最多我們給一個卡片
[00:01:27.240 --> 00:01:28.600]  請喫一頓飯
[00:01:28.600 --> 00:01:30.000]  我們就覺得就算了
[00:01:30.000 --> 00:01:31.720]  沒什麼覺得很特別
[00:01:31.720 --> 00:01:33.720]  但事實上我們看見
[00:01:33.720 --> 00:01:36.680]  母親在我們一生當中的影響是非常大
[00:01:36.680 --> 00:01:39.320]  是超過我們所能夠表達的
[00:01:39.320 --> 00:01:42.200]  我們從小長大直到如今
[00:01:42.200 --> 00:01:45.920]  母親的愛在我們身上是永不止息
[00:01:45.920 --> 00:01:49.800]  所以再一次讓我在這裏向每一位母親說一聲謝謝
[00:01:49.800 --> 00:01:51.440]  是因爲你們的愛
[00:01:51.440 --> 00:01:56.200]  才讓我們明白上帝的愛是何等的強闊高深
[00:01:56.200 --> 00:01:57.360]  Amen
[00:01:57.360 --> 00:01:58.600]  你知道我常覺得作爲一個基督徒
[00:01:58.600 --> 00:02:02.600]  我們應當常常爲神所給我們的家庭來感謝
[00:02:02.600 --> 00:02:06.160]  不但是爲神給我們肉身的家庭感謝
[00:02:06.160 --> 00:02:09.960]  也爲了神所給我們屬靈的大家庭來感謝
[00:02:09.960 --> 00:02:13.200]  我就想到耶穌基督在定十字架的時候
[00:02:13.200 --> 00:02:15.480]  剛纔所讀那段經文
[00:02:15.480 --> 00:02:21.320]  我真的覺得好像聖經給我描繪了何等美麗的一幅圖畫
[00:02:21.320 --> 00:02:23.720]  就在十字架的下面
[00:02:23.720 --> 00:02:29.160]  在十字架的下面我們看見一個父母兒女之間的愛
[00:02:29.160 --> 00:02:31.920]  我們也看見一個屬靈大家庭的愛
[00:02:31.920 --> 00:02:33.720]  是何等的寶貴
[00:02:33.720 --> 00:02:36.120]  所以今天要從三方面來
[00:02:36.120 --> 00:02:40.040]  從新的角度來看十字架的愛是怎麼樣
[00:02:40.040 --> 00:02:41.280]  首先第一個
[00:02:41.280 --> 00:02:44.480]  十字架的愛教導我們對父母的愛
[00:02:44.480 --> 00:02:49.400]  跟你媽說十字架的愛教導我們對父母的愛
[00:02:49.400 --> 00:02:52.120]  你要知道當耶穌基督被定在十字架上的時候
[00:02:52.120 --> 00:02:55.560]  是祂一生最痛苦的一個時刻不是嗎
[00:02:55.560 --> 00:02:58.480]  不但肉體經歷極大的痛苦
[00:02:58.480 --> 00:03:00.800]  心靈也經歷極大的痛苦
[00:03:00.800 --> 00:03:02.320]  因爲在那一剎那
[00:03:02.320 --> 00:03:06.200]  耶穌基督是代替我們世人的罪孽
[00:03:06.200 --> 00:03:08.320]  被定在十字架上
[00:03:08.320 --> 00:03:09.600]  在那個時刻
[00:03:09.600 --> 00:03:13.560]  父神是眼面不看祂的時刻
[00:03:13.560 --> 00:03:16.440]  祂心靈受到極大的一個痛苦
[00:03:16.440 --> 00:03:19.160]  就在這個最痛苦的時刻
[00:03:19.160 --> 00:03:22.480]  耶穌卻沒有隻顧念到自己的需要
[00:03:22.480 --> 00:03:26.600]  祂反而看見祂母親的需要
[00:03:26.600 --> 00:03:29.280]  的確耶穌你很難想到
[00:03:29.280 --> 00:03:32.120]  這個時候耶穌的母親
[00:03:32.120 --> 00:03:36.400]  其實是祂最傷痛的時刻不是嗎
[00:03:36.400 --> 00:03:39.840]  親眼看見你所最愛的兒子
[00:03:39.840 --> 00:03:41.920]  被羞辱
[00:03:41.920 --> 00:03:44.400]  被定在十字架上
[00:03:44.400 --> 00:03:46.920]  對任何一個母親來講
[00:03:46.920 --> 00:03:50.280]  這都是莫大的悲哀
[00:03:50.280 --> 00:03:52.400]  耶穌在十字架上
[00:03:52.400 --> 00:03:55.720]  雖然這也是祂最痛苦的時刻
