
[00:00:00.000 --> 00:00:02.640]  我們低頭再做一個禱告
[00:00:02.640 --> 00:00:06.520]  主耶穌祢差遣我們來到這個世界上
[00:00:06.520 --> 00:00:08.800]  好像剛才詩歌所唱
[00:00:08.800 --> 00:00:13.320]  這個世界有充滿很多欺壓人的事情
[00:00:13.320 --> 00:00:14.920]  充滿很多的罪惡
[00:00:14.920 --> 00:00:17.720]  我們就是來到這個世界上
[00:00:17.720 --> 00:00:21.920]  祢不是要差遣我們去一個天堂裏面
[00:00:21.920 --> 00:00:25.160]  祢差遣我們來這個有罪的世界
[00:00:25.160 --> 00:00:28.240]  以致我們能夠在這個有罪的世界裏面
[00:00:28.240 --> 00:00:30.240]  成為祢的使者
[00:00:30.240 --> 00:00:31.560]  求祢幫助我們
[00:00:31.560 --> 00:00:34.200]  讓我們可以有誠實的見證
[00:00:34.200 --> 00:00:37.000]  讓我們可以成為基督的馨香
[00:00:37.000 --> 00:00:40.000]  讓我們可以大給世人盼望
[00:00:40.000 --> 00:00:41.800]  今日一段聽到的時間
[00:00:41.800 --> 00:00:42.960]  求祢祝福
[00:00:42.960 --> 00:00:44.560]  禱告奉耶穌基督的名
[00:00:44.560 --> 00:00:46.120]  阿們
[00:00:46.120 --> 00:00:50.600]  我們回到最初那裏
[00:00:50.600 --> 00:00:52.800]  這段經文
[00:00:52.800 --> 00:00:55.000]  其實如果你有機會
[00:00:55.000 --> 00:00:56.560]  如果你有聖經
[00:00:56.560 --> 00:00:57.920]  你可以看回第二節
[00:00:57.920 --> 00:00:59.440]  我們跳了一點點經文
[00:00:59.440 --> 00:01:00.680]  因為第二節
[00:01:00.680 --> 00:01:02.200]  第二章
[00:01:02.200 --> 00:01:04.080]  第二章開始的時候
[00:01:04.080 --> 00:01:05.960]  一到第十一節
[00:01:05.960 --> 00:01:10.120]  其實提到有一個弟兄曾經犯罪
[00:01:10.120 --> 00:01:11.040]  在安倫哥教會
[00:01:11.040 --> 00:01:12.080]  那人一懲罰了
[00:01:12.080 --> 00:01:14.000]  他似乎懺悔了
[00:01:14.000 --> 00:01:16.160]  這個我們跳了這段
[00:01:16.160 --> 00:01:19.600]  有機會再回來講一些所謂罪的問題
[00:01:19.600 --> 00:01:21.160]  我們從十二節
[00:01:21.160 --> 00:01:23.560]  第二章十二節開始
[00:01:23.560 --> 00:01:25.720]  十二、十三節
