
[00:00:00.000 --> 00:00:03.100]  中國人的說話呢,就是兄弟如手足
[00:00:03.100 --> 00:00:04.100]  接着是什麼
[00:00:04.100 --> 00:00:08.040]  老婆如衣服,夫妻如衣服
[00:00:08.040 --> 00:00:10.980]  OK OK,有人說太太如衣服
[00:00:10.980 --> 00:00:14.680]  有人說妻子如衣服,妻子老婆太太其實都是
[00:00:14.680 --> 00:00:17.820]  都是一樣的,不會有你是我妻子,她是我太太
[00:00:17.820 --> 00:00:20.680]  這個是我老婆,都是那一句
[00:00:20.680 --> 00:00:21.680]  就是
[00:00:21.680 --> 00:00:25.040]  阿拜海運真是這一下做得很足
[00:00:25.040 --> 00:00:27.140]  就是妻子如衣服
[00:00:27.400 --> 00:00:30.940]  甚至中國人描述的狀態都蠻準的
[00:00:30.940 --> 00:00:34.160]  有時夫妻本是同林了,接着又
[00:00:34.160 --> 00:00:37.380]  大難臨頭各自飛,這麼灰
[00:00:37.380 --> 00:00:40.400]  不夠灰,阿拜海運更灰,大難未臨
[00:00:40.400 --> 00:00:43.000]  竟然怎樣,起飛腳了,對不對
[00:00:43.000 --> 00:00:45.720]  阿拜海運
[00:00:45.720 --> 00:00:49.080]  去到一個地方
[00:00:49.080 --> 00:00:50.520]  基拉爾
[00:00:50.520 --> 00:00:53.440]  於是就告訴老婆聽
[00:00:53.440 --> 00:00:56.920]  去到我就是你哥,你是我妹
[00:00:57.420 --> 00:00:59.880]  接着那個地方的王
[00:00:59.880 --> 00:01:02.920]  見到撒拉,於是
[00:01:02.920 --> 00:01:05.020]  就拿了她過來做老婆
[00:01:05.020 --> 00:01:07.880]  這件事有趣之處就是
[00:01:07.880 --> 00:01:11.180]  如果你有看聖經,你會發現這件事不是阿拜海運第一次的
[00:01:11.180 --> 00:01:15.580]  是第二次的,第二次這件事回頭我們再講多一點
[00:01:15.580 --> 00:01:19.340]  但我也要問這個問題,做什麼是阿拜海運
[00:01:19.340 --> 00:01:21.840]  就是老婆來的
[00:01:21.840 --> 00:01:24.880]  要告訴別人這個不是我老婆,是我妹
[00:01:25.260 --> 00:01:28.260]  很地道,老實說,你看看旁邊那個
[00:01:28.260 --> 00:01:31.640]  不是,旁邊那個不是我老婆
[00:01:31.640 --> 00:01:34.620]  也不是女友,你們兩個正好
[00:01:34.620 --> 00:01:37.540]  你不會到處告訴別人這個不是我老婆,不會的
[00:01:37.540 --> 00:01:41.180]  有沒有人會這麼做,你們不會吧
[00:01:41.180 --> 00:01:44.340]  你會承認的,但阿拜海現在的處境就是
[00:01:44.340 --> 00:01:46.320]  走腿
[00:01:46.320 --> 00:01:49.700]  四圍走那時仍然是,去到一個新的角度
[00:01:49.700 --> 00:01:51.440]  於是就夾定計
[00:01:51.440 --> 00:01:54.520]  因爲你在後來阿比米勒的口供裏,你聽到的
[00:01:54.520 --> 00:01:57.500]  他說你找我笨,明明是
[00:01:57.500 --> 00:02:00.400]  你說她是妹妹,他就說你
[00:02:00.400 --> 00:02:03.380]  真是她哥,似乎是真的有這樣的對話
[00:02:03.380 --> 00:02:06.800]  兩個夾定計,然後才走過去的
[00:02:06.800 --> 00:02:09.240]  不是偶然,也不是
[00:02:09.240 --> 00:02:11.760]  事急萬田,逼到無路走,不是的
[00:02:11.760 --> 00:02:14.520]  一早準備的,問題就來了
[00:02:14.520 --> 00:02:17.300]  阿伯拉罕,你明不明
[00:02:17.300 --> 00:02:20.360]  如果你剛剛回教會沒多久,可能都不知道他什麼頭什麼腦
[00:02:20.360 --> 00:02:23.340]  但如果你回教會有不少日子
[00:02:23.340 --> 00:02:26.360]  阿伯拉罕這個名字,在基督徒裏面
[00:02:26.360 --> 00:02:30.140]  都有分量的,我記得不記得,我說他叫什麼什麼知乎
[00:02:30.140 --> 00:02:33.800]  大家有聽聖經,有讀的
[00:02:33.800 --> 00:02:36.940]  信心知乎,信心知乎,什麼信心這個
[00:02:36.940 --> 00:02:40.520]  什麼信心呢
[00:02:40.520 --> 00:02:42.600]  起老婆飛腳的信心
[00:02:42.600 --> 00:02:46.760]  甚至我要問一樣東西,信心知乎
[00:02:46.760 --> 00:02:50.440]  阿伯拉罕,你搞什麼,有什麼要你這麼怕
[00:02:50.440 --> 00:02:52.980]  實情,阿伯拉罕怕什麼
[00:02:53.840 --> 00:02:56.840]  是啊,說了怕死,怕死,兩次都怕死
[00:02:56.840 --> 00:02:59.500]  埃及那次是這樣,上個星期
[00:02:59.500 --> 00:03:02.880]  諾姑娘那十三章,應該提到一點點,十二章,之前那件事
[00:03:02.880 --> 00:03:05.060]  這次是更仔細,聖經寫得
