
[00:00:00.000 --> 00:00:04.000]  今日講到和平時有少少不同
[00:00:04.000 --> 00:00:08.000]  今日是我的結案陳詞
[00:00:08.000 --> 00:00:13.000]  我們看的不單止是拼圖裏面最後那一塊
[00:00:13.000 --> 00:00:17.000]  我們終於可以看到整個大圖畫究竟是怎樣的
[00:00:17.000 --> 00:00:20.000]  如果你過去幾個星期有機會來聽約拿書
[00:00:20.000 --> 00:00:25.000]  你發覺約拿書是一個非常不容易解的書卷
[00:00:25.000 --> 00:00:28.000]  如果你給約拿書給五個牧師講
[00:00:28.000 --> 00:00:34.000]  有三四個不同的演繹方法的方向
[00:00:34.000 --> 00:00:37.000]  這三四個不同的方向會帶你去到
[00:00:37.000 --> 00:00:42.000]  三四個很不同的基督教人生的藍圖
[00:00:42.000 --> 00:00:45.000]  所以我覺得你真的要很小心去聽
[00:00:45.000 --> 00:00:50.000]  正如耶穌基督說有耳的應當聽
[00:00:50.000 --> 00:00:52.000]  《釋經》講到是一門科學
[00:00:52.000 --> 00:00:55.000]  它有原則有規矩
[00:00:55.000 --> 00:00:59.000]  《釋經》講到亦都是一門藝術
[00:00:59.000 --> 00:01:02.000]  因為我們對的是一些寫作
[00:01:02.000 --> 00:01:06.000]  它給我們有很多想像的空間
[00:01:06.000 --> 00:01:09.000]  你需要有意象
[00:01:09.000 --> 00:01:12.000]  你需要有遠像
[00:01:12.000 --> 00:01:16.000]  而這個亦是我今日想和大家一起去看的
[00:01:16.000 --> 00:01:21.000]  我想大家看到的不單止是眼前的一些故事
[00:01:21.000 --> 00:01:24.000]  我想你看到故事背後的意象
[00:01:24.000 --> 00:01:29.000]  我想你看到故事指向最後的那個遠像
[00:01:29.000 --> 00:01:34.000]  我想和大家一起去觀星
[00:01:34.000 --> 00:01:39.000]  我想和大家一起去追星
[00:01:39.000 --> 00:01:43.000]  而在《釋經》裏面最明亮的星
[00:01:43.000 --> 00:01:46.000]  不外乎是主耶穌基督的十字架
