
[00:00:00.000 --> 00:00:05.720]  你結婚以後,你要跟一個女人說
[00:00:05.720 --> 00:00:10.640]  我懷疑你最多八成以上都是說你自己厲害的東西
[00:00:10.640 --> 00:00:12.640]  你魚的厲害你是不敢說的
[00:00:12.640 --> 00:00:15.840]  因為你說了是沒有益處的
[00:00:15.840 --> 00:00:19.400]  因為他會令你以前的傷口再復發
[00:00:19.400 --> 00:00:24.760]  你要自己檢討了,很少說你這麼陰公
[00:00:24.760 --> 00:00:27.000]  你這麼陰公就告訴我多說一點
[00:00:27.000 --> 00:00:29.280]  你不會,你只要說多一點就是踩多一點的意思
[00:00:29.280 --> 00:00:30.480]  你不會說的
[00:00:30.480 --> 00:00:33.560]  所以你說是弟兄區,你會發現你在這裡
[00:00:33.560 --> 00:00:35.440]  你是釋放很多
[00:00:35.440 --> 00:00:38.520]  說大家都有點不開心,不成功
[00:00:38.520 --> 00:00:42.080]  還有覺得自己沒什麼能力做得很好
[00:00:42.080 --> 00:00:45.040]  這種感覺就在這些地方說
[00:00:45.040 --> 00:00:47.640]  很多時候女性想幫你
[00:00:47.640 --> 00:00:49.760]  她用的方式,你不是很舒服的
[00:00:49.760 --> 00:00:51.400]  多數叫你檢討的
[00:00:51.400 --> 00:00:56.280]  所以你會發現我自己檢討就不用找你了
[00:00:56.280 --> 00:00:59.080]  有時候你會覺得這句話不舒服的
[00:00:59.080 --> 00:01:01.360]  就是說加油城的問題就是你
[00:01:01.360 --> 00:01:03.200]  你就是問題的根源
[00:01:03.200 --> 00:01:05.600]  所以你會覺得不舒服
[00:01:05.600 --> 00:01:08.000]  所以你會說一個男人
[00:01:08.000 --> 00:01:09.480]  你第一個想法就是
[00:01:09.480 --> 00:01:13.200]  譬如我這一行,心理輔導,心理治療
[00:01:13.200 --> 00:01:16.440]  如果靠男人來幫忙,一定會倒閉很久
[00:01:16.440 --> 00:01:17.760]  一定倒閉
[00:01:17.760 --> 00:01:19.520]  就是我不相信一個人
[00:01:19.520 --> 00:01:23.360]  專看男人個案可以站得住一個月
[00:01:23.360 --> 00:01:25.560]  虧死你在虧租上
[00:01:25.560 --> 00:01:29.480]  譬如婚姻及兒童體育中心,我做副主席
[00:01:29.480 --> 00:01:32.240]  這間機構有35年歷史
[00:01:32.240 --> 00:01:35.600]  35年歷史,我講明
[00:01:35.600 --> 00:01:40.560]  5%的光顧者是男人,甚至以下
[00:01:40.560 --> 00:01:42.400]  還沒計算倒閉的那些
[00:01:42.400 --> 00:01:44.120]  那就是沒有
[00:01:44.120 --> 00:01:47.400]  所以你隨時進去見到全部女人在等
[00:01:47.400 --> 00:01:49.280]  你要馬上離開也來不及
[00:01:49.280 --> 00:01:50.600]  你以為是旅校
[00:01:50.600 --> 00:01:53.800]  這些就是真相
[00:01:53.800 --> 00:01:55.920]  譬如我在盛州時畢業
[00:01:55.920 --> 00:01:57.640]  做社工的人
[00:01:57.640 --> 00:02:01.560]  我畢業48年,不夠5個
[00:02:01.560 --> 00:02:04.240]  48年不夠5個
[00:02:04.240 --> 00:02:08.080]  你就明白男人不喜歡被人幫,也不喜歡幫人
[00:02:08.080 --> 00:02:10.720]  在中大一班100人的社工裡面
[00:02:10.720 --> 00:02:13.800]  93個是女生
[00:02:13.800 --> 00:02:16.560]  你試想想,男人是一種
[00:02:16.560 --> 00:02:19.960]  我不喜歡被人幫,也不喜歡幫人
[00:02:19.960 --> 00:02:22.040]  所以你發現你的情緒
[00:02:22.040 --> 00:02:25.320]  是以你自己做你自己的好朋友
[00:02:25.320 --> 00:02:27.160]  所以出事了
[00:02:27.160 --> 00:02:31.640]  當你埋怨你自己
[00:02:31.640 --> 00:02:34.720]  你不喜歡自己做某些事,你就很痛苦
[00:02:34.720 --> 00:02:36.760]  因為你做不到自己的朋友
[00:02:36.760 --> 00:02:38.240]  你就很痛苦
[00:02:38.240 --> 00:02:41.960]  所以希望大家很珍惜回來這個團契
[00:02:41.960 --> 00:02:45.240]  你找到一班人很願意
[00:02:45.240 --> 00:02:49.360]  大家講真話,也不用很負面的攻擊
[00:02:49.360 --> 00:02:53.000]  可能對你來說是一種人生很難得的群體
[00:02:53.000 --> 00:02:55.840]  真的很難得,事實上真的沒有甚麼
[00:02:55.840 --> 00:02:57.480]  你在上班不容易有
[00:02:57.480 --> 00:02:59.160]  上班是競爭的
[00:02:59.160 --> 00:03:02.880]  你承認了你自己不行,你就很危險
[00:03:02.880 --> 00:03:06.280]  人家會將你評分低了
[00:03:06.280 --> 00:03:07.920]  所以你不容易講,你不行的
[00:03:07.920 --> 00:03:11.280]  講得也很危險,你樹敵很多
[00:03:11.280 --> 00:03:13.640]  所以最穩妥的就是不要說話
