
[00:00:00.000 --> 00:00:04.600]  就走去赫西瑪尼園途中的講話
[00:00:04.600 --> 00:00:09.980]  這段的記載其實都是約翰福音獨有的
[00:00:09.980 --> 00:00:14.340]  其他福音書都沒有記載這些的講論
[00:00:14.340 --> 00:00:20.480]  大家還記不記得在約翰福音第十二章講到的主題
[00:00:20.480 --> 00:00:24.840]  我相信過了幾個星期大部分都會
[00:00:24.840 --> 00:00:26.360]  忘記了
[00:00:26.360 --> 00:00:29.440]  不要緊啦,我簡單複述一下
[00:00:30.460 --> 00:00:32.240]  那次的主題就是
[00:00:32.240 --> 00:00:34.300]  耶穌是王
[00:00:34.300 --> 00:00:36.600]  耶穌是王
[00:00:36.600 --> 00:00:40.700]  但祂不是一般人心目中期望的王
[00:00:40.700 --> 00:00:44.020]  祂是一位顛覆世界的王
[00:00:44.020 --> 00:00:49.920]  祂顛覆世界的價值觀,也顛覆了世界做事的方法
[00:00:49.920 --> 00:00:51.460]  因為耶穌是
[00:00:51.460 --> 00:00:52.740]  天國的王
[00:00:52.740 --> 00:00:59.660]  在十二章記載了瑪利亞用很珍貴的香水香膏抹耶穌的腳
[00:01:00.660 --> 00:01:03.740]  猶太人的王受膏是在頭上受膏
[00:01:03.740 --> 00:01:06.560]  耶穌是在腳上受膏
[00:01:06.560 --> 00:01:11.980]  羅馬人的王是用陰謀鬥爭殺了很多人
[00:01:11.980 --> 00:01:14.280]  然後成為皇帝
[00:01:14.280 --> 00:01:18.380]  耶穌是被人用陰謀殺害的
[00:01:18.380 --> 00:01:22.740]  很多皇帝是騎高頭進馬進入京城的
[00:01:22.740 --> 00:01:28.360]  在十二章記載耶穌是騎著一隻小驢進入京城
[00:01:29.380 --> 00:01:31.940]  很多皇帝只是做自己民族的王
[00:01:31.940 --> 00:01:35.780]  耶穌是要做全世界所有民族的王
[00:01:35.780 --> 00:01:39.880]  很多皇帝是靠殺害其他人而上位的
[00:01:39.880 --> 00:01:44.480]  耶穌是自甘捨棄生命為世人死
[00:01:44.480 --> 00:01:46.020]  為世人贖罪
[00:01:46.020 --> 00:01:50.380]  世上的王是要追求自己和自己民族的榮耀
[00:01:50.380 --> 00:01:54.980]  耶穌是要追求上帝的榮耀
[00:01:56.000 --> 00:01:59.580]  經文記載耶穌被捕的過程
[00:01:59.580 --> 00:02:05.980]  我們看到耶穌不是很軟弱很害怕的被捕
[00:02:05.980 --> 00:02:09.060]  耶穌是控制著整個過程
[00:02:09.060 --> 00:02:10.840]  我們一起思想
[00:02:10.840 --> 00:02:13.660]  我們先看十八章一至十一節
[00:02:13.660 --> 00:02:19.040]  在十八章第一至三節提到耶穌是在
[00:02:19.040 --> 00:02:20.580]  克西瑪利園
[00:02:21.340 --> 00:02:27.480]  但是我們信主內的熟悉福音書記載的會留意到
[00:02:27.480 --> 00:02:33.880]  約翰沒有記載耶穌和門徒在克西瑪利園祈禱
[00:02:33.880 --> 00:02:37.220]  和耶穌吩咐門徒祈禱門徒奮作教這件事
[00:02:37.220 --> 00:02:39.260]  約翰沒有記載
[00:02:39.260 --> 00:02:43.860]  他直接記載到去到克西瑪利園
[00:02:43.860 --> 00:02:48.480]  就直接記載猶大帶了一班人
[00:02:48.980 --> 00:02:51.800]  這班人是來捉拿耶穌
[00:02:51.800 --> 00:02:59.740]  原來這班人裡面是包括了羅馬兵和聖殿的警衛隊
[00:02:59.740 --> 00:03:05.380]  如果我們記得耶穌在逾節的晚餐的時候
[00:03:05.380 --> 00:03:08.700]  是他告訴門徒
[00:03:08.700 --> 00:03:10.500]  有人要出賣他
[00:03:10.500 --> 00:03:13.300]  司徒約翰就問耶穌
[00:03:13.300 --> 00:03:16.640]  是誰呢?
[00:03:17.400 --> 00:03:19.180]  耶穌就
[00:03:19.180 --> 00:03:22.780]  拿了一塊餅少了一些醬汁就給了猶大
[00:03:22.780 --> 00:03:24.300]  然後吩咐他
[00:03:24.300 --> 00:03:26.860]  你要做的快去做吧
[00:03:26.860 --> 00:03:33.780]  在這個記載裡面給我們一個感覺耶穌是在主導事情的發生
[00:03:33.780 --> 00:03:36.080]  他叫猶大去做事
[00:03:36.080 --> 00:03:38.640]  來到第十八章的時候
[00:03:38.640 --> 00:03:42.740]  猶大就真的做了他要做的事
[00:03:42.740 --> 00:03:45.820]  就是帶了一隊人來逮捕耶穌
[00:03:46.840 --> 00:03:48.380]  那耶穌有什麼反應呢?
[00:03:48.380 --> 00:03:53.500]  是否急急忙忙說有人來了,快點躲起來,帶著門徒走呢?
[00:03:53.500 --> 00:03:55.540]  沒有
[00:03:55.540 --> 00:03:57.600]  不是這樣的
[00:03:57.600 --> 00:04:00.920]  第四節說:耶穌知道
[00:04:00.920 --> 00:04:04.760]  將要發生在他身上的一切事
[00:04:04.760 --> 00:04:07.840]  便上前迎接那些人
[00:04:07.840 --> 00:04:12.960]  還主動問他們:你們找誰?
[00:04:14.240 --> 00:04:17.320]  那些人回答:拿撒勒人耶穌
[00:04:17.320 --> 00:04:24.480]  為什麼要說拿撒勒人耶穌呢?因為在猶大人的文化和華人有些不同
[00:04:24.480 --> 00:04:28.320]  人名沒有用姓氏
[00:04:28.320 --> 00:04:30.880]  所以要說清楚某一個人
[00:04:30.880 --> 00:04:33.440]  再說地方名
[00:04:33.440 --> 00:04:37.280]  當時耶穌這個名其實是一個很普通的名字
[00:04:37.280 --> 00:04:39.840]  很多人都可以叫做耶穌
[00:04:39.840 --> 00:04:43.420]  相等於今天很多人叫David, Peter, Mary一樣
[00:04:43.680 --> 00:04:45.220]  很普通
[00:04:45.220 --> 00:04:50.080]  所以說拿撒勒人耶穌會明確很多
[00:04:50.080 --> 00:04:54.680]  第六節主耶穌回答:我就是
[00:04:54.680 --> 00:04:56.980]  英文是I am
