
[00:00:00.000 --> 00:00:02.000]  領職為平安
[00:00:02.000 --> 00:00:03.620]  很快樂的日子
[00:00:03.620 --> 00:00:06.260]  敬拜神已經是很快樂的
[00:00:06.260 --> 00:00:08.720]  加上母親節加倍快樂
[00:00:08.720 --> 00:00:12.340]  我們一起再一次一個很簡單的禱告
[00:00:12.340 --> 00:00:15.080]  天父我們知道祢在
[00:00:15.080 --> 00:00:19.500]  我們的心全心全意尊崇祢
[00:00:19.500 --> 00:00:21.000]  三一的真神
[00:00:21.000 --> 00:00:23.260]  願祢今天再一次向我們
[00:00:23.260 --> 00:00:25.460]  啟示祢自己的心意
[00:00:25.460 --> 00:00:27.340]  讓我們能夠跟從
[00:00:27.340 --> 00:00:29.260]  全心敬拜 讚美
[00:00:29.260 --> 00:00:31.220]  奉耶穌基督聖名
[00:00:31.220 --> 00:00:32.260]  Amen
[00:00:32.260 --> 00:00:36.560]  今天是母親節
[00:00:36.560 --> 00:00:40.080]  我先送一些美麗的花
[00:00:40.080 --> 00:00:44.720]  給每一位美麗的母親們
[00:00:44.720 --> 00:00:46.460]  祝福每一位的母親
[00:00:46.460 --> 00:00:48.920]  母親節快樂
[00:00:48.920 --> 00:00:52.220]  內外都青春常至
[00:00:52.220 --> 00:00:53.460]  不單是外面
[00:00:53.460 --> 00:00:56.620]  裡面也青春常至
[00:00:56.620 --> 00:00:59.700]  今天的講題是
[00:00:59.700 --> 00:01:02.580]  母親的突破
[00:01:02.580 --> 00:01:05.780]  母親的突破
[00:01:05.780 --> 00:01:10.980]  各位你覺得做母親容易嗎
[00:01:10.980 --> 00:01:14.360]  有沒有誰說很容易的
[00:01:14.360 --> 00:01:16.360]  請你舉手
[00:01:16.360 --> 00:01:18.860]  都沒有誰
[00:01:18.860 --> 00:01:22.980]  做母親絕對不容易
[00:01:22.980 --> 00:01:27.260]  不單要三重四德
[00:01:27.260 --> 00:01:30.740]  其實樣樣都要德
[00:01:30.740 --> 00:01:33.100]  包括什麼呢
[00:01:33.100 --> 00:01:34.820]  包括要做德
[00:01:34.820 --> 00:01:36.740]  你是不是在家做很多事
[00:01:36.740 --> 00:01:38.540]  要做德
[00:01:38.540 --> 00:01:39.940]  要捱德
[00:01:39.940 --> 00:01:41.140]  捱得捱嗎
[00:01:41.140 --> 00:01:42.980]  要捱德
[00:01:42.980 --> 00:01:44.100]  要忍德
[00:01:44.100 --> 00:01:45.500]  你是不是在忍很多事
[00:01:45.500 --> 00:01:47.900]  要忍德
[00:01:47.900 --> 00:01:49.220]  又要煮德
[00:01:49.220 --> 00:01:50.220]  你想煮飯的
[00:01:50.220 --> 00:01:51.440]  我天天都煮
[00:01:51.440 --> 00:01:53.060]  要煮德
[00:01:53.060 --> 00:01:55.020]  要開車的也要德
[00:01:55.020 --> 00:01:56.260]  你是不是要接送的
[00:01:56.260 --> 00:01:58.740]  又要
[00:01:58.740 --> 00:02:03.260]  最好還要少少體德
[00:02:03.260 --> 00:02:09.820]  哇 真的要慶祝母親節
[00:02:09.820 --> 00:02:13.060]  其實我們都沒有訓練過做父母
[00:02:13.060 --> 00:02:13.780]  我就沒有
[00:02:13.780 --> 00:02:15.580]  不知道你有沒有
[00:02:15.580 --> 00:02:18.580]  都是自己摸索出來
[00:02:18.580 --> 00:02:21.340]  其實已經盡力了
[00:02:21.340 --> 00:02:24.440]  所以給附近的母親們
[00:02:24.440 --> 00:02:26.460]  一個鼓勵好不好
[00:02:26.460 --> 00:02:27.420]  給他們打個招呼
[00:02:27.420 --> 00:02:28.740]  拍個掌
[00:02:28.740 --> 00:02:31.860]  給他們一個掌聲
[00:02:31.860 --> 00:02:33.300]  真的很偉大
[00:02:33.300 --> 00:02:37.580]  其實父親母親都很偉大
[00:02:37.580 --> 00:02:41.900]  今天我嘗試從兩個角度
[00:02:41.900 --> 00:02:45.980]  來跟大家探討一個突破
[00:02:45.980 --> 00:02:48.300]  生命的突破
[00:02:48.300 --> 00:02:51.380]  不單是跟母親們
[00:02:51.380 --> 00:02:54.940]  今天也跟每一位父親們
[00:02:54.940 --> 00:02:58.140]  也跟每一位弟兄姊妹們
[00:02:58.140 --> 00:03:02.540]  一同追求一些生命的突破
[00:03:02.540 --> 00:03:04.420]  我們先看第一方面
[00:03:04.420 --> 00:03:11.060]  這個突破就是原生的突破
