
[00:00:00.000 --> 00:00:02.000]  各位地球姐妹朋友們早安
[00:00:02.000 --> 00:00:03.000]  早
[00:00:03.000 --> 00:00:08.000]  很高興能夠有這個機會跟大家來分享信息
[00:00:08.000 --> 00:00:12.000]  各位知道今天的題目是什麼嗎?
[00:00:12.000 --> 00:00:14.000]  耶和華薩瑪
[00:00:14.000 --> 00:00:16.000]  加厚瓦薩瑪
[00:00:16.000 --> 00:00:21.000]  那麼這是神的一個名字
[00:00:21.000 --> 00:00:25.000]  我們所信的神有許許多多的名字
[00:00:25.000 --> 00:00:28.000]  這只是其中一個
[00:00:28.000 --> 00:00:31.000]  我們一般講說什麼耶和華拉法
[00:00:31.000 --> 00:00:33.000]  神是醫治我們的神
[00:00:33.000 --> 00:00:35.000]  耶和華以樂
[00:00:35.000 --> 00:00:38.000]  神是供應我們的神等等
[00:00:38.000 --> 00:00:41.000]  但是耶和華薩瑪
[00:00:41.000 --> 00:00:45.000]  這個名字倒是不常有人用到
[00:00:45.000 --> 00:00:48.000]  但是偏偏在先知以希捷
[00:00:48.000 --> 00:00:50.000]  他在以希捷書裡面
[00:00:50.000 --> 00:00:53.000]  他就講得非常的明白
[00:00:53.000 --> 00:00:58.000]  先知以希捷是在費努時期的一個先知
[00:00:58.000 --> 00:01:03.000]  那麼他預言以色列人會回歸
[00:01:03.000 --> 00:01:08.000]  他也預言十二支派要得到地業
[00:01:08.000 --> 00:01:12.000]  他也預言神要回到聖地
[00:01:12.000 --> 00:01:17.000]  他的名字必稱為耶和華的所在
[00:01:17.000 --> 00:01:19.000]  所以這個耶路撒冷聖城
[00:01:19.000 --> 00:01:23.000]  他的名字就叫做Jahovah Shammah
[00:01:23.000 --> 00:01:25.000]  耶和華的所在
[00:01:25.000 --> 00:01:28.000]  意思是說在這個城裡面
[00:01:28.000 --> 00:01:31.000]  神與人同在
[00:01:31.000 --> 00:01:34.000]  就好像吉斯路說的一樣
[00:01:34.000 --> 00:01:37.000]  但是讓我們再一次來看
[00:01:37.000 --> 00:01:40.000]  中間許許多多的變化
[00:01:40.000 --> 00:01:45.000]  因為神必要與他的子民同在
[00:01:45.000 --> 00:01:48.000]  但是你看以希捷書你就會發現
[00:01:48.000 --> 00:01:53.000]  神的靈從約櫃裡面出來
[00:01:53.000 --> 00:01:57.000]  然後在寺陣所裡面轉啊轉啊
[00:01:57.000 --> 00:02:00.000]  然後又在聖所裡面轉啊轉啊
[00:02:00.000 --> 00:02:02.000]  然後就衝出了聖所
[00:02:02.000 --> 00:02:04.000]  然後在耶路撒冷城轉
[00:02:04.000 --> 00:02:06.000]  然後就一通而去
[00:02:06.000 --> 00:02:07.000]  走掉了
[00:02:07.000 --> 00:02:10.000]  神離開了他的百姓
[00:02:10.000 --> 00:02:12.000]  但是這是暫時性的
[00:02:12.000 --> 00:02:13.000]  靈回來
[00:02:13.000 --> 00:02:16.000]  而且將來有一天
[00:02:16.000 --> 00:02:20.000]  神要從東門再次回到耶路撒冷
[00:02:20.000 --> 00:02:23.000]  回到他的百姓中間去
[00:02:23.000 --> 00:02:26.000]  神要做他指定子民的神
[00:02:26.000 --> 00:02:29.000]  他的子民要稱他為神
[00:02:29.000 --> 00:02:31.000]  這個城要稱為
[00:02:31.000 --> 00:02:33.000]  Jahovah Shammah
[00:02:33.000 --> 00:02:35.000]  耶和華的所在
[00:02:35.000 --> 00:02:36.000]  阿勒勒亞
[00:02:36.000 --> 00:02:37.000]  讚美神
[00:02:37.000 --> 00:02:39.000]  讓我們低頭禱告
[00:02:39.000 --> 00:02:41.000]  阿爸父
[00:02:41.000 --> 00:02:42.000]  我們感謝你
[00:02:42.000 --> 00:02:43.000]  我們讚美你
[00:02:43.000 --> 00:02:46.000]  因為你是又正又活的神
[00:02:46.000 --> 00:02:47.000]  願你來得到
[00:02:47.000 --> 00:02:49.000]  那應得當得佩得的榮耀
[00:02:49.000 --> 00:02:50.000]  感謝你
[00:02:50.000 --> 00:02:51.000]  打個讚
[00:02:51.000 --> 00:02:53.000]  是奉主耶穌基督的名
[00:02:53.000 --> 00:02:54.000]  阿們
[00:02:54.000 --> 00:02:55.000]  剛才我們講耶和華
[00:02:55.000 --> 00:02:58.000]  是他的名字之一
[00:02:58.000 --> 00:03:00.000]  約爾書二章三十二節
[00:03:00.000 --> 00:03:01.000]  他說
[00:03:01.000 --> 00:03:03.000]  到那時候
[00:03:03.000 --> 00:03:05.000]  凡求告耶和華的名
[00:03:05.000 --> 00:03:07.000]  就必得救
[00:03:07.000 --> 00:03:10.000]  什麼叫求告耶和華的名啊
[00:03:10.000 --> 00:03:14.000]  就是按他神不同的名字
[00:03:14.000 --> 00:03:17.000]  向他來呼求
[00:03:17.000 --> 00:03:19.000]  我以前在洋人教會
[00:03:19.000 --> 00:03:20.000]  做過傳道人
[00:03:20.000 --> 00:03:22.000]  我剛出來的時候
[00:03:22.000 --> 00:03:23.000]  所以有的時候
[00:03:23.000 --> 00:03:24.000]  我跟洋人牧師們
[00:03:24.000 --> 00:03:25.000]  一起禱告的時候
[00:03:25.000 --> 00:03:27.000]  誒 很奇怪
[00:03:27.000 --> 00:03:29.000]  洋人他們禱告時候
[00:03:29.000 --> 00:03:31.000]  Father
[00:03:31.000 --> 00:03:33.000]  他稱呼他先叫父親
[00:03:33.000 --> 00:03:35.000]  最後完了
[00:03:35.000 --> 00:03:37.000]  Pray in the name of Jesus
[00:03:37.000 --> 00:03:40.000]  所以他們都是Dear Father
[00:03:40.000 --> 00:03:42.000]  但是我們喜歡一開始就
[00:03:42.000 --> 00:03:44.000]  耶穌 主耶穌
[00:03:44.000 --> 00:03:45.000]  這都可以
[00:03:45.000 --> 00:03:46.000]  因為三一真神
[00:03:46.000 --> 00:03:47.000]  是不是
[00:03:47.000 --> 00:03:49.000]  所以求告耶和華的名
[00:03:49.000 --> 00:03:51.000]  就是按神不同的名字
[00:03:51.000 --> 00:03:54.000]  來向他呼求
[00:03:54.000 --> 00:03:57.000]  神到底有什麼名字呢
[00:03:57.000 --> 00:03:59.000]  神有第一個名字
[00:03:59.000 --> 00:04:01.000]  他叫做耶和華
[00:04:01.000 --> 00:04:02.000]  來 第一個
[00:04:02.000 --> 00:04:05.000]  在初埃及記
