
[00:00:00.000 --> 00:00:05.640]  今天跟大家分享如何鞏固我們屬靈的根基
[00:00:05.640 --> 00:00:07.180]  如果大家有留意的話
[00:00:07.180 --> 00:00:08.140]  過去幾個星期
[00:00:08.140 --> 00:00:10.460]  我們教育同工跟大家講了有好幾個
[00:00:10.460 --> 00:00:13.180]  做基督徒在這個世界上生活
[00:00:13.180 --> 00:00:15.220]  需要特別留意的事
[00:00:15.220 --> 00:00:16.600]  首先我跟大家分享的是
[00:00:16.600 --> 00:00:19.820]  希望大家能夠學習去找到
[00:00:19.820 --> 00:00:25.900]  你繼續生存在這個世界上的意義和價值
[00:00:25.900 --> 00:00:27.500]  然後我們要學習如何改善
[00:00:27.500 --> 00:00:30.420]  和我們身邊的人的關係
[00:00:30.420 --> 00:00:32.180]  然後我們有提到
[00:00:32.180 --> 00:00:34.220]  你要如何求天父幫助你
[00:00:34.220 --> 00:00:36.920]  去選擇一份合適你的工作
[00:00:36.920 --> 00:00:37.920]  找到之後
[00:00:37.920 --> 00:00:42.380]  全心全意投入你的工作當中
[00:00:42.380 --> 00:00:45.180]  然後法德司之前我們是說
[00:00:45.180 --> 00:00:47.680]  神都祝福我們每個人都有賺錢的能力
[00:00:47.680 --> 00:00:50.840]  但是神將一些財富放在你手中
[00:00:50.840 --> 00:00:52.760]  你應該如何去管理呢
[00:00:52.760 --> 00:00:54.520]  所以我講了四個題目
[00:00:54.520 --> 00:00:57.480]  今天在這個系列最後一講是講什麼呢
[00:00:57.480 --> 00:00:58.820]  鞏固屬靈的根基
[00:00:58.820 --> 00:01:02.280]  這是我們人生當中一件最重要的事
[00:01:02.280 --> 00:01:03.320]  或者我應該這樣說
[00:01:03.320 --> 00:01:08.580]  是對我們基督徒來說一件最重要的事
[00:01:08.580 --> 00:01:12.740]  我們如何才能夠鞏固屬靈的根基呢
[00:01:12.740 --> 00:01:13.960]  我不知道我們座的裏面
[00:01:13.960 --> 00:01:16.580]  有沒有一些不信耶穌的朋友在這裏聽到
[00:01:16.580 --> 00:01:18.660]  是可以的 我歡迎你在這裏
[00:01:18.660 --> 00:01:23.340]  但是除非你不相信人是有靈魂
[00:01:23.340 --> 00:01:25.380]  人是有屬靈的生命
[00:01:25.380 --> 00:01:27.920]  如果不是的話 今天我要鼓勵你
[00:01:27.920 --> 00:01:32.380]  你要好好去照顧你自己的靈魂
[00:01:32.380 --> 00:01:34.860]  聖經在《讓福音6:63》那裏
[00:01:34.860 --> 00:01:38.260]  告訴我們叫人活着的乃是靈
[00:01:38.260 --> 00:01:40.180]  肉體是沒有益處的
[00:01:40.180 --> 00:01:43.720]  因爲只有屬靈的生命
[00:01:43.720 --> 00:01:46.820]  才能引導我們進入永恆當中
[00:01:46.820 --> 00:01:48.100]  耶穌也和我們這樣說
[00:01:48.100 --> 00:01:49.820]  祂說我實實在在地告訴你們
