
[00:00:00.000 --> 00:00:03.880]  今天要講的這個段落其實對你們來說是很熟悉的
[00:00:03.880 --> 00:00:05.840]  很熟悉的很熟悉的
[00:00:05.840 --> 00:00:06.340]  OK
[00:00:06.340 --> 00:00:07.540]  平安夜的故事
[00:00:07.540 --> 00:00:08.880]  大家認不認識
[00:00:08.880 --> 00:00:11.320]  認識的是不是
[00:00:11.320 --> 00:00:13.060]  平安夜的故事
[00:00:13.060 --> 00:00:16.400]  我給名字叫做「縱然」
[00:00:16.400 --> 00:00:18.000]  平安夜的故事
[00:00:18.000 --> 00:00:19.540]  大家都很認識了
[00:00:19.540 --> 00:00:20.580]  你知不知道誰是主角
[00:00:20.580 --> 00:00:25.320]  你問一些這麼奇怪的問題
[00:00:25.320 --> 00:00:27.500]  誰是主角
[00:00:29.100 --> 00:00:30.340]  你知不知道誰是主角
[00:00:30.340 --> 00:00:32.400]  耶穌
[00:00:32.400 --> 00:00:35.520]  我在教會講的
[00:00:35.520 --> 00:00:38.740]  現在在崇拜裡面問大家這個問題
[00:00:38.740 --> 00:00:40.880]  平安夜的主角
[00:00:40.880 --> 00:00:43.780]  信仰
[00:00:43.780 --> 00:00:44.280]  OK
[00:00:44.280 --> 00:00:44.780]  好
[00:00:44.780 --> 00:00:45.280]  信仰
[00:00:45.280 --> 00:00:48.340]  平安夜的主角不是耶穌
[00:00:48.340 --> 00:00:48.840]  是誰
[00:00:48.840 --> 00:00:49.340]  糟了
[00:00:49.340 --> 00:00:51.100]  為甚麼我的眼鏡不停地蒙
[00:00:51.100 --> 00:00:52.040]  OK
[00:00:52.040 --> 00:00:53.000]  先弄一弄
[00:00:53.000 --> 00:00:53.500]  OK
[00:00:53.500 --> 00:00:56.580]  平安夜的主角不是耶穌是誰
[00:00:58.280 --> 00:00:59.940]  我想告訴你們一定是耶穌
[00:00:59.940 --> 00:01:00.440]  一定是的
[00:01:00.440 --> 00:01:00.940]  OK
[00:01:00.940 --> 00:01:01.440]  如果不是的話
[00:01:01.440 --> 00:01:02.940]  我應該會被教會踢走的
[00:01:02.940 --> 00:01:05.020]  但是
[00:01:05.020 --> 00:01:06.620]  在科音書裡面
[00:01:06.620 --> 00:01:09.140]  那個段落描述的時間
[00:01:09.140 --> 00:01:10.780]  誰是主角呢
[00:01:10.780 --> 00:01:12.560]  讓我們一起看看好不好
[00:01:12.560 --> 00:01:14.920]  只是這個意思而已
[00:01:14.920 --> 00:01:16.600]  讓我們有機會可以看一下
[00:01:16.600 --> 00:01:17.400]  所以呢
[00:01:17.400 --> 00:01:19.060]  繼續下去的時間
[00:01:19.060 --> 00:01:20.220]  看一下
[00:01:20.220 --> 00:01:23.180]  不知道你記得多少
[00:01:23.180 --> 00:01:24.540]  平安夜的故事
[00:01:24.540 --> 00:01:27.260]  你記得多少嗎
[00:01:27.260 --> 00:01:28.080]  平安夜的故事
[00:01:28.080 --> 00:01:28.800]  不知道你是不是
[00:01:28.800 --> 00:01:30.800]  你應該好像小時候就回教會了
[00:01:30.800 --> 00:01:33.060]  或者你應該看過聖經
[00:01:33.060 --> 00:01:34.520]  一開始就看《馬太福音》
[00:01:34.520 --> 00:01:35.720]  《路加》那些
[00:01:35.720 --> 00:01:37.620]  你記得多少平安夜的故事
[00:01:37.620 --> 00:01:38.740]  有些甚麼段落
[00:01:38.740 --> 00:01:40.960]  有沒有人是幼稚園
[00:01:40.960 --> 00:01:42.340]  是教幼稚園那些
[00:01:42.340 --> 00:01:44.500]  想不想做Samuel的
[00:01:44.500 --> 00:01:45.880]  那些叫甚麼
