
[00:00:00.000 --> 00:00:02.360]  各位兄弟姊妹主內平安
[00:00:02.360 --> 00:00:10.120]  我發覺我們教會很多人都很喜歡去行山換水
[00:00:10.120 --> 00:00:13.360]  現在的天氣都很舒服
[00:00:13.360 --> 00:00:15.040]  很多人都喜歡
[00:00:15.040 --> 00:00:18.560]  通常喜歡行山的人都會提醒
[00:00:18.560 --> 00:00:19.840]  最怕遇到甚麼呢?
[00:00:19.840 --> 00:00:21.800]  就是遇到被蛇咬
[00:00:21.800 --> 00:00:26.400]  所以可能要認真學習急救
[00:00:26.400 --> 00:00:27.840]  或者我不懂急救
[00:00:27.840 --> 00:00:32.040]  但有些人跟我說如果被蛇咬
[00:00:32.040 --> 00:00:33.840]  第一件事要怎樣做呢?
[00:00:33.840 --> 00:00:35.960]  大家有沒有聽過怎樣做呢?
[00:00:35.960 --> 00:00:37.800]  我不知道是真的還是假的
[00:00:37.800 --> 00:00:40.760]  他就說要認住蛇的樣子
[00:00:40.760 --> 00:00:42.600]  為甚麼要認住蛇的樣子呢?
[00:00:42.600 --> 00:00:45.800]  因為他說如果那條蛇有毒的時候
[00:00:45.800 --> 00:00:48.160]  當然要去急救
[00:00:48.160 --> 00:00:49.600]  如果被蛇咬了
[00:00:49.600 --> 00:00:52.600]  如果想有第一時間的醫治
[00:00:52.600 --> 00:00:55.160]  可以馬上跟別人形容那條蛇是甚麼樣子
[00:00:55.160 --> 00:00:58.240]  讓醫護人員知道那條蛇是甚麼樣子
[00:00:58.240 --> 00:00:59.920]  馬上跟他們對症
[00:00:59.920 --> 00:01:04.320]  下藥可以用適合的藥來解毒
[00:01:04.320 --> 00:01:10.160]  就好像最近看回十年前的傷心事的一些特輯
[00:01:10.160 --> 00:01:14.200]  就是一些沙士病的電視特輯
[00:01:14.200 --> 00:01:18.640]  看到有一幕看到一些當時的醫護人員
[00:01:18.640 --> 00:01:20.920]  都很難過的樣子
[00:01:20.920 --> 00:01:22.560]  很束手無策
