
[00:00:00.000 --> 00:00:02.240]  和你旁邊那個打招呼
[00:00:02.240 --> 00:00:05.880]  就說很開心可以和你一起敬拜
[00:00:05.880 --> 00:00:13.520]  為什麼這樣說呢
[00:00:13.520 --> 00:00:17.040]  大家知道過去一個星期
[00:00:17.040 --> 00:00:23.520]  中國船的意外
[00:00:23.520 --> 00:00:25.680]  是很令人傷感的
[00:00:25.680 --> 00:00:26.480]  這是第一
[00:00:26.480 --> 00:00:29.160]  400人
[00:00:29.160 --> 00:00:32.000]  瞬間兩分鐘那艘船
[00:00:32.000 --> 00:00:35.160]  從頭到尾就翻了
[00:00:35.160 --> 00:00:39.040]  另外我不知道大家有沒有留意一個新聞
[00:00:39.040 --> 00:00:41.200]  在博弗林有一個車禍
[00:00:41.200 --> 00:00:42.480]  大家知不知道
[00:00:42.480 --> 00:00:44.720]  有一個飛蛹開車
[00:00:44.720 --> 00:00:49.680]  他很正常和守規矩地在路上開車
[00:00:49.680 --> 00:00:50.880]  然後突然間
[00:00:50.880 --> 00:00:58.760]  在另一邊有一條斜路有輛運營車
[00:00:58.760 --> 00:01:00.760]  田螺車
[00:01:00.760 --> 00:01:02.480]  就撞了下來
[00:01:02.480 --> 00:01:04.320]  撞了他的車
[00:01:04.320 --> 00:01:05.680]  他就死了
[00:01:05.680 --> 00:01:11.240]  另外他載著他先生太太的子女
[00:01:11.240 --> 00:01:13.200]  都是受傷的
[00:01:13.200 --> 00:01:18.280]  生命是很無常的
[00:01:18.280 --> 00:01:20.160]  所以你和你旁邊的人說
[00:01:20.160 --> 00:01:23.880]  可以和你一起敬拜是很感恩的
[00:01:23.880 --> 00:01:28.160]  或者你今天能夠來敬拜是很感恩的
[00:01:28.160 --> 00:01:30.360]  我們一起祈禱
[00:01:30.360 --> 00:01:33.840]  主我們願意我們存著感恩的心
[00:01:33.840 --> 00:01:41.960]  去享受和活出主祢給我們在地上的每一個日子
[00:01:41.960 --> 00:01:44.320]  主我們可能不做得最好
[00:01:44.320 --> 00:01:47.920]  但主我們願意努力去做
[00:01:47.920 --> 00:01:49.240]  幫助我們
[00:01:49.240 --> 00:01:52.840]  幫助我們去見證祢
[00:01:52.840 --> 00:01:55.360]  去將福音和人分享
[00:01:55.360 --> 00:01:57.160]  因為這是好得無比
[00:01:57.160 --> 00:02:00.720]  主願意我們能夠領受祢自己的說話
[00:02:00.720 --> 00:02:03.960]  以致我們生命不斷被更新被提醒
[00:02:03.960 --> 00:02:05.480]  多謝主你聽我們的祈禱
[00:02:05.480 --> 00:02:07.360]  奉我救主耶穌基督的命求
[00:02:07.360 --> 00:02:09.960]  阿門
[00:02:09.960 --> 00:02:14.560]  天氣越來越熱
[00:02:14.560 --> 00:02:17.800]  剛剛做詩詩 祈催
[00:02:17.800 --> 00:02:19.960]  要給你掌聲
[00:02:19.960 --> 00:02:20.840]  不是只有你
[00:02:20.840 --> 00:02:23.240]  很多做詩詩 祈催
[00:02:23.240 --> 00:02:24.720]  要歡迎
[00:02:24.720 --> 00:02:27.760]  你進來的時候
[00:02:27.760 --> 00:02:30.160]  詩詩第二個情節表演給人聽
[00:02:30.160 --> 00:02:31.920]  多謝你 真是辛苦你
[00:02:31.920 --> 00:02:32.920]  有沒有這樣說過
[00:02:32.920 --> 00:02:33.760]  有
[00:02:33.760 --> 00:02:34.640]  有 好
[00:02:34.640 --> 00:02:36.760]  我們要向一向
[00:02:36.760 --> 00:02:38.480]  是啊
[00:02:38.480 --> 00:02:39.520]  是的 要的
[00:02:39.520 --> 00:02:40.200]  不是只有你
[00:02:40.200 --> 00:02:42.640]  每個人 誰都要祈催
[00:02:42.640 --> 00:02:44.920]  做詩詩
[00:02:44.920 --> 00:02:47.560]  有些很怕熱的就不可以了
[00:02:47.560 --> 00:02:50.120]  因為已經是站完出去要換衣服
[00:02:50.120 --> 00:02:52.440]  可能已經濕透了
