
[00:00:00.000 --> 00:00:05.620]  有人說 目前這個社會是一個失落的社會
[00:00:05.620 --> 00:00:10.100]  著名的純學家
[00:00:10.100 --> 00:00:12.620]  J.I. Parker
[00:00:12.620 --> 00:00:16.680]  他將現代的文學和美術
[00:00:16.680 --> 00:00:19.080]  比較在百多年前
[00:00:19.080 --> 00:00:22.320]  他認為現代的社會明顯
[00:00:22.320 --> 00:00:24.580]  是一個失落的世道
[00:00:24.580 --> 00:00:27.300]  我們這一代的人
[00:00:27.300 --> 00:00:30.260]  所謂後現代思潮的人
[00:00:30.260 --> 00:00:34.160]  是著重感覺 嚴重理智
[00:00:34.160 --> 00:00:36.240]  對價值觀模糊
[00:00:36.240 --> 00:00:38.940]  不接受絕對的真理
[00:00:38.940 --> 00:00:41.900]  一種失落的感覺
[00:00:41.900 --> 00:00:45.600]  幾年前有個term叫做「躺平」
[00:00:45.600 --> 00:00:47.480]  現在新出的
[00:00:47.480 --> 00:00:52.040]  中國大陸有個叫做「青年養老院」
[00:00:52.040 --> 00:00:56.960]  就是年輕的時候就進去躺平養老
[00:00:58.300 --> 00:01:02.800]  我們生活在香港也不好了很多
[00:01:02.800 --> 00:01:06.840]  我們面對政治經濟轉型帶來的衝擊
[00:01:06.840 --> 00:01:09.640]  那種失落感是更加的嚴重
[00:01:09.640 --> 00:01:12.740]  那究竟基督徒有沒有這種失落感呢?
[00:01:12.740 --> 00:01:14.340]  你覺不覺得你的生活
[00:01:14.340 --> 00:01:17.980]  你的生命好像很迷惘那樣呢?
[00:01:17.980 --> 00:01:20.720]  很多人做了幾十年的基督徒
[00:01:20.720 --> 00:01:22.880]  是不覺得上帝真實的
[00:01:22.880 --> 00:01:25.420]  如果你午夜夢回自己
[00:01:25.420 --> 00:01:28.620]  去反思自己究竟我所信的上帝
[00:01:28.620 --> 00:01:31.460]  我是不是真的知道他有永生神呢?
[00:01:31.460 --> 00:01:34.960]  我是不是知道我有將來上天堂呢?
[00:01:34.960 --> 00:01:36.960]  我是不是知道天堂是真的呢?
[00:01:36.960 --> 00:01:39.540]  我是不是過一個豐盛的生命呢?
[00:01:39.540 --> 00:01:43.100]  我的生命是不是烏呀烏呀那樣的呢?
[00:01:43.100 --> 00:01:47.480]  有時候很多基督徒覺得自己沒有力量
[00:01:47.480 --> 00:01:49.340]  不滿足
[00:01:49.340 --> 00:01:52.180]  也有基督徒少數
[00:01:52.180 --> 00:01:55.320]  在這個困難的環境裡面
[00:01:55.320 --> 00:01:58.120]  是發揮正面的影響力
[00:01:58.120 --> 00:02:00.120]  有基督的香氣、有力量
[00:02:00.120 --> 00:02:02.120]  兩者的分別
[00:02:02.120 --> 00:02:06.560]  是在乎你是不是真正和耶穌相遇
[00:02:06.560 --> 00:02:09.440]  你和祂是不是面對面的相遇
[00:02:09.440 --> 00:02:10.940]  如果你是的話
[00:02:10.940 --> 00:02:12.140]  你的生命就改變了
[00:02:12.140 --> 00:02:13.140]  如果不是
[00:02:13.140 --> 00:02:16.000]  你說我在教會裡面洗禮
[00:02:16.000 --> 00:02:17.000]  有證
[00:02:17.000 --> 00:02:18.580]  那我又聽一下道
[00:02:18.580 --> 00:02:20.580]  有時候在網上聽 有時候回來
[00:02:20.580 --> 00:02:23.680]  今天下大雨我就在網上了
[00:02:23.680 --> 00:02:26.180]  不過你在座的各位回來也很難得
[00:02:26.180 --> 00:02:29.520]  如果是這樣的話
[00:02:29.520 --> 00:02:32.720]  你可能還沒有真正和耶穌相遇
[00:02:32.720 --> 00:02:35.960]  今天我要和大家分享彼得的經歷
[00:02:35.960 --> 00:02:40.600]  他怎樣分除了耶穌一年半之後
[00:02:40.600 --> 00:02:44.360]  然後才真正和耶穌真正相遇
[00:02:44.360 --> 00:02:47.700]  剛才主持人韋翰和我讀了一段經文
[00:02:47.700 --> 00:02:50.740]  《路加福音》五章一到十一節
[00:02:50.740 --> 00:02:54.440]  就是彼得生命的轉捩點
[00:02:54.440 --> 00:02:58.040]  他與基督真正的相遇在那一刻
[00:02:58.040 --> 00:03:02.760]  之後他就撇下所有的跟隨耶穌
[00:03:02.760 --> 00:03:05.660]  我們要在他的人生經歷裡面
[00:03:05.660 --> 00:03:08.860]  看一下我們怎樣真的和耶穌相遇
[00:03:08.860 --> 00:03:11.960]  以致我們有一個轉捩點
[00:03:11.960 --> 00:03:13.960]  有一個改變
[00:03:13.960 --> 00:03:15.760]  將以前那種嗚呀嗚呀
[00:03:15.760 --> 00:03:18.260]  那種迷夢 那種失落的感覺
[00:03:18.260 --> 00:03:22.400]  一掃而空 踏入你生命的新階段
[00:03:22.400 --> 00:03:25.100]  所以今天這段經文神的話語
[00:03:25.100 --> 00:03:27.000]  可能是對著你講的
[00:03:27.000 --> 00:03:30.720]  我們首先看一下這件事的背景是怎樣
[00:03:30.720 --> 00:03:32.720]  這件事發生的時候
[00:03:32.720 --> 00:03:35.320]  耶穌出來已經一年半了
[00:03:35.320 --> 00:03:38.260]  一年半裡面發生了很多事情
[00:03:38.260 --> 00:03:42.460]  我們很快出來同溫一下
[00:03:42.460 --> 00:03:48.960]  大家都知道耶穌的家鄉就是拿撒勒
[00:03:48.960 --> 00:03:52.360]  拿撒勒就在加利利海附近
[00:03:52.360 --> 00:03:53.560]  他一出來傳道
[00:03:53.560 --> 00:03:56.360]  第一件做的事就是向南走
[00:03:56.360 --> 00:04:00.560]  去到南邊 約旦河的南邊
[00:04:00.560 --> 00:04:02.960]  就是死海附近的八大利
[00:04:02.960 --> 00:04:07.160]  在那裡接受施洗約翰和他洗禮
[00:04:07.160 --> 00:04:09.960]  那裡離開耶路撒冷就不是很遠
[00:04:09.960 --> 00:04:14.360]  他受洗之後 他就退到猶大曠野
[00:04:14.360 --> 00:04:16.560]  40天受魔鬼的試探
[00:04:16.560 --> 00:04:20.160]  之後他就出來 在他受洗的地方
[00:04:20.160 --> 00:04:22.960]  呼召了五個門徒跟隨他
[00:04:22.960 --> 00:04:24.860]  約翰福音第一章提到
[00:04:24.860 --> 00:04:27.460]  首先跟隨他的是安德烈
[00:04:27.460 --> 00:04:30.960]  然後他找到自己的哥哥西門就是彼得
[00:04:30.960 --> 00:04:32.960]  說我們遇見尼塞亞了
[00:04:32.960 --> 00:04:36.260]  彼得就在那時候跟隨耶穌
[00:04:36.260 --> 00:04:42.960]  這五個人其實是施洗約翰的門徒
[00:04:42.960 --> 00:04:48.560]  他們雖然在北部加利利海那裡居住
[00:04:48.560 --> 00:04:51.760]  但是他們慕名而來
[00:04:51.760 --> 00:04:53.960]  他們嚮往施洗約翰
[00:04:53.960 --> 00:04:58.960]  於是就落到南邊做他的門徒
[00:04:58.960 --> 00:05:07.360]  然後他就跟隨了耶穌
[00:05:07.360 --> 00:05:09.960]  耶穌呼召了這五個人之後
[00:05:09.960 --> 00:05:11.160]  包括彼得
[00:05:11.160 --> 00:05:15.460]  他們就向北走 走回加利利那邊
[00:05:15.460 --> 00:05:20.160]  在那裡經過一個村鎮叫做加拿
[00:05:20.160 --> 00:05:23.760]  加拿那裡的婚禮變水為酒
[00:05:23.760 --> 00:05:27.260]  然後他們去到加利利的北邊的加伯隆
[00:05:27.260 --> 00:05:30.260]  在那裡住了一段短時間
[00:05:30.260 --> 00:05:33.160]  然後就向南行
[00:05:33.160 --> 00:05:36.160]  去到耶路撒冷那裡過如月節
[00:05:36.160 --> 00:05:39.360]  在那裡他是第一次清潔聖殿
[00:05:39.360 --> 00:05:43.160]  趕走那些找換銀錢的人
[00:05:43.160 --> 00:05:45.960]  也在那裡他遇見尼哥底母
[00:05:45.960 --> 00:05:48.360]  跟他傳福音 約翰福音三章
[00:05:48.360 --> 00:05:49.860]  大家都熟悉
[00:05:49.860 --> 00:05:52.860]  然後耶穌跟著跟他們向北走
[00:05:52.860 --> 00:05:54.160]  回到加利利
[00:05:54.160 --> 00:05:56.160]  途中經過撒瑪利亞
[00:05:56.160 --> 00:05:58.760]  跟撒瑪利亞的婦人傳福音
[00:05:58.760 --> 00:06:00.360]  大家是不是很熟悉
[00:06:00.360 --> 00:06:04.160]  這個全部發生在頭九個月的時候
[00:06:04.160 --> 00:06:09.760]  他去到自己的家鄉
[00:06:09.760 --> 00:06:11.160]  就是拿撒勒
[00:06:11.160 --> 00:06:13.860]  在那裡在會堂教訓人
[00:06:13.860 --> 00:06:16.960]  但那些同鄉就不接受他
[00:06:16.960 --> 00:06:20.660]  耶穌說先知在本地多數都不受尊重
[00:06:20.660 --> 00:06:22.560]  離開那裡
[00:06:22.560 --> 00:06:26.760]  到這一刻為止就用了九個月
[00:06:26.760 --> 00:06:28.760]  接下來的九個月
[00:06:28.760 --> 00:06:31.060]  他就在加利利一帶傳道
[00:06:31.060 --> 00:06:33.660]  所以我們看到頭十八個月
[00:06:33.660 --> 00:06:35.260]  耶穌的傳道生涯
[00:06:35.260 --> 00:06:37.060]  就從加利利去耶路撒冷
[00:06:37.060 --> 00:06:38.160]  又回到加利利
