
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹 讓我們一起翻開程序表
[00:00:06.000 --> 00:00:13.000]  有一點事情和大家報告
[00:00:13.000 --> 00:00:19.000]  當然不是現在報告啦 開玩笑
[00:00:19.000 --> 00:00:26.000]  如果大家打開程序表 你有沒有看到有什麼不同呢
[00:00:26.000 --> 00:00:31.000]  當然報告和祈禱事項有不同 那些不算
[00:00:31.000 --> 00:00:35.000]  當然祈禱和報告事項有點不同
[00:00:35.000 --> 00:00:37.000]  你說人名有不同
[00:00:37.000 --> 00:00:40.000]  你說名字有不同
[00:00:40.000 --> 00:00:41.000]  不算
[00:00:41.000 --> 00:00:42.000]  也不算
[00:00:42.000 --> 00:00:43.000]  那我讓你看一看
[00:00:43.000 --> 00:00:46.000]  我讓你現在看一看 仔細的看一看
[00:00:46.000 --> 00:00:51.000]  沒錯 看完之後我不會和大家說有什麼不同
[00:00:51.000 --> 00:00:53.000]  現在我不會告訴大家有什麼不同的地方
[00:00:53.000 --> 00:00:55.000]  讓大家慢慢看一下
[00:00:55.000 --> 00:01:07.000]  在一月份我和家人開車去了阿德萊德
[00:01:07.000 --> 00:01:11.000]  途中經過一個小鎮
[00:01:11.000 --> 00:01:13.000]  叫做Mildura
[00:01:13.000 --> 00:01:18.000]  在小鎮裏面我們看到一幅很大的圖畫
[00:01:18.000 --> 00:01:23.000]  在小鎮裏面我們看到一幅很大的畫
[00:01:23.000 --> 00:01:28.000]  上面寫著Sunracia
[00:01:28.000 --> 00:01:33.000]  我就記得Sunracia是一個果汁牌子
[00:01:33.000 --> 00:01:36.000]  我記得Sunracia是一個果汁牌子
[00:01:36.000 --> 00:01:41.000]  我還記得這個果汁牌子以前的一個廣告
[00:01:41.000 --> 00:01:44.000]  我還記得這個果汁牌子以前的一個廣告
[00:01:44.000 --> 00:01:46.000]  大家有沒有聽過Sunracia
[00:01:46.000 --> 00:01:48.000]  大家有沒有聽過Sunracia
[00:01:48.000 --> 00:01:50.000]  大家有沒有聽過這個廣告
[00:01:50.000 --> 00:01:55.000]  不知道為什麼這個廣告這麼多年來我一直都會背
[00:01:55.000 --> 00:02:00.000]  不知道為什麼我一直會記得廣告的內容
