
[00:00:00.000 --> 00:00:02.000]  我們再有個祈禱
[00:00:02.000 --> 00:00:06.000]  親愛的聖靈,我們就在你面前去呼求你
[00:00:06.000 --> 00:00:11.000]  求你不單止來做我們的保衛師、我們的安慰師
[00:00:11.000 --> 00:00:14.000]  更加我們知道你就是真理的聖靈
[00:00:14.000 --> 00:00:19.000]  求你讓我們能夠去明白真理、能夠明白神的話
[00:00:19.000 --> 00:00:21.000]  親愛的聖靈,我們又感謝你
[00:00:21.000 --> 00:00:23.000]  因為你常常都用說不出來的嘆息
[00:00:23.000 --> 00:00:25.000]  為我們來祈禱
[00:00:25.000 --> 00:00:26.000]  有時候我們都不懂得祈禱
[00:00:26.000 --> 00:00:30.000]  但你就已經暗暗地來為我們禱告
[00:00:30.000 --> 00:00:35.000]  親愛的聖靈,求你今天再次的來在我們中間
[00:00:35.000 --> 00:00:39.000]  去觸摸我們的心、觸摸我們的靈
[00:00:39.000 --> 00:00:41.000]  叫我們能夠在你面前
[00:00:41.000 --> 00:00:45.000]  我們的靈裏面可以得到飽足
[00:00:45.000 --> 00:00:49.000]  我們因慰神的話,我們可以得到飽足
[00:00:49.000 --> 00:00:54.000]  親愛的聖靈,我們願意來呼求你、仰望你
[00:00:54.000 --> 00:00:59.000]  求你臨在,我們這樣祈禱、我們等候
[00:00:59.000 --> 00:01:02.000]  是靠耶穌基督的聖名祈求,阿們
[00:01:02.000 --> 00:01:04.000]  好,弟兄姊妹
[00:01:04.000 --> 00:01:09.000]  今天我們想跟大家分享的題目叫做
[00:01:09.000 --> 00:01:12.000]  「來,傳一個和平的福音」
[00:01:12.000 --> 00:01:14.000]  誰來呢?
[00:01:14.000 --> 00:01:18.000]  基本上就是講耶穌
[00:01:18.000 --> 00:01:21.000]  耶穌祂來到這個世界的時候
[00:01:21.000 --> 00:01:24.000]  就是為了要將一個和平的福音帶給我們
[00:01:24.000 --> 00:01:27.000]  耶穌什麼時候來到這個世界呢?
[00:01:27.000 --> 00:01:29.000]  大家想一想今年是多少年
[00:01:29.000 --> 00:01:31.000]  大概都知道了,是吧?
[00:01:31.000 --> 00:01:33.000]  今年是多少年?
[00:01:33.000 --> 00:01:36.000]  2022年,是吧?還是2022年,是吧?
[00:01:36.000 --> 00:01:42.000]  大概耶穌在2022年之前就來到這個世界裏
[00:01:42.000 --> 00:01:46.000]  其實祂降生的地點在哪裏呢?
[00:01:46.000 --> 00:01:49.000]  我們先看看地圖,我們再下去看的時候
[00:01:49.000 --> 00:01:52.000]  這幅地圖就粗略
[00:01:52.000 --> 00:01:55.000]  大家不用太過介意
[00:01:55.000 --> 00:01:57.000]  因為未必是那麼精準的
[00:01:57.000 --> 00:02:00.000]  但是我想大家看的就是一顆紅點
[00:02:00.000 --> 00:02:01.000]  大家找得到嗎?
[00:02:01.000 --> 00:02:03.000]  有一顆紅點
[00:02:03.000 --> 00:02:06.000]  紅點那裏就是今天的以色列的地方
[00:02:06.000 --> 00:02:08.000]  或者我們看新聞
[00:02:08.000 --> 00:02:11.000]  叫做中東那一帶的地方
[00:02:11.000 --> 00:02:18.000]  其實正正就是歐洲、亞洲和非洲的一個接合點
[00:02:18.000 --> 00:02:20.000]  如果我們從地理去看
[00:02:20.000 --> 00:02:23.000]  埃及那邊已經是非洲
[00:02:23.000 --> 00:02:27.000]  接著對上那些就是亞洲
[00:02:27.000 --> 00:02:29.000]  接著你看到中間有一塊叫土耳其
