
[00:00:00.000 --> 00:00:02.320]  今天我們分享的聖經
[00:00:02.320 --> 00:00:04.320]  都是用愛作為焦點
[00:00:04.320 --> 00:00:06.320]  這段時間我們都是在說彼此相愛
[00:00:06.320 --> 00:00:10.480]  所以我們都是維持在這個路向裏面
[00:00:10.480 --> 00:00:12.040]  我們都是說約翰一書
[00:00:12.040 --> 00:00:13.700]  因為約翰一書很特別的
[00:00:13.700 --> 00:00:16.720]  這本書沒有甚麼結構
[00:00:16.720 --> 00:00:17.720]  應該不是這樣說
[00:00:17.720 --> 00:00:18.840]  結構很難找的
[00:00:18.840 --> 00:00:21.200]  不同的人有不同的看法
[00:00:21.200 --> 00:00:27.120]  不過有一個英國的老人家
[00:00:27.120 --> 00:00:27.960]  他已經去世了
[00:00:27.960 --> 00:00:32.120]  他看這本書他找到三件事
[00:00:32.120 --> 00:00:34.760]  我覺得很有動見
[00:00:34.760 --> 00:00:38.400]  他說約翰一書裏面除了說愛之外
[00:00:38.400 --> 00:00:41.080]  他還說另外有兩個導向
[00:00:41.080 --> 00:00:43.080]  是幫我們明白這本書的
[00:00:43.080 --> 00:00:48.040]  這本書裏面出現了三次說謊
[00:00:48.040 --> 00:00:49.280]  說謊言
[00:00:49.280 --> 00:00:51.280]  不是我們說的謊言
[00:00:51.280 --> 00:00:52.280]  即是說謊言
[00:00:52.280 --> 00:00:54.280]  我們先看看聖經怎樣說
[00:00:54.280 --> 00:00:58.040]  幫我們進入今天的愛還相求
[00:00:58.040 --> 00:00:59.040]  我給他這個名字
[00:00:59.040 --> 00:01:02.680]  第一段經文是約翰一書一章第六節
[00:01:02.680 --> 00:01:04.680]  先看看這個
[00:01:04.680 --> 00:01:08.680]  約翰一書一章的第六節
[00:01:08.680 --> 00:01:10.680]  好,一起讀一次,好嗎?
[00:01:10.680 --> 00:01:14.680]  我們若說是與神相交
[00:01:14.680 --> 00:01:16.680]  卻仍在黑暗旅行
[00:01:16.680 --> 00:01:19.680]  就是說謊話,不幸真理了
[00:01:19.680 --> 00:01:22.680]  好,他說甚麼是說謊話?
[00:01:22.680 --> 00:01:24.680]  是一個人說他與神相交
[00:01:24.680 --> 00:01:26.680]  意思是說我與神很老友
