
[00:00:00.000 --> 00:00:02.360]  各位聽眾各位朋友 早安
[00:00:02.360 --> 00:00:04.320]  再一次歡迎你參加我們
[00:00:04.320 --> 00:00:06.800]  「烈師橫方堂」的網絡主日崇拜
[00:00:06.800 --> 00:00:08.840]  今天我們仍然會看一個主題
[00:00:08.840 --> 00:00:12.280]  就是「拉闊領域 衝破界限」
[00:00:12.280 --> 00:00:13.840]  這個特別的主題
[00:00:13.840 --> 00:00:15.200]  特別在新年的時間
[00:00:15.200 --> 00:00:16.560]  希望我們用這個主題
[00:00:16.560 --> 00:00:19.600]  去幫助我們面對一個新的一年的時候
[00:00:19.600 --> 00:00:21.960]  對我們自己屬靈的視野
[00:00:21.960 --> 00:00:24.960]  對我們在神面前的夢想
[00:00:24.960 --> 00:00:28.800]  我們的追求到底會不會有一個突破呢?
[00:00:28.800 --> 00:00:33.120]  會不會想衝破你自己的界限呢?
[00:00:33.120 --> 00:00:37.080]  生活在美國科羅拉多州大峽谷的Dill
[00:00:37.080 --> 00:00:40.760]  用了一種很特別的樹枝去築巢
[00:00:40.760 --> 00:00:43.920]  這一種樹枝是非常堅硬的
[00:00:43.920 --> 00:00:46.880]  也有很多刺在這根樹枝上
[00:00:46.880 --> 00:00:49.440]  為了要尋找這些特別的樹枝
[00:00:49.440 --> 00:00:52.280]  Dill媽媽每天就要飛到很遠的地方
[00:00:52.280 --> 00:00:54.960]  去找這些特別的樹枝
[00:00:54.960 --> 00:00:57.280]  當她們築好巢之後
[00:00:57.280 --> 00:01:01.560]  她還要在上面鋪一些樹葉、羽毛、雜草
[00:01:01.560 --> 00:01:08.560]  來防止BBDill在樹枝上被那些刺刺傷她們
[00:01:08.560 --> 00:01:12.040]  但是隨著BBDill漸漸長大了
[00:01:12.040 --> 00:01:15.400]  她們開始在這個窩裏掙扎
[00:01:15.400 --> 00:01:17.400]  因為空間越來越少
[00:01:17.400 --> 00:01:20.440]  她們對食物的要求也越來越高、越來越多
[00:01:20.440 --> 00:01:25.880]  以致Dill媽媽也沒有辦法滿足到她們的需求
[00:01:25.880 --> 00:01:29.720]  為了這樣的緣故 為了讓這些BBDill可以生存下來
[00:01:29.720 --> 00:01:33.000]  她就一定要讓這些BBDill離開這個巢
[00:01:33.000 --> 00:01:37.320]  為了激動她們獨立的生活或者求生的意志
[00:01:37.320 --> 00:01:43.240]  Dill媽媽就開始拿走了在巢裏的一些樹葉
[00:01:43.240 --> 00:01:45.360]  拿走了一些羽毛
[00:01:45.360 --> 00:01:48.120]  然後那些樹枝就露出來了
[00:01:48.120 --> 00:01:49.600]  那些刺就會露出來了
[00:01:49.600 --> 00:01:53.240]  因為這樣的緣故 在巢裏面因為空間窄小
[00:01:53.240 --> 00:01:55.840]  那些BBDill就會被那些刺刺傷
[00:01:55.840 --> 00:01:58.400]  她們就會逃避這些刺
[00:01:58.400 --> 00:02:00.960]  她們就走到巢的邊緣那裏
[00:02:00.960 --> 00:02:06.720]  在這個時候 Dill媽媽就會引她們到巢的最邊緣位置
[00:02:06.720 --> 00:02:08.240]  引她們離開這個巢穴
[00:02:08.240 --> 00:02:10.520]  一旦那些BBDill離開了巢
[00:02:10.520 --> 00:02:12.080]  她們就會不斷向下跌
[00:02:12.080 --> 00:02:15.600]  她們就會拼命地拍打她們的翅膀
[00:02:15.600 --> 00:02:20.240]  因為這樣就可以阻止她們墜下去
[00:02:20.240 --> 00:02:22.680]  你知道接下來會發生什麼事
[00:02:22.680 --> 00:02:26.360]  就是她們開始去吃肥
[00:02:26.360 --> 00:02:30.880]  Dill這個家族就開始慢慢誕生
[00:02:30.880 --> 00:02:32.800]  這個家族就會擴展下去
[00:02:32.800 --> 00:02:36.000]  這個家庭就會擴充下去
[00:02:36.000 --> 00:02:40.440]  我們的教會、神國的事供
[00:02:40.440 --> 00:02:43.560]  甚至我們自己的生命又怎樣繼續
[00:02:43.560 --> 00:02:47.440]  又怎樣在新的一年我們可以擴張下去呢?
[00:02:47.440 --> 00:02:49.040]  我們繼續來看一看
[00:02:49.040 --> 00:02:54.360]  《以賽亞書》第54章第1到第3節
[00:02:54.360 --> 00:02:55.840]  是一個比喻
[00:02:55.840 --> 00:02:58.640]  大家還有沒有印象這個比喻說什麼呢?
[00:02:58.640 --> 00:03:02.040]  是利用了一個婦人做一個比喻
[00:03:02.040 --> 00:03:03.600]  我們從這個比喻裏面
[00:03:03.600 --> 00:03:06.520]  我們看到這個婦人是一個不懂得生育
[00:03:06.520 --> 00:03:08.720]  沒有能力去生育的一個婦人
[00:03:08.720 --> 00:03:12.200]  第二就是她從來沒有經歷過生產的疼痛
