
[00:00:00.000 --> 00:00:07.000]  我們這個詞的興起題目就是根據聖經來傳福音
[00:00:07.000 --> 00:00:16.000]  從四三章開始福音的重點就從猶太人傳到外邦人的
[00:00:16.000 --> 00:00:22.000]  所以從四三章開始就由保羅、巴拿巴還有其他童工
[00:00:22.000 --> 00:00:28.000]  他們就按照聖靈的差遣到海外、到外面去傳到了
[00:00:28.000 --> 00:00:33.000]  像外邦人傳福音
[00:00:33.000 --> 00:00:37.000]  那麼到二十八章結束的時候
[00:00:37.000 --> 00:00:44.000]  保羅跟他童工已經有三次從安提亞出發
[00:00:44.000 --> 00:00:49.000]  出去在亞洲這一帶傳福音
[00:00:49.000 --> 00:00:56.000]  然後回來以後又再出去到歐洲、亞洲、歐洲這地方傳福音
[00:00:56.000 --> 00:01:01.000]  那麼到第三次已經是把福音傳到羅馬的地方
[00:01:01.000 --> 00:01:06.000]  可以說在羅馬的當時是已經算比較遠的地方了
[00:01:06.000 --> 00:01:11.000]  所以他們就按照耶穌基督在昇天前所吩咐的
[00:01:11.000 --> 00:01:15.000]  他說你們要得到聖靈做能力
[00:01:15.000 --> 00:01:17.000]  那麼要爲他做見證
[00:01:17.000 --> 00:01:26.000]  從耶路撒冷、沙瑪利亞、猶太權地沙瑪利亞一直到地級做主的見證
[00:01:26.000 --> 00:01:32.000]  所以他們就是按照主的吩咐就在很遠的地方
[00:01:32.000 --> 00:01:34.000]  一直傳到很遠的地方了
[00:01:34.000 --> 00:01:38.000]  那麼到我們已經看到第十七章
[00:01:38.000 --> 00:01:42.000]  就看見他們來到三個地方傳福音
[00:01:42.000 --> 00:01:45.000]  這一章所記載的就三個地方
[00:01:45.000 --> 00:01:47.000]  一個就是切撒羅尼加
[00:01:47.000 --> 00:01:52.000]  下來一個就是在比利亞
[00:01:52.000 --> 00:01:55.000]  第三個他們就來到雅典
[00:01:55.000 --> 00:01:59.000]  這一章就要提到三個地方傳福音
[00:01:59.000 --> 00:02:05.000]  但是我們看到這三個地方的傳福音有一個共同的特點
[00:02:05.000 --> 00:02:10.000]  他們都是按照聖經、根據聖經來傳福音
[00:02:10.000 --> 00:02:14.000]  我們先來看在切撒羅尼加傳福音
[00:02:14.000 --> 00:02:19.000]  在這個十七章的一節到十節
[00:02:19.000 --> 00:02:25.000]  這一段是講到在切撒羅尼加傳福音
[00:02:25.000 --> 00:02:30.000]  保羅跟希拉他離開了菲律賓
[00:02:30.000 --> 00:02:33.000]  那麼就來到這個切撒羅尼加
[00:02:33.000 --> 00:02:36.000]  切撒羅尼加是在菲律賓的西面
[00:02:36.000 --> 00:02:39.000]  大概有一百公里的地方
[00:02:39.000 --> 00:02:45.000]  所以保羅跟同工就是照樹藏的規矩進去
[00:02:45.000 --> 00:02:51.000]  第二節說保羅照他樹藏的規矩進去
[00:02:51.000 --> 00:02:56.000]  到這個猶太人的會堂來傳福音
[00:02:56.000 --> 00:03:04.000]  這個是保羅跟同工們是在第二次從安吉亞出發
[00:03:04.000 --> 00:03:08.000]  要走很遠的路去傳福音
[00:03:08.000 --> 00:03:13.000]  那麼這次他們已經到了菲律賓
[00:03:13.000 --> 00:03:15.000]  菲律賓就是在馬其頓
[00:03:15.000 --> 00:03:19.000]  就現在歐洲的馬其頓共和國這個地方
[00:03:19.000 --> 00:03:21.000]  已經進了歐洲了
[00:03:21.000 --> 00:03:23.000]  那麼就進到菲律賓
[00:03:23.000 --> 00:03:26.000]  因爲他們在夜間看到異象
[00:03:26.000 --> 00:03:29.000]  所以馬其頓人站着說
[00:03:29.000 --> 00:03:31.000]  你們過來幫助我們吧
[00:03:31.000 --> 00:03:34.000]  所以他們有這樣的引領了以後
[00:03:34.000 --> 00:03:37.000]  他們就過了海來到菲律賓
[00:03:37.000 --> 00:03:39.000]  在菲律賓傳福音以後
[00:03:39.000 --> 00:03:44.000]  他們就來到貼沙封利家
[00:03:44.000 --> 00:03:49.000]  當然他們在菲律賓傳福音不是很容易的
[00:03:49.000 --> 00:03:52.000]  在那個地方找不到猶太人的會堂
[00:03:52.000 --> 00:03:55.000]  這是在河邊禱告的地方
[00:03:55.000 --> 00:03:59.000]  看見有幾個婦女在禱告
[00:03:59.000 --> 00:04:01.000]  他們就跟她傳福音
[00:04:01.000 --> 00:04:04.000]  其中有一個婦女叫做呂迪亞
[00:04:04.000 --> 00:04:06.000]  她就信了主了
[00:04:06.000 --> 00:04:08.000]  然後他們就被關起來
[00:04:08.000 --> 00:04:11.000]  在菲律賓被關起來
[00:04:11.000 --> 00:04:12.000]  被打了
[00:04:12.000 --> 00:04:14.000]  把他們下到監裏
[00:04:14.000 --> 00:04:16.000]  神自己做工
[00:04:16.000 --> 00:04:20.000]  在夜半的時候地大震動
[00:04:20.000 --> 00:04:22.000]  監獄的門都開了
[00:04:22.000 --> 00:04:27.000]  然後禁足管監的人就很害怕
[00:04:27.000 --> 00:04:30.000]  以爲是這些犯人都已經逃走了
[00:04:30.000 --> 00:04:32.000]  他就想自殺的時候
[00:04:32.000 --> 00:04:34.000]  保羅就跟他說
[00:04:34.000 --> 00:04:36.000]  你不要害自己
[00:04:36.000 --> 00:04:38.000]  就告訴他我們都在這裏
