
[00:00:00.000 --> 00:00:02.000]  鄧小明問候頂姐妹平安
[00:00:02.000 --> 00:00:05.000]  鄧小明問候弟兄姊妹平安
[00:00:05.000 --> 00:00:07.000]  各位頂姐妹
[00:00:07.000 --> 00:00:10.000]  我和大家來研究獵王地下
[00:00:10.000 --> 00:00:14.000]  我一路跟大家研讀獵王地下
[00:00:14.000 --> 00:00:16.000]  大家手上應該有個大綱
[00:00:16.000 --> 00:00:19.000]  大家手上應該有個大綱
[00:00:19.000 --> 00:00:23.000]  我今天的題目叫做
[00:00:23.000 --> 00:00:26.000]  「以利沙繼承以利亞」
[00:00:26.000 --> 00:00:28.000]  今天題目就是「以利沙繼承以利亞」
[00:00:28.000 --> 00:00:30.000]  這兩個名字很相似
[00:00:30.000 --> 00:00:32.000]  這兩個名字很相似
[00:00:32.000 --> 00:00:33.000]  很容易搞錯
[00:00:33.000 --> 00:00:35.000]  很容易搞錯
[00:00:35.000 --> 00:00:37.000]  我希望大家能夠搞清楚
[00:00:37.000 --> 00:00:39.000]  Elijah
[00:00:39.000 --> 00:00:40.000]  以利沙
[00:00:40.000 --> 00:00:41.000]  如果用原文
[00:00:41.000 --> 00:00:43.000]  Elijah即是師父
[00:00:43.000 --> 00:00:47.000]  Elijah即是Yahweh is my God
[00:00:47.000 --> 00:00:49.000]  Eli呢
[00:00:49.000 --> 00:00:51.000]  My God
[00:00:51.000 --> 00:00:52.000]  Eli是My God
[00:00:52.000 --> 00:00:53.000]  Yah呢
[00:00:53.000 --> 00:00:54.000]  Yahweh
[00:00:54.000 --> 00:00:55.000]  Yahweh
[00:00:55.000 --> 00:00:57.000]  耶和華是我的上帝
[00:00:57.000 --> 00:00:58.000]  耶和華是我的上帝
[00:00:58.000 --> 00:00:59.000]  我講過了
[00:00:59.000 --> 00:01:00.000]  這個是以利亞的名字
[00:01:00.000 --> 00:01:02.000]  Elijah呢
[00:01:02.000 --> 00:01:04.000]  就是
[00:01:04.000 --> 00:01:06.000]  Eli是我的上帝
[00:01:06.000 --> 00:01:09.000]  沙字是一個動詞
[00:01:09.000 --> 00:01:11.000]  是拯救
[00:01:11.000 --> 00:01:15.000]  我的上帝拯救
[00:01:15.000 --> 00:01:16.000]  以利沙的意思就是
[00:01:16.000 --> 00:01:18.000]  我的上帝拯救
[00:01:18.000 --> 00:01:20.000]  以利其實就是我的上帝的意思
[00:01:20.000 --> 00:01:22.000]  以利是我的上帝
[00:01:22.000 --> 00:01:23.000]  Yah
[00:01:23.000 --> 00:01:24.000]  Yah
[00:01:24.000 --> 00:01:25.000]  耶和華
