
[00:00:00.000 --> 00:00:02.260]  大家有無留意到個題目?
[00:00:02.260 --> 00:00:08.760]  擺明抽水嘅呢個嘅題目
[00:00:08.760 --> 00:00:11.000]  所以呢就為咗避免
[00:00:11.000 --> 00:00:12.880]  一啲事情呢
[00:00:12.880 --> 00:00:15.500]  你讀漏咗後邊有兩個圈圈
[00:00:15.500 --> 00:00:18.000]  即係呢個講題有四個字嘅
[00:00:18.000 --> 00:00:22.520]  咁後邊嗰個圈圈呢就冇標出黎嘅啫
[00:00:22.520 --> 00:00:26.040]  就唔能夠講你淨係頭嗰兩個字嘅
[00:00:26.040 --> 00:00:27.200]  得唔得呀?
[00:00:27.200 --> 00:00:28.680]  我哋呢係
[00:00:28.680 --> 00:00:30.160]  教會嚟㗎嘛
[00:00:30.160 --> 00:00:31.880]  咁教會係講咩嘅呢?
[00:00:31.880 --> 00:00:34.200]  填充題
[00:00:34.200 --> 00:00:36.720]  係呀,真係好聰明
[00:00:36.720 --> 00:00:40.600]  個題目呢係講讀聖經
[00:00:40.600 --> 00:00:44.000]  我哋呢講讀聖經嘅呢一回事
[00:00:44.000 --> 00:00:45.160]  咁清楚啦,吓?
[00:00:45.160 --> 00:00:46.960]  咁呀
[00:00:46.960 --> 00:00:49.000]  陳腔濫調呀嘛
[00:00:49.000 --> 00:00:50.720]  又講讀聖經呀
[00:00:50.720 --> 00:00:53.080]  冇錯啦,我哋又講讀聖經
[00:00:53.080 --> 00:00:56.960]  咁用嘅經文呢
[00:00:56.960 --> 00:00:59.160]  大家都或者好熟悉㗎啦
[00:00:59.160 --> 00:01:01.440]  咁我哋呢如果搵聖經嘅就搵啦
[00:01:01.440 --> 00:01:04.600]  咁如果睇屏幕嘅都可以睇
[00:01:04.600 --> 00:01:06.760]  咁我讀一次提摩太后書
[00:01:06.760 --> 00:01:09.320]  三章十六至十七節
[00:01:09.320 --> 00:01:12.240]  聖經都是神所默示的
[00:01:12.240 --> 00:01:15.880]  於教訓、督責、使人歸正
[00:01:15.880 --> 00:01:19.120]  教導人學義都是有益的
[00:01:19.120 --> 00:01:21.960]  叫屬神的人得以完全
[00:01:21.960 --> 00:01:24.800]  預備行各樣的善事
[00:01:25.280 --> 00:01:27.080]  呢篇呢就係
[00:01:27.080 --> 00:01:29.640]  聖經裏面講到聖經係啲乜嘢
[00:01:29.640 --> 00:01:31.960]  同埋有咩功用,好出名嘅經文
