
[00:00:00.000 --> 00:00:03.880]  我們說《耶利米哀歌》這本書
[00:00:03.880 --> 00:00:06.120]  其實《耶利米哀歌》這本書
[00:00:06.120 --> 00:00:10.360]  不僅是講以色列人亡國的痛苦
[00:00:10.360 --> 00:00:13.760]  但在《耶利米哀歌》裡其實是教我們
[00:00:13.760 --> 00:00:16.760]  如果我們有憂鬱、黑暗
[00:00:16.760 --> 00:00:20.680]  如何能夠達出、如何能夠醫治
[00:00:20.680 --> 00:00:22.200]  五章的經文
[00:00:22.200 --> 00:00:24.400]  每一章的經文給我們看到
[00:00:24.400 --> 00:00:26.880]  都有它特別的地方
[00:00:26.880 --> 00:00:30.080]  上一次我們講了第一章
[00:00:30.080 --> 00:00:32.480]  就是教我們在苦難的時候
[00:00:32.480 --> 00:00:35.520]  在困境的時候要面對現實
[00:00:35.520 --> 00:00:37.120]  要接受現實
[00:00:37.120 --> 00:00:39.160]  這是第一步
[00:00:39.160 --> 00:00:42.000]  今天要跟大家講的是第二步
[00:00:42.000 --> 00:00:45.360]  就是《耶利米哀歌》的第二章
[00:00:45.360 --> 00:00:49.840]  我們不妨看看《耶利米哀歌》的結構
[00:00:49.840 --> 00:00:54.240]  我們說五章的經文都有字母詩
[00:00:54.240 --> 00:00:59.160]  而每篇的字母詩都有少少的不同
[00:00:59.160 --> 00:01:01.760]  上一次跟大家講了
[00:01:01.760 --> 00:01:07.240]  第一章就是在字母詩不同的地方
[00:01:07.240 --> 00:01:09.520]  或者我叫它做瑕疵
[00:01:09.520 --> 00:01:12.720]  而指出了第一章的重要性
[00:01:12.720 --> 00:01:18.040]  就是它在第十六和第十七兩個字母是倒轉了
[00:01:18.040 --> 00:01:22.800]  猶太人懂得希伯來文一看就知道有點不妥
[00:01:22.800 --> 00:01:25.560]  兩個字母倒轉了
[00:01:25.560 --> 00:01:28.880]  在第二章、第三章、第四章
[00:01:28.880 --> 00:01:31.680]  Pay這個字母和Iron
[00:01:31.680 --> 00:01:34.600]  是Pay先行然後才到Iron
[00:01:34.600 --> 00:01:38.080]  第一章Iron是先過Pay
[00:01:38.080 --> 00:01:43.240]  所以猶太人很明顯會將注意力放在十六、十七節
[00:01:43.240 --> 00:01:47.200]  而帶出的訊息就是我們要面對現實
[00:01:47.200 --> 00:01:50.760]  我暫時不講第二章有什麼瑕疵
[00:01:50.760 --> 00:01:52.840]  先看看第三章
[00:01:52.840 --> 00:01:55.920]  第三章有六十六節的經文
[00:01:55.920 --> 00:02:00.960]  一、二、四、五章都有二十二節的經文
[00:02:00.960 --> 00:02:05.800]  很明顯第三章好像一座高山突然凸了出來
[00:02:05.800 --> 00:02:09.400]  也讓我們看到有個手尾的結構
[00:02:09.400 --> 00:02:12.600]  所以第三章最重心的地方
[00:02:12.600 --> 00:02:14.840]  就是經文最重要的地方
[00:02:14.840 --> 00:02:17.400]  就是字母詩最中心的地方
[00:02:17.400 --> 00:02:20.960]  第四章又有點不同
[00:02:20.960 --> 00:02:23.160]  我們看到第一章、第二章
[00:02:23.160 --> 00:02:26.320]  每一節都有三句經文
[00:02:26.320 --> 00:02:31.920]  第三章我們看到每一個字母重複出現三次
