
[00:00:00.000 --> 00:00:03.060]  今天我們已經來到《若拿書》的第五講
[00:00:03.060 --> 00:00:06.940]  經文是來自《若拿書》的第三章的第五節
[00:00:06.940 --> 00:00:08.660]  一直到第九節
[00:00:08.660 --> 00:00:11.380]  主題是「傳承悔改」
[00:00:11.380 --> 00:00:15.660]  要令一個窮凶極惡的尼尼未成的傳承悔改
[00:00:15.660 --> 00:00:18.740]  重生的若拿可以說是功不可沒的
[00:00:18.740 --> 00:00:22.440]  但是第三章更詳細的篇幅
[00:00:22.440 --> 00:00:25.860]  它是放在尼尼未成的人身上
[00:00:25.860 --> 00:00:28.460]  從他們怎樣回應若拿的信息
[00:00:28.460 --> 00:00:31.680]  就可以見證到至少有四條心
[00:00:31.680 --> 00:00:35.260]  促成了他們全性來悔改
[00:00:35.260 --> 00:00:40.100]  第一條心就是「上下一心去信復神」
[00:00:40.100 --> 00:00:42.520]  我想你留意第三章的第五節
[00:00:42.520 --> 00:00:44.620]  尼尼未人信復上帝
[00:00:44.620 --> 00:00:46.180]  便宣告禁誠
[00:00:46.180 --> 00:00:49.200]  從最大的到至少的
[00:00:49.200 --> 00:00:51.500]  都穿麻衣
[00:00:51.500 --> 00:00:54.100]  尼尼未成的人做了三樣東西
[00:00:54.100 --> 00:00:57.240]  去表達了他們信復神的決心
[00:00:57.240 --> 00:00:59.120]  去回應若拿的信息
[00:00:59.120 --> 00:01:00.740]  留意第五節這裡
[00:01:00.740 --> 00:01:04.420]  「信復神」就是指尼尼未成的人
[00:01:04.420 --> 00:01:07.340]  他們願意全心去信靠
[00:01:07.340 --> 00:01:13.620]  去相信這位若拿所宣講的上帝和他的話語
[00:01:13.620 --> 00:01:15.940]  所以他們就宣告禁誠
[00:01:15.940 --> 00:01:17.420]  這是第一樣東西我們看到的
[00:01:17.420 --> 00:01:19.480]  他們就是宣告禁誠
[00:01:19.480 --> 00:01:20.240]  在古時候
[00:01:20.240 --> 00:01:25.060]  以色列人通常利用禁誠來表達自己的憂傷
[00:01:25.060 --> 00:01:26.340]  那種悔改
[00:01:26.340 --> 00:01:30.660]  不過全國上下悔改的外邦民族
[00:01:30.660 --> 00:01:31.780]  在聖經裡面
[00:01:31.780 --> 00:01:36.020]  尼尼未成的人這次是絕無僅有的一次
[00:01:36.020 --> 00:01:37.400]  大概我們都知道
[00:01:37.400 --> 00:01:39.100]  如果我們想健康一點
[00:01:39.100 --> 00:01:40.700]  想身形好一點
[00:01:40.700 --> 00:01:42.980]  我們會宣告節食
[00:01:42.980 --> 00:01:45.260]  我們會宣告斷食
[00:01:45.260 --> 00:01:46.380]  在屬靈方面
[00:01:46.380 --> 00:01:49.060]  不知道你有沒有宣告禁食呢?
[00:01:49.060 --> 00:01:53.780]  這其實是一種代表不再信服其他的神
[00:01:53.780 --> 00:01:55.420]  只是單單相信
[00:01:55.420 --> 00:01:59.820]  只是專心專注在若拿所宣講
[00:01:59.820 --> 00:02:02.380]  所相信的那位神上面
[00:02:02.380 --> 00:02:05.140]  只是聽神的聲音和說話
[00:02:05.140 --> 00:02:06.060]  可想而知
[00:02:06.060 --> 00:02:07.740]  尼尼未成的人民
[00:02:07.740 --> 00:02:12.100]  信服神的態度是多麼多麼認真的
[00:02:12.100 --> 00:02:13.240]  還有第二樣東西
[00:02:13.240 --> 00:02:16.020]  他們是穿上麻布
[00:02:16.020 --> 00:02:17.180]  這裡我們知道
