
[00:00:00.000 --> 00:00:02.520]  今天我想和你們分享一個人物
[00:00:02.520 --> 00:00:05.560]  大家都會很熟悉,這是大衛
[00:00:05.560 --> 00:00:08.900]  聖經形容大衛是一個合神心意的王
[00:00:08.900 --> 00:00:12.300]  大衛是一生的追求神,一生的愛神
[00:00:12.300 --> 00:00:15.360]  大衛對神的愛最高的體現在哪裡呢?
[00:00:15.360 --> 00:00:17.960]  很多人相信是他寫了很多詩篇
[00:00:17.960 --> 00:00:20.260]  但除了寫了詩篇之外
[00:00:20.260 --> 00:00:22.880]  他生平有一個很特別的志願
[00:00:22.880 --> 00:00:25.880]  他想為神起一個聖殿
[00:00:25.880 --> 00:00:27.380]  大衛覺得
[00:00:28.000 --> 00:00:30.220]  當他為神起一個聖殿的時候
[00:00:30.220 --> 00:00:33.120]  是最能夠體現到他對神的愛
[00:00:33.120 --> 00:00:35.860]  大衛覺得,應該把神
[00:00:35.860 --> 00:00:38.860]  最好的榮耀留給他
[00:00:38.860 --> 00:00:41.620]  但是神沒有讓他這樣做
[00:00:41.620 --> 00:00:44.480]  神對大衛說,你不要為我起聖殿
[00:00:44.480 --> 00:00:47.620]  你把起聖殿這件事交給你兒子
[00:00:47.620 --> 00:00:48.980]  所羅門
[00:00:48.980 --> 00:00:53.200]  雖然神拒絕
[00:00:53.200 --> 00:00:56.640]  大衛不讓他為他起聖殿
[00:00:56.640 --> 00:00:59.880]  但當我們翻查聖經時,我們會發現
[00:00:59.880 --> 00:01:00.880]  大衛
[00:01:00.880 --> 00:01:04.000]  的心一直都沒有死
[00:01:04.000 --> 00:01:08.020]  神雖然不讓他這樣做
[00:01:08.020 --> 00:01:10.800]  但他的心一直都在聖殿裡面
[00:01:10.800 --> 00:01:14.460]  所以當你翻查聖經裡面的時候
[00:01:14.460 --> 00:01:17.100]  你就會發現很多蛛絲馬跡
[00:01:17.100 --> 00:01:18.360]  原來神
[00:01:18.360 --> 00:01:22.640]  原來大衛的生平一直都在籌備
[00:01:22.640 --> 00:01:24.820]  起神的殿
[00:01:25.100 --> 00:01:28.140]  所以今天的時候,我想給你看一看
[00:01:28.140 --> 00:01:31.100]  由大衛籌備起神殿的三件事
[00:01:31.100 --> 00:01:34.000]  去了解一下神
[00:01:34.000 --> 00:01:36.880]  大衛怎樣愛神
[00:01:36.880 --> 00:01:39.640]  愛其實不是一個可以看到
[00:01:39.640 --> 00:01:41.660]  一件具體的事
[00:01:41.660 --> 00:01:44.960]  但是藉著大衛這三件事的時候
[00:01:44.960 --> 00:01:47.320]  我們可以去了解
[00:01:47.320 --> 00:01:48.860]  愛的一些特質
[00:01:48.860 --> 00:01:52.340]  大衛怎樣愛神的異象
[00:01:52.420 --> 00:01:55.420]  第一件事是在《薩姆爾記》下第七章
[00:01:55.420 --> 00:01:58.760]  第一次第二次,這是聖經裡面第一次形容
[00:01:58.760 --> 00:02:01.640]  大衛心中起意為神見殿
[00:02:01.640 --> 00:02:04.780]  由這件事的時候,我們可以看到
[00:02:04.780 --> 00:02:07.580]  愛神的人應該有的表現
[00:02:07.580 --> 00:02:10.460]  就是他願意將他最寶貴的
[00:02:10.460 --> 00:02:12.640]  去跟神去分享
[00:02:12.640 --> 00:02:14.720]  我們讀讀
[00:02:14.720 --> 00:02:18.820]  剛才Larry跟我們讀過經文
[00:02:18.820 --> 00:02:22.000]  大衛王住在自己的宮裡面
[00:02:22.000 --> 00:02:24.820]  神使他安靜
[00:02:24.820 --> 00:02:27.860]  不被四位的仇敵困擾和擾亂
[00:02:27.860 --> 00:02:30.940]  那時,王對先知拿丹說
[00:02:30.940 --> 00:02:33.720]  看吧,我住在
[00:02:33.720 --> 00:02:35.800]  香柏木的宮裡面
[00:02:35.800 --> 00:02:39.000]  但神的若跪反而在萬祠裡面
[00:02:39.000 --> 00:02:42.420]  通常聖經學者會覺得
[00:02:42.420 --> 00:02:44.760]  有兩個可能
[00:02:44.760 --> 00:02:47.800]  為什麼大衛要跟神起聖殿
[00:02:47.800 --> 00:02:50.840]  第一個可能是在古代近東的歷史裡面
[00:02:50.840 --> 00:02:53.500]  很多王會跟他的神明
[00:02:53.500 --> 00:02:56.600]  達到某一種共識或協議
[00:02:56.600 --> 00:02:59.080]  就是如果你給我一些東西
[00:02:59.080 --> 00:03:01.900]  我就給你那些東西
[00:03:01.900 --> 00:03:05.680]  如果你幫助我打敗仇敵,我就給你起了殿
[00:03:05.680 --> 00:03:09.060]  但很多聖經學者相信
[00:03:09.060 --> 00:03:12.060]  大衛可能是在做同一件事
[00:03:12.060 --> 00:03:14.600]  但我不太同意,為什麼呢?
[00:03:14.600 --> 00:03:17.600]  因為當我們看這兩次聖經的時候,我就發現
[00:03:17.600 --> 00:03:20.800]  大衛其實是無條件的為神去建造聖殿
[00:03:20.960 --> 00:03:23.720]  沒有任何的條件可以看得出來
[00:03:23.720 --> 00:03:26.580]  所以我對這個說法其實很有保留
[00:03:26.580 --> 00:03:29.580]  第二個說法是
[00:03:29.580 --> 00:03:32.580]  有些人相信在古代近東的君王裡面
[00:03:32.580 --> 00:03:35.360]  上上很喜歡為神
[00:03:35.360 --> 00:03:37.280]  他們的神明去建造神廟
[00:03:37.280 --> 00:03:40.580]  他相信這樣做的時候
[00:03:40.580 --> 00:03:43.660]  神是會祝福他們,以及使他們凡事都順利
[00:03:43.660 --> 00:03:46.740]  這個解釋就有點相似
[00:03:46.740 --> 00:03:49.680]  但問題是跟聖經裡面的內容
[00:03:49.680 --> 00:03:51.680]  並不配合
[00:03:51.680 --> 00:03:53.680]  聖經怎麼說呢?
[00:03:53.680 --> 00:03:56.680]  它說那時王對先知拿丹說
[00:03:56.680 --> 00:03:59.680]  看啊!我住在香伯木的宮裡面
[00:03:59.680 --> 00:04:02.680]  神的若跪反而在萬子裡
[00:04:02.680 --> 00:04:04.680]  大衛是說
