
[00:00:00.000 --> 00:00:04.000]  同心地來獻上禱告
[00:00:04.000 --> 00:00:14.000]  這幅我們恭敬的字立在你面前
[00:00:14.000 --> 00:00:19.000]  我們來向你獻上我們的讚美
[00:00:19.000 --> 00:00:24.000]  你是那位獨一的上帝 耀華真神
[00:00:25.000 --> 00:00:31.000]  從井古直到永遠 你都是那位傳遞的主
[00:00:31.000 --> 00:00:37.000]  主在你創造諸天 創造萬物 賜下生命
[00:00:37.000 --> 00:00:43.000]  我們向你至高的榮耀獻上我們的讚美
[00:00:43.000 --> 00:00:47.000]  我們卑微的人受造之物向造物主
[00:00:47.000 --> 00:00:50.000]  再一次承認你的主權
[00:00:50.000 --> 00:00:54.000]  承認你是我們生命的來源
[00:00:55.000 --> 00:00:58.000]  更加是我們生命的掌管者
[00:00:58.000 --> 00:01:01.000]  我們更加感謝你的大愛
[00:01:01.000 --> 00:01:06.000]  讓我們能夠認識你的兒子耶穌基督
[00:01:06.000 --> 00:01:11.000]  祂是我們的大祭司 是我們的中寶
[00:01:11.000 --> 00:01:16.000]  祂親自來到這個世界 成為我們的救主
[00:01:16.000 --> 00:01:22.000]  因為你定義的直著基督 成就救恩
[00:01:23.000 --> 00:01:26.000]  祂是我們本來不配蒙受恩典的人
[00:01:26.000 --> 00:01:29.000]  能夠白白得著你的救恩
[00:01:29.000 --> 00:01:35.000]  我們沒辦法靠我們自己 能夠可以完全的聖潔
[00:01:35.000 --> 00:01:39.000]  進到你的面前 一無瑕疵
[00:01:39.000 --> 00:01:43.000]  但是直著基督的補血 潔淨我們
[00:01:43.000 --> 00:01:46.000]  靠著基督成就的救恩
[00:01:46.000 --> 00:01:50.000]  祂是我們的中寶 成為我們的拯救
[00:01:51.000 --> 00:01:53.000]  使我們無瑕無癡 成為上帝的兒女
[00:01:53.000 --> 00:01:56.000]  得蒙簡選 成為聖潔
[00:01:56.000 --> 00:02:03.000]  主讓我們何等感謝 何等獻上我們深深的敬畏
[00:02:03.000 --> 00:02:07.000]  主讓我們更加感謝我們的主 祂凡事受過試探
[00:02:07.000 --> 00:02:10.000]  因為祂成為人 與我們一樣
[00:02:10.000 --> 00:02:13.000]  只是祂沒有犯罪
[00:02:13.000 --> 00:02:16.000]  所以祂能夠體恤 能夠幫助
[00:02:16.000 --> 00:02:20.000]  能夠去了解我們的需要
[00:02:21.000 --> 00:02:24.000]  以致我們能夠坦然無懼的 來到祂的施恩座前
[00:02:24.000 --> 00:02:29.000]  可以得著連率 蒙神的恩惠
[00:02:29.000 --> 00:02:33.000]  並且能夠成為我們隨時的幫助
[00:02:33.000 --> 00:02:37.000]  今天我們在這裡 能夠有平安的日子
[00:02:37.000 --> 00:02:39.000]  不是必然的
[00:02:39.000 --> 00:02:42.000]  因為在世界上有很多地方
[00:02:42.000 --> 00:02:48.000]  都是充滿著動盪 不安 疾病 死亡 災難
[00:02:49.000 --> 00:02:52.000]  但我們感謝主耶穌在我們裡面
[00:02:52.000 --> 00:02:54.000]  我們能夠有真正的平安
[00:02:54.000 --> 00:02:57.000]  因為祢已經勝過這個世界
[00:02:57.000 --> 00:03:00.000]  主 今天我們身近的
[00:03:00.000 --> 00:03:05.000]  不單止有病毒的侵染
[00:03:05.000 --> 00:03:11.000]  人正在面對這些疾病的挑戰
[00:03:11.000 --> 00:03:17.000]  更加我們感受到人那種罪惡和罪性
[00:03:18.000 --> 00:03:21.000]  引致有很多的禍患在這個世界當中
[00:03:21.000 --> 00:03:27.000]  我們看到在種族歧視裡面
