
[00:00:00.000 --> 00:00:03.600]  好,又來到今天的訊息
[00:00:03.600 --> 00:00:04.880]  今天的題目是
[00:00:04.880 --> 00:00:07.200]  「沒了的話」
[00:00:07.200 --> 00:00:11.600]  「沒了的話」就是最後的說話
[00:00:11.600 --> 00:00:13.840]  我預備的時候就在想
[00:00:13.840 --> 00:00:16.000]  人生去到最後
[00:00:16.000 --> 00:00:18.960]  會最想跟什麼人說話呢?
[00:00:18.960 --> 00:00:21.440]  又會說些什麼呢?
[00:00:21.440 --> 00:00:23.400]  我就上網看看吧
[00:00:23.400 --> 00:00:24.360]  好奇嘛,是不是?
[00:00:24.360 --> 00:00:25.160]  我就看看
[00:00:25.160 --> 00:00:27.360]  究竟什麼人想說些什麼呢?
[00:00:27.360 --> 00:00:29.640]  我上網搜尋一下的時候
[00:00:29.640 --> 00:00:34.360]  我發現原來美國有一位老年病的醫生
[00:00:34.360 --> 00:00:36.760]  他跟無數的病人
[00:00:36.760 --> 00:00:39.080]  真的走到生命的盡頭之前
[00:00:39.080 --> 00:00:41.400]  很多次坦誠的對話
[00:00:41.400 --> 00:00:45.560]  原來病人最喜歡表達的
[00:00:45.560 --> 00:00:47.640]  就是情感的遺憾
[00:00:47.640 --> 00:00:48.960]  遺憾什麼呢?
[00:00:48.960 --> 00:00:51.600]  遺憾沒有用時間
[00:00:51.600 --> 00:00:55.720]  去彌補破裂了的友誼和關係
[00:00:55.720 --> 00:00:57.200]  有時候遺憾什麼呢?
[00:00:57.200 --> 00:01:00.640]  遺憾沒有告訴身邊的家人和朋友
[00:01:00.640 --> 00:01:04.280]  你有多在乎他、多愛他們
[00:01:04.280 --> 00:01:06.720]  有時候爸爸媽媽會遺憾什麼呢?
[00:01:06.720 --> 00:01:11.320]  遺憾媽媽說我吹毛求疵的形象
[00:01:11.320 --> 00:01:13.320]  留在子女的心目中
[00:01:13.320 --> 00:01:17.520]  爸爸就說遺憾苛刻專制的形象
[00:01:17.520 --> 00:01:20.480]  留在子女的心目中
[00:01:20.480 --> 00:01:23.560]  所以這位醫生就推出了這個項目
[00:01:23.560 --> 00:01:27.360]  叫做「史丹佛親友書信」項目
[00:01:27.360 --> 00:01:29.320]  而醫生推出這個項目是為了什麼呢?
[00:01:29.320 --> 00:01:34.960]  他是鼓勵大家寫給摯愛最後的一封信
[00:01:34.960 --> 00:01:38.480]  而這封信可以在病人的時候寫
[00:01:38.480 --> 00:01:42.120]  不過如果在健康還沒太遲的時候寫
[00:01:42.120 --> 00:01:43.360]  就更加好
[00:01:43.360 --> 00:01:45.280]  這個項目很好
[00:01:45.280 --> 00:01:48.280]  為病人做了很多樣本
[00:01:48.280 --> 00:01:49.840]  信的範本
[00:01:49.840 --> 00:01:53.720]  幫助病人先去回顧一下人生
[00:01:53.720 --> 00:01:57.320]  確認一下哪些是你生命中最重要的人
[00:01:57.320 --> 00:02:02.120]  又回憶一下一些珍貴的時刻
[00:02:02.120 --> 00:02:06.840]  可能在內容中向一些你傷害過的人道歉
[00:02:06.840 --> 00:02:11.280]  又或者原諒一些傷害過你的人
[00:02:11.280 --> 00:02:14.840]  好像我們陳牧師所說的真妖書
[00:02:14.840 --> 00:02:18.880]  又或者可以跟一些人說聲多謝
[00:02:18.880 --> 00:02:21.320]  或者說「我愛你」
[00:02:21.320 --> 00:02:25.960]  甚至說一個很正式的再見
[00:02:25.960 --> 00:02:27.840]  很好吧
[00:02:27.840 --> 00:02:32.440]  不過原來不只外國人Stanford是這樣做
[00:02:32.440 --> 00:02:33.680]  我想告訴大家
[00:02:33.680 --> 00:02:35.640]  香港也有
[00:02:35.640 --> 00:02:37.840]  我看看很感動
[00:02:37.840 --> 00:02:41.400]  因為原來香港有一班很有心的長者
[00:02:41.400 --> 00:02:42.360]  聽著
[00:02:42.360 --> 00:02:45.040]  有類似的服飾
[00:02:45.040 --> 00:02:47.800]  一隊長者攝製隊
[00:02:47.800 --> 00:02:50.640]  叫做愛奇蹟攝製隊
[00:02:50.640 --> 00:02:51.840]  真的很厲害
[00:02:51.840 --> 00:02:53.760]  他成員大約10個人
[00:02:53.760 --> 00:02:57.920]  他的平均年齡差不多70歲
[00:02:57.920 --> 00:02:59.480]  他們做什麼呢?
[00:02:59.480 --> 00:03:04.160]  他們服侍一些比他們更加年長的老人家
[00:03:04.160 --> 00:03:13.240]  在疫情前已經為超過80位長者拍攝了生前的遺言
[00:03:13.240 --> 00:03:14.480]  在鏡頭之下
[00:03:14.480 --> 00:03:19.240]  有一些長者說出他們心底最後的說話
[00:03:19.240 --> 00:03:22.760]  例如關於自己的身後事怎樣安排
[00:03:22.760 --> 00:03:26.000]  關於對子女最後的叮囑
[00:03:26.000 --> 00:03:27.360]  這個創辦人說
[00:03:27.360 --> 00:03:32.400]  有很多老人家未開口就已經哭了
[00:03:32.400 --> 00:03:35.120]  在一些遺言的視頻中
[00:03:35.120 --> 00:03:37.040]  按照老人家的心願
[00:03:37.040 --> 00:03:40.920]  究竟是他還在生的時候給他的後人看
[00:03:40.920 --> 00:03:44.000]  還是他過世了才交給他的後人看
[00:03:44.000 --> 00:03:47.480]  完全是按照老人家的意願
[00:03:47.480 --> 00:03:49.800]  其實這些說話對他的子女來說
[00:03:49.800 --> 00:03:53.840]  通常都是字字都激心的
[00:03:53.840 --> 00:03:55.600]  揮入心裡
