
[00:00:00.000 --> 00:00:03.000]  多謝施班長唱這首闊路澤路的詩歌
[00:00:03.000 --> 00:00:07.000]  我們今天的經文是關於這一方面的教導
[00:00:07.000 --> 00:00:11.000]  我很想弟兄姊妹跟我一起打開剛才我們所讀的聖經
[00:00:11.000 --> 00:00:15.000]  我們看看主耶穌今早要對我們講甚麼說話
[00:00:15.000 --> 00:00:18.000]  《馬太福音》第七章
[00:00:18.000 --> 00:00:20.000]  如果你是用唐用的聖經的話
[00:00:20.000 --> 00:00:23.000]  是我們唐用聖經的1464頁
[00:00:23.000 --> 00:00:26.000]  1464頁
[00:00:26.000 --> 00:00:28.000]  我希望大家都能夠打開聖經
[00:00:28.000 --> 00:00:31.000]  因為我們是特別研究
[00:00:31.000 --> 00:00:35.000]  當然就是第七章的13節至20節
[00:00:35.000 --> 00:00:36.000]  《馬太福音》
[00:00:36.000 --> 00:00:40.000]  待會我會和大家一起看21節至23節
[00:00:40.000 --> 00:00:44.000]  所以你有聖經在手就更加好了
[00:00:44.000 --> 00:00:47.000]  剛才讀的那段聖經我相信大家都很熟悉
[00:00:47.000 --> 00:00:49.000]  很多弟兄姊妹都會很熟悉
[00:00:49.000 --> 00:00:52.000]  耶穌用了兩個的比喻
[00:00:52.000 --> 00:00:57.000]  來講到我們的生命一個很重要的提醒
[00:00:57.000 --> 00:01:03.000]  一個是用路和門這個比喻
[00:01:03.000 --> 00:01:08.000]  闊的路、窄的路、窄的門
[00:01:08.000 --> 00:01:13.000]  第二個比喻就是用樹木和所結的果子
[00:01:13.000 --> 00:01:15.000]  好的樹結好的果子
[00:01:15.000 --> 00:01:18.000]  壞的樹就結壞的果子
[00:01:18.000 --> 00:01:21.000]  我相信很多弟兄姊妹都很熟悉這兩個的比喻
[00:01:21.000 --> 00:01:24.000]  我也不需要在這裡再重複那個內容
[00:01:24.000 --> 00:01:26.000]  大家看著聖經就知道
[00:01:26.000 --> 00:01:29.000]  不過今天我想和大家一起再仔細的看一下
[00:01:29.000 --> 00:01:32.000]  主耶穌究竟在這兩個比喻裡面
[00:01:32.000 --> 00:01:37.000]  要我們知道和留意的地方和訊息是什麼
[00:01:37.000 --> 00:01:39.000]  我們一起看看聖經
[00:01:39.000 --> 00:01:42.000]  我們首先看看這個闊的門
[00:01:42.000 --> 00:01:46.000]  闊的路、窄的門、窄的路這個比喻
[00:01:46.000 --> 00:01:48.000]  我們主耶穌很清楚的
[00:01:48.000 --> 00:01:51.000]  來做一個對比
[00:01:51.000 --> 00:01:53.000]  闊的和窄的
[00:01:53.000 --> 00:01:56.000]  然後目的地也很清楚
[00:01:56.000 --> 00:01:59.000]  這個窄的門、窄的路去的是生命
[00:01:59.000 --> 00:02:01.000]  豐盛的生命
[00:02:01.000 --> 00:02:06.000]  這個闊的門、闊的路去的是生命的凋謝和滅亡
[00:02:06.000 --> 00:02:08.000]  這個大家都很清楚
[00:02:08.000 --> 00:02:11.000]  我們特別留意什麼意思呢?
[00:02:11.000 --> 00:02:17.000]  主耶穌所說的窄路、窄門是指著什麼意思?
[00:02:17.000 --> 00:02:20.000]  我們知道這一段聖經是在馬太福音
[00:02:20.000 --> 00:02:23.000]  但是其實在路加福音也有同樣的記載
[00:02:23.000 --> 00:02:25.000]  大家不用翻來翻去
[00:02:25.000 --> 00:02:27.000]  我到時候讀給大家聽
[00:02:27.000 --> 00:02:32.000]  關於這個路的闊窄和門
[00:02:32.000 --> 00:02:35.000]  在路加福音的十三章二十四節
[00:02:35.000 --> 00:02:39.000]  也有一節是說同樣的訊息
[00:02:39.000 --> 00:02:42.000]  不過路加的記載裡面有一點點不同
[00:02:42.000 --> 00:02:45.000]  我們配合就會更加清楚
[00:02:45.000 --> 00:02:47.000]  更加完備
[00:02:47.000 --> 00:02:50.000]  路加福音的十三章二十四節
[00:02:50.000 --> 00:02:51.000]  如果你聽我讀的時候
[00:02:51.000 --> 00:02:52.000]  我告訴你
[00:02:52.000 --> 00:02:53.000]  主耶穌在那裡說
[00:02:53.000 --> 00:02:56.000]  你們應當竭力進窄門
[00:02:56.000 --> 00:02:58.000]  我告訴你們
[00:02:58.000 --> 00:03:01.000]  許多人將來要進去
[00:03:01.000 --> 00:03:03.000]  卻是不能
[00:03:03.000 --> 00:03:05.000]  我們試試用這兩段的聖經
[00:03:05.000 --> 00:03:07.000]  作為一個比較
[00:03:07.000 --> 00:03:10.000]  來看見當中的情況
[00:03:10.000 --> 00:03:13.000]  我們要問一個問題
[00:03:13.000 --> 00:03:18.000]  究竟為什麼這條路這麼窄
[00:03:18.000 --> 00:03:20.000]  還有它的門這麼小
[00:03:20.000 --> 00:03:22.000]  究竟是什麼意思
[00:03:22.000 --> 00:03:24.000]  如果我們將這兩段的聖經
[00:03:24.000 --> 00:03:27.000]  馬太和路加加在一起說的時候
[00:03:27.000 --> 00:03:29.000]  你就會發覺有兩個很重要的訊息
[00:03:29.000 --> 00:03:31.000]  今早我想跟大家分享一下
[00:03:31.000 --> 00:03:34.000]  這兩個訊息是包括了什麼呢
[00:03:34.000 --> 00:03:35.000]  第一
