
[00:00:00.000 --> 00:00:04.320]  今日和大家預備的訊息裏面
[00:00:04.320 --> 00:00:06.920]  其實是想了很久
[00:00:06.920 --> 00:00:08.600]  對我自己來説
[00:00:08.600 --> 00:00:13.600]  大家的程序表裏面有四句說話
[00:00:13.600 --> 00:00:15.720]  有四句 即是最頂那裏
[00:00:15.720 --> 00:00:18.520]  剛才我們經驗了第一句
[00:00:18.520 --> 00:00:19.600]  少少 是吧
[00:00:19.600 --> 00:00:22.200]  戰士守望心
[00:00:22.200 --> 00:00:24.480]  即是説我們作為教會群體
[00:00:24.480 --> 00:00:27.000]  作為在神裏面的戰士
[00:00:27.000 --> 00:00:28.520]  這個群體不是一個人
[00:00:28.520 --> 00:00:29.920]  我們為這個城市
[00:00:29.920 --> 00:00:32.520]  我們為香港的教會守望祈禱
[00:00:32.520 --> 00:00:36.400]  剛才主帶領我們在做這件事
[00:00:36.400 --> 00:00:40.880]  第二句就是今天我想說的其中一部份
[00:00:40.880 --> 00:00:44.240]  我們不單止是神的戰士打仗
[00:00:44.240 --> 00:00:47.000]  這個戰士有一個很特別的身份
[00:00:47.000 --> 00:00:51.040]  他也是我們主的很親密關係
[00:00:51.040 --> 00:00:53.040]  甚至是他的良人 媳婦
[00:00:53.040 --> 00:00:58.920]  好像新郎和新娘這樣親密的關係
[00:00:58.920 --> 00:01:03.600]  這兩個概念其實不是很容易黏在一起
[00:01:03.600 --> 00:01:04.920]  新婦的戰士
[00:01:04.920 --> 00:01:06.640]  但聖經往往就是這樣
[00:01:06.640 --> 00:01:08.320]  將一些好像很矛盾的東西
[00:01:08.320 --> 00:01:09.440]  很對立的東西
[00:01:09.440 --> 00:01:11.920]  將它們拉在一起
[00:01:11.920 --> 00:01:13.320]  這個新婦即是説
[00:01:13.320 --> 00:01:16.320]  和我們主一個很親密關係的群體
[00:01:16.320 --> 00:01:17.600]  是需要建立的
[00:01:17.600 --> 00:01:20.320]  需要成長的 需要突破的
[00:01:20.320 --> 00:01:23.240]  所以尋求營的裏面主要提醒我們
[00:01:23.240 --> 00:01:25.800]  告訴我們我們要在這方面突破
[00:01:25.800 --> 00:01:28.120]  要成長 跨過很多
[00:01:28.120 --> 00:01:29.760]  我們今天跨過不了的
[00:01:29.760 --> 00:01:33.120]  突破裏面需要有兩個元素
[00:01:33.120 --> 00:01:36.040]  靈和你
[00:01:36.040 --> 00:01:37.720]  靈就是聖靈
[00:01:37.720 --> 00:01:39.760]  你就是真理
[00:01:39.760 --> 00:01:42.000]  在聖靈 又在真理裏面
