
[00:00:00.000 --> 00:00:03.200]  我們一起打開聖經全道書
[00:00:03.200 --> 00:00:06.000]  新的一年,我們思想全道書
[00:00:06.000 --> 00:00:07.800]  你會覺得很奇怪
[00:00:07.800 --> 00:00:11.400]  為什麼一年初輸了全道書呢?
[00:00:11.400 --> 00:00:13.400]  因為如果你讀過全道書
[00:00:13.400 --> 00:00:15.600]  你會發現虛空的虛空
[00:00:15.600 --> 00:00:18.000]  難道新的一年虛空的虛空?
[00:00:18.000 --> 00:00:21.200]  讓我們一起去想一想
[00:00:21.200 --> 00:00:23.200]  我們人生是怎樣
[00:00:23.200 --> 00:00:24.400]  我們打開全道書
[00:00:24.400 --> 00:00:26.400]  全道書是聖經中間的
[00:00:26.400 --> 00:00:31.600]  《詩篇》、《針研》、《全道》
[00:00:31.600 --> 00:00:33.200]  我們稱為
[00:00:33.200 --> 00:00:35.000]  中間那五卷書稱為
[00:00:35.000 --> 00:00:37.400]  《智慧書》
[00:00:37.400 --> 00:00:39.200]  當你讀全道書
[00:00:39.200 --> 00:00:41.800]  你會掌握人生的智慧
[00:00:41.800 --> 00:00:45.600]  所以希望大家不會很厭煩
[00:00:45.600 --> 00:00:48.400]  讀全道書讀完虛空
[00:00:48.400 --> 00:00:51.800]  真的希望你能夠得著智慧
[00:00:51.800 --> 00:00:54.400]  我們打開全道書第一章
[00:00:54.400 --> 00:00:55.800]  第一召十一節
[00:00:55.800 --> 00:00:58.200]  找到的我們用啟引的方式來中讀
[00:00:58.200 --> 00:01:00.200]  我讀單數的節數
[00:01:00.200 --> 00:01:03.000]  請弟兄姊妹讀雙數的節數
[00:01:03.000 --> 00:01:04.800]  在耶路撒冷作王
[00:01:04.800 --> 00:01:06.200]  大衛的兒子
[00:01:06.200 --> 00:01:08.400]  全道者的言語
[00:01:08.400 --> 00:01:09.800]  全道者說
[00:01:09.800 --> 00:01:11.400]  虛空的虛空
[00:01:11.400 --> 00:01:12.800]  虛空的虛空
[00:01:12.800 --> 00:01:14.800]  反之道是虛空
[00:01:14.800 --> 00:01:16.200]  人一切的勞欲
[00:01:16.200 --> 00:01:19.200]  就是他在日光之下的勞碌
[00:01:19.200 --> 00:01:21.000]  有什麼益處呢?
[00:01:21.000 --> 00:01:22.400]  一代過去
[00:01:22.400 --> 00:01:23.600]  一代有來
[00:01:23.600 --> 00:01:25.800]  一代永遠長存
[00:01:25.800 --> 00:01:26.800]  日頭出來
[00:01:26.800 --> 00:01:28.000]  日頭落下
[00:01:28.000 --> 00:01:30.200]  急歸所出之地
