
[00:00:00.000 --> 00:00:03.200]  我們的大題目是《鳥瞰新視野》
[00:00:03.200 --> 00:00:07.760]  《摩西五經》代表一個鳥瞰的新角度
[00:00:07.760 --> 00:00:10.000]  也代表一個新約的角度
[00:00:10.000 --> 00:00:11.600]  如果你記得我們說
[00:00:11.600 --> 00:00:13.240]  在《約翰福音》第五章
[00:00:13.240 --> 00:00:14.800]  耶穌自己這樣說
[00:00:14.800 --> 00:00:17.600]  「如果你們信摩西也會信我
[00:00:17.600 --> 00:00:20.480]  因為他寫過關於我的事」
[00:00:20.480 --> 00:00:23.920]  我也說如果你看英文或者原文
[00:00:23.920 --> 00:00:25.600]  其實是更加直接
[00:00:25.600 --> 00:00:26.480]  He wrote of me
[00:00:26.480 --> 00:00:30.240]  就不是說他只是提過一下我
[00:00:30.240 --> 00:00:31.680]  他不是這個意思
[00:00:31.680 --> 00:00:35.520]  我想他是說摩西所寫的東西
[00:00:35.520 --> 00:00:39.120]  大多最後都是指向流向著耶穌基督
[00:00:39.120 --> 00:00:42.640]  就不是他也有提過我那麼一點點
[00:00:42.640 --> 00:00:43.680]  兩節這樣
[00:00:43.680 --> 00:00:44.640]  不是這個意思
[00:00:44.640 --> 00:00:47.920]  「你們若不信他的書怎能信我的話」
[00:00:47.920 --> 00:00:50.400]  所以我們今天都是用這個角度
[00:00:50.400 --> 00:00:54.400]  我們說儘管我們會回到當時的情境
[00:00:54.400 --> 00:00:56.080]  去問一下究竟出埃及記
[00:00:56.080 --> 00:00:58.160]  或者其他的書是在說甚麼
[00:00:58.160 --> 00:01:00.640]  但我們知道最終所有的東西
[00:01:00.640 --> 00:01:03.120]  其實是流向著耶穌基督的
[00:01:03.120 --> 00:01:06.240]  一樣我們上次看《創世記》
[00:01:06.240 --> 00:01:08.000]  現在我們看《出埃及記》
[00:01:08.000 --> 00:01:11.280]  再下個星期回來看《利美記》
[00:01:11.280 --> 00:01:12.320]  《文素記》、《生命記》
[00:01:12.320 --> 00:01:15.200]  你都會看到很多耶穌基督的影子
[00:01:15.200 --> 00:01:21.760]  《創世記》是「創造墮落、救贖三部曲」
[00:01:21.760 --> 00:01:25.120]  《出埃及記》是「偶像之家逃生記」
[00:01:25.120 --> 00:01:29.200]  接著我們會繼續說一下
[00:01:29.200 --> 00:01:31.680]  《利美記》、《聖潔》、《君王保衛者》
[00:01:31.680 --> 00:01:35.280]  《文素記》、《曠野中的大叛逆》
[00:01:35.280 --> 00:01:38.560]  最後《深受割禮心愛主》、《生命記》
[00:01:38.560 --> 00:01:43.920]  在這裏我都想說一下上次的問題
[00:01:43.920 --> 00:01:45.920]  因為我都未完全回答了
[00:01:45.920 --> 00:01:50.080]  我讀一讀有位弟兄叫David的問題
[00:01:50.080 --> 00:01:56.480]  「耶和華是全人類的上帝,何以獨偏愛以色列人?
[00:01:56.480 --> 00:02:01.280]  法老心硬,埃及人民何幸?
[00:02:01.280 --> 00:02:05.200]  何以肆虞草戒?」
[00:02:05.200 --> 00:02:06.720]  我的中文一般般
[00:02:06.720 --> 00:02:08.640]  我想說一下第一
[00:02:08.640 --> 00:02:11.040]  上帝是全人類的上帝
[00:02:11.040 --> 00:02:12.880]  何以獨愛以色列
[00:02:12.880 --> 00:02:15.840]  他一定很明顯不是獨愛以色列
[00:02:15.840 --> 00:02:18.480]  很明顯我們不是以色列人
[00:02:18.480 --> 00:02:20.160]  但我們信了主
[00:02:20.160 --> 00:02:22.640]  他是要通過某一個民族
[00:02:22.640 --> 00:02:25.600]  將耶穌基督帶來這個世界
[00:02:25.600 --> 00:02:29.680]  甚至通過那個民族殺了他自己徒生的兒子
[00:02:29.680 --> 00:02:31.920]  而最後那個祝福
[00:02:31.920 --> 00:02:34.160]  你如果看回《阿拉罕的約》
[00:02:34.160 --> 00:02:40.000]  由頭到尾都是要萬民萬國得到上帝的救恩
[00:02:40.000 --> 00:02:41.760]  所以他絕對不是偏心
[00:02:41.760 --> 00:02:44.400]  另外一樣東西我也都想你知道
[00:02:44.400 --> 00:02:47.440]  就不是因為他揀選了以色列人
[00:02:47.440 --> 00:02:49.760]  所以所有以色列人都得救的
[00:02:49.760 --> 00:02:51.200]  這個非常之重要的
[00:02:51.200 --> 00:02:54.240]  因為你如果跟著和我們一起看
[00:02:54.240 --> 00:02:55.920]  利美記開始
[00:02:55.920 --> 00:02:57.360]  文素記、生命記
[00:02:57.360 --> 00:03:00.400]  或者甚至我們下次回來看初一級記
[00:03:00.400 --> 00:03:02.560]  你會發現以色列人是很不濟的
[00:03:02.560 --> 00:03:03.920]  我們說他出了埃及
[00:03:03.920 --> 00:03:06.000]  但埃及沒有離開過他們
[00:03:06.000 --> 00:03:10.480]  在初一級記裏面已經有一個很厲害的問題
[00:03:10.480 --> 00:03:12.640]  就是金牛族的問題
[00:03:12.640 --> 00:03:16.960]  你發覺在利美記、文素記、生命記
[00:03:16.960 --> 00:03:21.600]  這些情況會不斷重複重演
[00:03:21.600 --> 00:03:25.200]  以致你知道其實以色列人的第一代
[00:03:25.200 --> 00:03:27.280]  是沒有進入迦南地的
[00:03:27.280 --> 00:03:30.480]  除了凱勒和約書亞
[00:03:30.480 --> 00:03:34.720]  約書亞和…不知道凱勒的中文是甚麼
[00:03:34.720 --> 00:03:36.640]  迦勒是可以進入之外
[00:03:36.640 --> 00:03:38.320]  連摩西都進不去的
[00:03:38.320 --> 00:03:40.320]  當然我們不會說摩西不得救的
[00:03:40.320 --> 00:03:43.280]  但是你可以說他第一代的以色列人
[00:03:43.280 --> 00:03:45.840]  其實是因為他們的不順
[00:03:45.840 --> 00:03:47.040]  和他們的叛逆
[00:03:47.040 --> 00:03:50.560]  其實他們是沒有在上帝的救恩裏面的
[00:03:50.560 --> 00:03:51.280]  如果你不信我
[00:03:51.280 --> 00:03:53.120]  你可以看看希伯來書
[00:03:53.120 --> 00:03:55.200]  整個新約都是這樣說的
[00:03:55.200 --> 00:03:58.560]  所以上帝是沒有說偏愛的
[00:03:58.560 --> 00:03:59.520]  不是說偏愛
[00:03:59.520 --> 00:04:01.120]  儘管他是壞人
[00:04:01.120 --> 00:04:02.000]  他都可以得救
[00:04:02.000 --> 00:04:03.120]  其實不是這樣的
[00:04:03.120 --> 00:04:05.200]  以色列人所聽的福音
[00:04:05.200 --> 00:04:06.880]  和我們今天要聽
[00:04:06.880 --> 00:04:08.000]  以色列人的回應
[00:04:08.000 --> 00:04:10.720]  和我們今天的回應是完全一樣的
[00:04:10.720 --> 00:04:13.680]  正如他們那天他不悔改
[00:04:13.680 --> 00:04:14.480]  他們沒辦法得救
[00:04:14.480 --> 00:04:15.520]  今天我們不悔改
[00:04:15.520 --> 00:04:17.520]  我們一樣不能得救
[00:04:17.520 --> 00:04:18.880]  有很多東西
[00:04:18.880 --> 00:04:19.840]  你看回新約
[00:04:19.840 --> 00:04:22.560]  它說他們聽的是同一個福音
[00:04:22.560 --> 00:04:27.520]  他們所要做的要的悔改信仰
[00:04:27.520 --> 00:04:29.680]  信心是完全一樣的
[00:04:29.680 --> 00:04:32.000]  當然這個對於我們都有些牽連的
[00:04:32.000 --> 00:04:34.080]  就是如果我們經常都覺得
[00:04:34.080 --> 00:04:36.080]  我不知道你有沒有這樣的感覺
[00:04:36.080 --> 00:04:37.200]  有些人會跟我說
[00:04:37.200 --> 00:04:39.040]  林復星我經常覺得看舊約
[00:04:39.040 --> 00:04:40.240]  我看到我自己
[00:04:40.240 --> 00:04:42.000]  我說不是吧
[00:04:42.000 --> 00:04:43.360]  如果你說你看舊約
[00:04:43.360 --> 00:04:44.160]  你看到你自己
[00:04:44.160 --> 00:04:46.160]  即是說你像以色列人
[00:04:46.160 --> 00:04:47.200]  你像以色列人
[00:04:47.200 --> 00:04:48.720]  那你就糟糕了
[00:04:48.720 --> 00:04:51.200]  因為以色列人是不能得救的
[00:04:51.200 --> 00:04:55.120]  我們不要將新約舊約
[00:04:55.120 --> 00:04:56.400]  困擾了以為
[00:04:56.400 --> 00:05:01.200]  我們這裡有耶穌基督在免死金牌
[00:05:01.200 --> 00:05:04.160]  於是我們好像舊約的以色列人
[00:05:04.160 --> 00:05:06.160]  我們都可以一樣進入天國
[00:05:06.160 --> 00:05:07.200]  其實不是的
[00:05:07.200 --> 00:05:08.960]  舊約和新約是完全一樣的
[00:05:08.960 --> 00:05:10.480]  從某個角度來說
[00:05:10.480 --> 00:05:12.800]  所以如果你說你讀一下舊約
[00:05:12.800 --> 00:05:15.040]  哎呀我們教會真的好像以色列人
[00:05:15.040 --> 00:05:15.840]  那就糟糕了
[00:05:15.840 --> 00:05:17.360]  你快點跟你牧師說一下
[00:05:17.360 --> 00:05:18.160]  不行的
[00:05:18.160 --> 00:05:19.680]  這個完全不是這樣
[00:05:19.680 --> 00:05:21.600]  你看一下保羅、彼得、約翰
[00:05:21.600 --> 00:05:22.800]  怎麼看新約教會
[00:05:22.800 --> 00:05:26.240]  和舊約的時代是完全是兩回事
[00:05:26.240 --> 00:05:29.680]  他們絕對不可以回到舊約那條舊路
[00:05:29.680 --> 00:05:30.960]  因為那個不是一個
[00:05:30.960 --> 00:05:32.320]  所以如果你有機會
[00:05:32.320 --> 00:05:35.120]  我們去到《最後生命記》
[00:05:35.120 --> 00:05:36.800]  那一段就是叫做
[00:05:36.800 --> 00:05:38.800]  「深受國禮,深愛主」
[00:05:38.800 --> 00:05:41.280]  不是外在的國禮令你得救
[00:05:41.280 --> 00:05:43.520]  而是心裡的國禮
[00:05:43.520 --> 00:05:48.000]  這個是很重要的一個神學
[00:05:48.000 --> 00:05:49.280]  在舊約聖經裡面
[00:05:49.280 --> 00:05:50.880]  所以我說我們很值得的
[00:05:50.880 --> 00:05:52.400]  我們讀摩西五經
[00:05:52.400 --> 00:05:55.040]  20%的舊約篇幅
[00:05:55.040 --> 00:05:58.240]  但是其實八成的神學都在這裡
[00:05:58.240 --> 00:06:00.960]  後面這些「深受國禮」
[00:06:00.960 --> 00:06:03.680]  這些主題就會在以西傑書
[00:06:03.680 --> 00:06:06.800]  耶利米書那些會繼續發展下去
[00:06:06.800 --> 00:06:08.080]  你會一直去到新約
[00:06:08.080 --> 00:06:10.320]  所以上帝是跟我們說心的
[00:06:10.320 --> 00:06:13.040]  不是說身體的國禮
[00:06:13.040 --> 00:06:15.760]  所以你說做以色列人有沒有好處
[00:06:15.760 --> 00:06:17.920]  當然有
[00:06:17.920 --> 00:06:19.600]  因為有上帝的啟示
[00:06:19.600 --> 00:06:20.640]  有上帝的律法
[00:06:20.640 --> 00:06:23.120]  有上帝的先知
[00:06:23.120 --> 00:06:27.280]  但是有好處也有責任
[00:06:27.280 --> 00:06:29.440]  你的回應的責任
[00:06:29.440 --> 00:06:32.160]  我也想說一下這裡
[00:06:32.160 --> 00:06:33.600]  法老心硬
[00:06:33.600 --> 00:06:36.880]  埃及人好像很無辜
[00:06:36.880 --> 00:06:41.600]  為什麼上帝視如草芥
