
[00:00:00.000 --> 00:00:05.000]  我哋就一齊喺神面前禱告。
[00:00:05.000 --> 00:00:08.000]  天主上帝我哋再一次,
[00:00:08.000 --> 00:00:13.000]  求祢嘅話語,進到我哋心裏面。
[00:00:13.000 --> 00:00:18.000]  雖然係一個好耐以前發生嘅事件,
[00:00:18.000 --> 00:00:23.000]  但係祢叫寫聖經嘅人記錄落嚟,
[00:00:23.000 --> 00:00:26.000]  為咗要叫我哋得益處。
[00:00:26.000 --> 00:00:29.000]  聖經都係神理嘅默示,
[00:00:29.000 --> 00:00:32.000]  叫我哋生命能夠得造就,
[00:00:32.000 --> 00:00:35.000]  以避行各樣嘅善事。
[00:00:35.000 --> 00:00:37.000]  求主祢指教我哋,
[00:00:37.000 --> 00:00:41.000]  求聖靈喺呢刻掌管我哋嘅生命,
[00:00:41.000 --> 00:00:45.000]  管理我哋,讓我哋心意更新而變化。
[00:00:45.000 --> 00:00:51.000]  察驗神嘅旨意係順存、善良、可喜悅。
[00:00:51.000 --> 00:00:53.000]  求祢帶領我哋,
[00:00:53.000 --> 00:00:56.000]  聽我哋祈禱奉耶穌基督嘅聖名。
[00:00:56.000 --> 00:01:03.000]  人生其中一個最大嘅遺憾,
[00:01:03.000 --> 00:01:05.000]  最大嘅遺憾就係,
[00:01:05.000 --> 00:01:07.000]  你有最靚嘅跑車,
[00:01:07.000 --> 00:01:09.000]  最好嘅天氣,
[00:01:09.000 --> 00:01:12.000]  最好嘅GPS導航系統,
[00:01:12.000 --> 00:01:14.000]  仲有好多朋友,
[00:01:14.000 --> 00:01:16.000]  又唔塞車,
[00:01:16.000 --> 00:01:20.000]  真係技術又好,
[00:01:20.000 --> 00:01:25.000]  但係最終你坐喺個車嗰度,
[00:01:25.000 --> 00:01:27.000]  志偉仔問你,
[00:01:27.000 --> 00:01:29.000]  「做乜仲唔開車呀?」
[00:01:29.000 --> 00:01:32.000]  咁你答佢,
[00:01:32.000 --> 00:01:34.000]  「我唔知去邊度好呀。」
[00:01:34.000 --> 00:01:36.000]  人生最弊就係,
[00:01:36.000 --> 00:01:38.000]  冇咗目標呀。
[00:01:38.000 --> 00:01:41.000]  你有冇見過啲人佢,
[00:01:41.000 --> 00:01:43.000]  即係講笑咁樣,
[00:01:43.000 --> 00:01:45.000]  佢坐喺個餐廳嗰度,
[00:01:45.000 --> 00:01:47.000]  坐咗幾個字,
[00:01:47.000 --> 00:01:49.000]  睇完啲Menu就話,
[00:01:49.000 --> 00:01:50.000]  「點呀?仲唔叫嘢食呀?」
[00:01:50.000 --> 00:01:52.000]  「唔知食咩好呀。」
[00:01:52.000 --> 00:01:54.000]  你明唔明呀?
[00:01:54.000 --> 00:01:56.000]  跟住你話,
[00:01:56.000 --> 00:01:59.000]  「我都食完啦,走先啦。」
[00:01:59.000 --> 00:02:01.000]  有冇咁嘅人呀?
[00:02:01.000 --> 00:02:03.000]  即係佢可能讀書好叻嘅,
[00:02:03.000 --> 00:02:06.000]  考試8個A,10個A,
[00:02:06.000 --> 00:02:09.000]  跟住佢唔知自己想做乜嘢,
[00:02:09.000 --> 00:02:11.000]  佢唔係冇條件,
[00:02:11.000 --> 00:02:12.000]  唔係冇能力,
[00:02:12.000 --> 00:02:16.000]  但係佢唔知道自己將來會點。
[00:02:16.000 --> 00:02:19.000]  人生有好多唔知嘅嘢,
[00:02:19.000 --> 00:02:21.000]  未來,
[00:02:21.000 --> 00:02:23.000]  冇人知道未來係點,
[00:02:23.000 --> 00:02:26.000]  人想去明白,
[00:02:26.000 --> 00:02:27.000]  要跟從佢,
[00:02:27.000 --> 00:02:28.000]  以才會。
[00:02:28.000 --> 00:02:29.000]  今日個講題,
[00:02:29.000 --> 00:02:31.000]  個講到嘅焦點就係講,
[00:02:31.000 --> 00:02:32.000]  神會引導,
[00:02:32.000 --> 00:02:36.000]  我哋他必指引你的路。
[00:02:36.000 --> 00:02:39.000]  但係我哋尋求神嘅引導,
[00:02:39.000 --> 00:02:41.000]  係咪咁容易呢?
[00:02:41.000 --> 00:02:43.000]  我哋讀一節,
[00:02:43.000 --> 00:02:45.000]  輔助經文裏面一節,
[00:02:45.000 --> 00:02:47.000]  「真言」嘅金句。
[00:02:47.000 --> 00:02:49.000]  「真言」,
[00:02:49.000 --> 00:02:50.000]  三章嘅第五,
