
[00:00:00.000 --> 00:00:02.800]  提供姊妹平安
[00:00:02.800 --> 00:00:05.220]  問大家一個數學問題
[00:00:05.220 --> 00:00:12.260]  請問大家知道我們今天離今年的復國節
[00:00:12.260 --> 00:00:14.020]  總共有多少天
[00:00:14.020 --> 00:00:17.500]  從今年的復國節算到今天
[00:00:17.500 --> 00:00:20.500]  我們有多少天
[00:00:20.500 --> 00:00:25.440]  52天 這個答案非常的接近
[00:00:25.440 --> 00:00:28.920]  52天 為什麼說52天呢
[00:00:28.920 --> 00:00:32.900]  星期五到四十天 五十天加半天
[00:00:32.900 --> 00:00:35.960]  復國節不是壽難節 今天是主日
[00:00:35.960 --> 00:00:37.100]  所以離非常接近
[00:00:37.100 --> 00:00:38.760]  其實我們知道七個星期
[00:00:38.760 --> 00:00:40.360]  然後七七四十九對不對
[00:00:40.360 --> 00:00:42.680]  然後加一天就剛好五十天對不對
[00:00:42.680 --> 00:00:45.480]  五十天其實這個是很容易記的
[00:00:45.480 --> 00:00:47.000]  不是我數學比較好
[00:00:47.000 --> 00:00:51.000]  而是因為今天是聖靈降臨節
[00:00:51.000 --> 00:00:55.160]  那復國節之後五十天就是聖靈降臨節
[00:00:55.160 --> 00:00:57.200]  所以不是說我算出來的
[00:00:57.200 --> 00:00:59.120]  而是因為今天是聖靈降臨節
[00:00:59.120 --> 00:01:01.240]  所以我推回去是五十天
[00:01:01.240 --> 00:01:06.040]  那兩千多年前的聖靈降臨那一天
[00:01:06.040 --> 00:01:10.600]  剛好也是猶太人的五旬節
[00:01:10.600 --> 00:01:14.400]  大家知道猶太人有哪幾個大的節氣呢
[00:01:14.400 --> 00:01:16.280]  總共有三個對不對
[00:01:16.280 --> 00:01:17.760]  有一個是愉悅節
[00:01:17.760 --> 00:01:19.920]  有一個是祝鵬節
[00:01:19.920 --> 00:01:23.360]  還有就是我們今天所說的五旬節
[00:01:23.360 --> 00:01:26.720]  那五旬節是從愉悅節之後五十天算起
[00:01:26.720 --> 00:01:28.120]  為什麼叫五旬呢
[00:01:28.120 --> 00:01:31.120]  那旬就是相當於十天對不對
[00:01:31.120 --> 00:01:34.320]  一旬就有十天 五旬就是五十天這樣子
[00:01:34.320 --> 00:01:37.560]  當然它也是從一些希臘文翻譯過來的
[00:01:37.560 --> 00:01:41.880]  那五旬節是以色列民進入迦蘭帝之後
[00:01:41.880 --> 00:01:44.600]  才開始守的一個節氣
[00:01:44.600 --> 00:01:47.040]  那為的是紀念什麼呢
[00:01:47.040 --> 00:01:49.440]  主要有兩個方面
[00:01:49.440 --> 00:01:50.560]  我們看一下
[00:01:50.560 --> 00:01:59.360]  第一個是紀念神在西乃山頒布律法給摩西
[00:01:59.360 --> 00:02:02.720]  為了感謝神賜給猶太人律法
[00:02:02.720 --> 00:02:04.200]  所以要紀念這一天
[00:02:04.200 --> 00:02:06.600]  那另外一個也是紀念他們的豐收
[00:02:06.600 --> 00:02:09.800]  所以也是收割節
[00:02:09.800 --> 00:02:12.640]  那我們回到今天的經文 我們看一下
[00:02:12.640 --> 00:02:16.080]  其實新約當中的第一個五旬節
[00:02:16.080 --> 00:02:18.320]  也有類似的一個意義
[00:02:18.320 --> 00:02:23.320]  那我們看一下當中有些什麼類似的地方
[00:02:23.320 --> 00:02:29.000]  首先是律法是藉著摩西傳給以色列的
[00:02:29.000 --> 00:02:33.840]  然後我們看到聖靈是藉著耶穌
[00:02:33.840 --> 00:02:37.520]  在這一天賜給所有的門徒
[00:02:37.520 --> 00:02:41.160]  那另外一方面就是新約在這一天
[00:02:41.160 --> 00:02:44.240]  有三千個人悔改信主
[00:02:44.240 --> 00:02:46.800]  就好像舊約裡面那些猶太人
[00:02:46.800 --> 00:02:50.360]  把出售的一些的莊稼獻給神一樣
[00:02:50.360 --> 00:02:52.280]  三千個人信主
[00:02:52.280 --> 00:02:56.720]  是一個很好的收成
[00:02:56.720 --> 00:03:02.040]  所以我們今天看到這兩個相似的地方
[00:03:02.040 --> 00:03:06.120]  進一步的時候我們就看今天的經文裡面的內容
[00:03:06.120 --> 00:03:10.320]  那主要今天我想把經文分成三個部分
[00:03:10.320 --> 00:03:12.200]  也是順理成章的三個部分
[00:03:12.200 --> 00:03:14.800]  第一個是講到聖靈的降臨
[00:03:14.800 --> 00:03:19.000]  第二個就是之後彼得的一個講道
[00:03:19.000 --> 00:03:20.920]  彼得講到之後發生什麼事情呢
[00:03:20.920 --> 00:03:25.800]  就是門徒有一個不一樣的生活的方式
[00:03:25.800 --> 00:03:30.560]  他們開始了他們的教會生活
[00:03:30.560 --> 00:03:32.680]  我不知道大家會不會讀這段經文的時候
[00:03:32.680 --> 00:03:36.040]  會不會覺得很震撼
[00:03:36.040 --> 00:03:42.040]  一天裡面原來在那邊跟隨耶穌的人有一百二十位
[00:03:42.040 --> 00:03:47.480]  但彼得講完道之後竟然有三千人信主
[00:03:47.480 --> 00:03:49.560]  這麼爆炸性的增長
[00:03:49.560 --> 00:03:50.920]  對每個的教會
[00:03:50.920 --> 00:03:54.880]  對我想每個的信徒都覺得很特別
[00:03:54.880 --> 00:03:56.960]  那我們抱著一個很好奇的心
