
[00:00:00.000 --> 00:00:09.000]  我今日要同大家講嘅題目係不要論斷人
[00:00:09.000 --> 00:00:15.000]  我想問大家你試過俾人論斷未啦
[00:00:15.000 --> 00:00:20.000]  我相信都會試過呀知未點樣呢
[00:00:20.000 --> 00:00:23.000]  我自己都試過俾人論斷呀
[00:00:23.000 --> 00:00:27.000]  知未點呢就係好難受嘅
[00:00:27.000 --> 00:00:29.000]  唔容易嘅
[00:00:29.000 --> 00:00:32.000]  你又試過去論斷人未啦
[00:00:32.000 --> 00:00:38.000]  多數人都話冇好少係咪呀
[00:00:38.000 --> 00:00:41.000]  我自己都試過論斷人
[00:00:41.000 --> 00:00:44.000]  論斷人有個相反嘅感覺
[00:00:44.000 --> 00:00:45.000]  即係唔會難受
[00:00:45.000 --> 00:00:48.000]  反而覺得好似有一種快感咁呀
[00:00:48.000 --> 00:00:50.000]  係咪呀
[00:00:50.000 --> 00:00:52.000]  快感到有時論斷咗人都唔知
[00:00:52.000 --> 00:00:58.000]  淨係感覺到個快感就唔知道係論斷咗人
[00:00:58.000 --> 00:01:04.000]  有個故事係咁樣
[00:01:04.000 --> 00:01:09.000]  有個人去搵牧師去要求他輔導佢
[00:01:09.000 --> 00:01:15.000]  佢話牧師我唔知點解成日一見到人我就講嘢
[00:01:15.000 --> 00:01:21.000]  咁好多時就真係自己都覺得自己係講一啲批評呀論斷嘅說話
[00:01:21.000 --> 00:01:23.000]  咁點算好呢
[00:01:23.000 --> 00:01:26.000]  我就覺得解唔到㗎啦
[00:01:26.000 --> 00:01:30.000]  咁究竟有咩簡單嘅方法可以幫到我呢
[00:01:30.000 --> 00:01:33.000]  咁牧師就話咁都好簡單㗎啫
[00:01:33.000 --> 00:01:35.000]  你咁樣
[00:01:35.000 --> 00:01:40.000]  你日頭見到人就講欣賞人造就人嘅說話
[00:01:40.000 --> 00:01:44.000]  如果你一定要講論斷批評人嘅說話呢
[00:01:44.000 --> 00:01:46.000]  咁你就留返瞓覺
[00:01:46.000 --> 00:01:52.000]  瞓覺嗰陣時候發夢嗰陣時候呢你就講啦
[00:01:52.000 --> 00:01:54.000]  咁其實咩呀
[00:01:54.000 --> 00:01:59.000]  其實話論斷嘅說話其實係一句都唔可以講
[00:01:59.000 --> 00:02:01.000]  係咪呀
[00:02:01.000 --> 00:02:09.000]  論斷人係都係一個罪
[00:02:09.000 --> 00:02:14.000]  主耶穌佢吩咐佢個門徒
[00:02:14.000 --> 00:02:18.000]  吩咐我哋話不要論斷人
[00:02:19.000 --> 00:02:27.000]  我哋今日就一齊睇下主耶穌佢點樣教導我哋不要論斷
[00:02:27.000 --> 00:02:36.000]  我哋先睇睇頭先所讀嘅經文
[00:02:36.000 --> 00:02:39.000]  馬太福音七章第一節
[00:02:39.000 --> 00:02:45.000]  主耶穌話你哋不要論斷人
[00:02:45.000 --> 00:02:47.000]  免得你哋被論斷
[00:02:49.000 --> 00:02:52.000]  不要論斷人呢個係主耶穌俾我哋嘅命令
[00:02:52.000 --> 00:02:57.000]  因為佢係用一個命令式嘅動詞
[00:02:57.000 --> 00:03:00.000]  好多人都知道
[00:03:00.000 --> 00:03:03.000]  未信嘅人都會知道有呢句說話
[00:03:03.000 --> 00:03:07.000]  所以好多時啲出面有啲人呢
[00:03:07.000 --> 00:03:08.000]  佢就揸住呢句說話啦
[00:03:08.000 --> 00:03:10.000]  佢好多時話得好啱
[00:03:10.000 --> 00:03:13.000]  佢話我哋基督徒太過論斷
[00:03:13.000 --> 00:03:16.000]  Judgmental
[00:03:19.000 --> 00:03:23.000]  有時諗下我哋的確係有時都幾論斷
[00:03:23.000 --> 00:03:29.000]  我哋基督徒唔單止會熟悉呢句說話
[00:03:29.000 --> 00:03:33.000]  其實仲有好多人係誤解呢句說話
[00:03:33.000 --> 00:03:35.000]  所以先要澄清一下
[00:03:35.000 --> 00:03:37.000]  呢度所講不要論斷人
[00:03:37.000 --> 00:03:42.000]  唔係叫我哋唔好指責
[00:03:42.000 --> 00:03:44.000]  唔好指責啲罪惡
[00:03:44.000 --> 00:03:48.000]  唔好見到人犯罪都唔話佢係犯罪
[00:03:48.000 --> 00:03:50.000]  唔係咁嘅意思
[00:03:50.000 --> 00:03:52.000]  亦都唔係叫我哋收起咗
[00:03:52.000 --> 00:04:01.000]  收起曬我哋去批判或者去判斷嘅呢啲能力責任
[00:04:01.000 --> 00:04:05.000]  我哋有責任去批判一啲時弊
[00:04:05.000 --> 00:04:11.000]  不要論斷人亦都唔係叫我哋見到啲邪惡嘅事
[00:04:11.000 --> 00:04:12.000]  隻眼開隻眼閉
[00:04:12.000 --> 00:04:14.000]  當睇唔到唔係
[00:04:14.000 --> 00:04:18.000]  亦都唔係叫我哋不分好歹或者不分是非
[00:04:18.000 --> 00:04:20.000]  唔係咁樣
[00:04:20.000 --> 00:04:26.000]  因為我哋從主耶穌佢喺其他地方嘅教訓
[00:04:26.000 --> 00:04:29.000]  或者後來嗰啲經文所講
[00:04:29.000 --> 00:04:31.000]  我哋知道佢唔係咁嘅意思
