
[00:00:00.000 --> 00:00:05.900]  我是中國出生 三歲離開廈門
[00:00:05.900 --> 00:00:08.600]  我出生那天我爸爸去菲律賓
[00:00:08.600 --> 00:00:11.900]  然後我三歲的時候
[00:00:11.900 --> 00:00:16.700]  我母親帶我們兄弟姐妹六個小孩子
[00:00:16.700 --> 00:00:18.400]  離開廈門
[00:00:18.400 --> 00:00:23.200]  我們離開廈門那個晚上廈門解放
[00:00:23.200 --> 00:00:25.300]  我是最小的
[00:00:25.300 --> 00:00:28.600]  然後我們到印尼去
[00:00:28.600 --> 00:00:31.500]  你們會嚇了一跳站在你面前這一位
[00:00:31.500 --> 00:00:34.900]  他17歲在印尼坐監牢
[00:00:34.900 --> 00:00:37.000]  你們嚇了一跳
[00:00:37.000 --> 00:00:38.500]  為什麼
[00:00:38.500 --> 00:00:41.800]  我不是殺人放火
[00:00:41.800 --> 00:00:43.400]  我是因為在印尼
[00:00:43.400 --> 00:00:44.900]  印尼排華很厲害
[00:00:44.900 --> 00:00:46.500]  因為我不是印尼的公民
[00:00:46.500 --> 00:00:48.800]  我是在印尼我沒有身份
[00:00:48.800 --> 00:00:53.100]  印尼我不是印尼公民就不能夠念大學
[00:00:53.100 --> 00:00:55.900]  那從小我父母親知道我是一個書呆子
[00:00:55.900 --> 00:00:57.200]  喜歡念書
[00:00:57.200 --> 00:01:00.500]  如果不能夠念大學太可惜
[00:01:00.500 --> 00:01:05.400]  印尼當時有一些旅行社是專門做假出身證假護照的
[00:01:05.400 --> 00:01:09.600]  英國有沒有這種旅行社
[00:01:09.600 --> 00:01:12.700]  做假的出身證假的護照
[00:01:12.700 --> 00:01:13.900]  我父母親沒有錢
[00:01:13.900 --> 00:01:16.900]  但是為了讓我有機會離開印尼
[00:01:16.900 --> 00:01:19.600]  當時想要到菲律賓
[00:01:19.600 --> 00:01:25.400]  可以可以可以打開沒關係
[00:01:25.400 --> 00:01:27.800]  因為想要離開印尼
[00:01:27.800 --> 00:01:29.500]  當時想要到菲律賓念書
[00:01:29.500 --> 00:01:32.600]  所以去找旅行社替我辦
[00:01:32.600 --> 00:01:36.900]  旅行社的擔保沒有問題沒有問題
[00:01:36.900 --> 00:01:39.400]  只要你交很大一筆錢
[00:01:39.400 --> 00:01:40.300]  他說沒有問題
[00:01:40.300 --> 00:01:42.500]  但是呢我交了錢
[00:01:42.500 --> 00:01:45.200]  我以為我可以拿到護照
