
[00:00:00.000 --> 00:00:04.000]  如果想問大家 問以下的一些問題
[00:00:04.000 --> 00:00:06.000]  我想問大家以下的一些問題
[00:00:06.000 --> 00:00:08.000]  看看大家怎麼回答
[00:00:08.000 --> 00:00:09.000]  看看大家怎麼回答
[00:00:09.000 --> 00:00:11.000]  最近有沒有一些值得你感恩的事
[00:00:11.000 --> 00:00:14.000]  最近有沒有一些值得感恩的事呢
[00:00:14.000 --> 00:00:20.000]  今年有沒有值得感恩的事呢
[00:00:20.000 --> 00:00:23.000]  今年有沒有值得感恩的事呢
[00:00:23.000 --> 00:00:26.000]  人生中有沒有一些值得感恩的事
[00:00:26.000 --> 00:00:28.000]  人生中有沒有一些值得感恩的事
[00:00:28.000 --> 00:00:30.000]  如果你能夠很快回答這三條問題
[00:00:30.000 --> 00:00:32.000]  如果你能夠很快回答這三條問題
[00:00:32.000 --> 00:00:36.000]  我想你是一個懂得感恩而快樂的人
[00:00:36.000 --> 00:00:39.000]  我想你是一個懂得感恩而快樂的人
[00:00:39.000 --> 00:00:44.000]  有一個小姐在超級市場裡面推廣雞仔餅
[00:00:44.000 --> 00:00:48.000]  有一個小姐在超級市場裡面推廣雞仔餅
[00:00:48.000 --> 00:00:51.000]  凡經過的人都會派一塊給她
[00:00:51.000 --> 00:00:53.000]  凡經過的人都會派一塊給她
[00:00:53.000 --> 00:00:57.000]  有一個很調皮的小孩經過了
[00:00:57.000 --> 00:00:59.000]  有一個很調皮的小孩經過了
[00:00:59.000 --> 00:01:00.000]  有一個很調皮的小孩經過了
[00:01:00.000 --> 00:01:01.000]  上前就拿了一塊
[00:01:01.000 --> 00:01:02.000]  上前就拿了一塊
[00:01:02.000 --> 00:01:03.000]  上前就拿了一塊
[00:01:03.000 --> 00:01:05.000]  在旁邊的媽媽就跟她說
[00:01:05.000 --> 00:01:06.000]  在旁邊的媽媽就跟她說
[00:01:06.000 --> 00:01:07.000]  在旁邊的媽媽就跟她說
[00:01:07.000 --> 00:01:08.000]  旁邊的媽媽就跟她說
[00:01:08.000 --> 00:01:09.000]  你應該跟人家說些什麼
[00:01:09.000 --> 00:01:10.000]  旁邊的媽媽就跟她說
[00:01:10.000 --> 00:01:11.000]  你應該跟人家說些什麼
[00:01:11.000 --> 00:01:12.000]  你應該要跟別人說什麼呢
[00:01:12.000 --> 00:01:13.000]  你應該要跟別人說什麼呢
[00:01:13.000 --> 00:01:14.000]  那個小女孩想了一下
[00:01:14.000 --> 00:01:15.000]  那個小女孩想了一下
[00:01:15.000 --> 00:01:16.000]  那個小女孩想了一下
[00:01:16.000 --> 00:01:18.000]  然後就走去小姐面前
[00:01:18.000 --> 00:01:19.000]  然後就走去小姐面前
[00:01:19.000 --> 00:01:20.000]  然後就走去小姐面前
[00:01:20.000 --> 00:01:27.000]  你可不可以給我多一塊
[00:01:27.000 --> 00:01:31.000]  一個爸爸在吃飯前就借飯了
[00:01:31.000 --> 00:01:34.000]  有位父親在吃飯之前就卸飯了
[00:01:34.000 --> 00:01:38.000]  然後借飯之後他們就開始吃飯
[00:01:38.000 --> 00:01:40.000]  卸完飯之後他們就開始吃飯了
[00:01:40.000 --> 00:01:41.000]  然後就開始說
[00:01:41.000 --> 00:01:44.000]  為什麼今天的飯這麼硬呢
[00:01:44.000 --> 00:01:46.000]  為什麼今天的飯這麼硬呢
[00:01:46.000 --> 00:01:47.000]  菜這麼軟呢
[00:01:47.000 --> 00:01:48.000]  那些菜怎麼這麼軟
[00:01:48.000 --> 00:01:50.000]  那些魚這麼腥呢
[00:01:50.000 --> 00:01:51.000]  魚為什麼這麼腥呢
[00:01:51.000 --> 00:01:52.000]  那些魚怎麼這麼腥呢
[00:01:52.000 --> 00:01:53.000]  那些魚怎麼這麼腥呢
[00:01:53.000 --> 00:01:54.000]  那些魚怎麼這麼腥呢
[00:01:54.000 --> 00:01:55.000]  那些魚怎麼這麼腥呢
