
[00:00:00.000 --> 00:00:08.560]  新年蒙福,祝福大家,新年進步,在新的一年我們福杯滿日
[00:00:08.560 --> 00:00:15.400]  我見到在WhatsApp有很多恭賀的說話,我見到一個很特別的
[00:00:15.400 --> 00:00:19.800]  有一個很特別的,一幅圖畫上面寫著八個字
[00:00:19.800 --> 00:00:31.800]  看看是什麼字,虽然小一點,苦盡甘來,吐氣揚眉,看起來用了一些生肖的字
[00:00:31.800 --> 00:00:37.800]  又給我們一個盼望,在新的一年,在吐年裡面,苦盡甘來
[00:00:37.800 --> 00:00:42.800]  過去的日子,可能有幾年的時間,很多不同的事情發生,特別是疫情的話
[00:00:42.800 --> 00:00:50.800]  都讓我們感覺很多不同的事情發生,有些被限制,心裡面都很難過等等
[00:00:50.800 --> 00:00:55.800]  但是在新的一年裡面,在吐年裡面,會不會給我們新的盼望呢?
[00:00:55.800 --> 00:01:04.800]  現在好像疫情又越來越緩和了,見到很多限制的設施都取消了
[00:01:04.800 --> 00:01:13.800]  我們的頂尖舞,可能之前有些沒有打針的頂尖舞,都可以自由地來到我們的教會當中去敬拜
[00:01:13.800 --> 00:01:21.800]  非常好,遲些聽說,現在還在放風聲,以後口罩都可以脫下來,再過幾個月
[00:01:21.800 --> 00:01:27.800]  我們見到大家的樣子,過去幾年,有時候都不記得樣子是怎樣的
[00:01:27.800 --> 00:01:34.800]  只是一起吃飯而已,有時候肥的、瘦的都未必看得很清楚,其實除了口罩真的很不同
[00:01:34.800 --> 00:01:39.800]  求主繼續帶領我們,在新的一年裡面,復常了
[00:01:39.800 --> 00:01:44.800]  我們有沒有想一下,有沒有一些事情我們是不能不做的呢?有沒有?
[00:01:44.800 --> 00:01:51.800]  給大家30秒想一下,在吐年裡面,有什麼我是不能不做的,我覺得我一定要做
[00:01:51.800 --> 00:01:57.800]  不做,我覺得真的很不能應對這個新的發展,是什麼?
[00:01:57.800 --> 00:02:02.800]  會不會有人說,其實很好,快點去旅行
[00:02:02.800 --> 00:02:10.800]  然後在上年年底,見到大英姐妹或者朋友,其實安排了很多不同的行程
[00:02:10.800 --> 00:02:19.800]  去哪裡玩,去日本玩,日本有些人說回鄉下,雖然機票貴一點,但都過去,因為真的很久沒去了
[00:02:19.800 --> 00:02:30.800]  會不會有消費方面,有人用過詞,聽起來有些報復性消費,聽起來有點特別
[00:02:30.800 --> 00:02:41.800]  其實我突然發覺,其實真的,剛剛是除夕夜,我們都是家人一起出去團年飯
[00:02:41.800 --> 00:02:47.800]  去到酒樓,你會發覺,從來沒見過這麼虛,應該說過去幾年
