
[00:00:00.000 --> 00:00:05.400]  今日就想同大家繼續分享復仕
[00:00:05.400 --> 00:00:08.680]  究竟復仕是什麼?
[00:00:08.680 --> 00:00:12.280]  剛才我們一起讀那段聖經
[00:00:12.280 --> 00:00:17.520]  就是我想同大家分享的一段聖經
[00:00:17.520 --> 00:00:24.120]  這一段聖經就是
[00:00:24.120 --> 00:00:28.280]  「所以弟兄們,我以神的慈悲勸你們
[00:00:28.280 --> 00:00:33.240]  將身體獻上,當作活祭
[00:00:33.240 --> 00:00:37.000]  是聖潔的,是神所喜悅的
[00:00:37.000 --> 00:00:42.600]  你們如此侍奉,乃是理所當然的」
[00:00:42.600 --> 00:00:44.240]  我們一起祈禱
[00:00:44.240 --> 00:00:45.400]  趁我天父多謝你
[00:00:45.400 --> 00:00:48.160]  給我們一切利好敬拜你
[00:00:48.160 --> 00:00:51.760]  求你向我們去說話
[00:00:51.760 --> 00:00:52.960]  幫助我們
[00:00:52.960 --> 00:01:01.200]  「將身體獻上,當作活祭,是聖潔的,是神所喜悅的
[00:01:01.200 --> 00:01:06.040]  我們如此去服侍上帝,是理所當然的」
[00:01:06.040 --> 00:01:08.600]  求你呼召我們
[00:01:08.600 --> 00:01:10.040]  感動我們
[00:01:10.040 --> 00:01:12.400]  願意獻上我們自己
[00:01:12.400 --> 00:01:13.320]  我們這樣禱告
[00:01:13.320 --> 00:01:15.160]  奉耶穌聖名祈禱
[00:01:15.160 --> 00:01:16.280]  阿們
[00:01:19.480 --> 00:01:25.320]  再一次回到大家的當中
[00:01:25.320 --> 00:01:28.720]  對我來說都是有點適應
[00:01:28.720 --> 00:01:32.600]  第一樣適應究竟我打不打胎上台呢
[00:01:32.600 --> 00:01:34.800]  回到澳洲
[00:01:34.800 --> 00:01:37.800]  每個人都很隨性的
[00:01:37.800 --> 00:01:41.040]  我都要想一想我究竟穿什麼衣服
[00:01:41.040 --> 00:01:43.200]  究竟我穿什麼鞋
[00:01:43.200 --> 00:01:44.640]  都不知道
[00:01:44.640 --> 00:01:47.040]  是一個很特別的感覺
[00:01:47.040 --> 00:01:49.680]  今天想跟大家藉著這段經文
[00:01:49.680 --> 00:01:56.160]  去思想愛和侍奉
[00:01:56.160 --> 00:01:58.840]  在2018年1月
[00:01:58.840 --> 00:02:03.120]  在英國有一個女生在她的Facebook裡面
[00:02:03.120 --> 00:02:04.840]  發出一個呼籲
[00:02:04.840 --> 00:02:06.360]  這個Nuus
[00:02:06.360 --> 00:02:07.960]  她發出一個請求
[00:02:07.960 --> 00:02:10.960]  因為她只是29歲
[00:02:10.960 --> 00:02:14.720]  但是她卻是有腎衰竭
[00:02:14.720 --> 00:02:17.840]  她由8歲開始已經有腎臟的問題
[00:02:17.840 --> 00:02:19.640]  到29歲
[00:02:19.640 --> 00:02:25.600]  她的腎已經去到只有十幾個百分比
[00:02:25.600 --> 00:02:28.040]  沒有人捐腎給她
[00:02:28.040 --> 00:02:30.600]  她就要靠洗腎
[00:02:30.600 --> 00:02:34.080]  來過過去的一生
[00:02:34.080 --> 00:02:36.440]  她發出一個呼籲
[00:02:36.440 --> 00:02:37.720]  有人去回應她
[00:02:37.720 --> 00:02:39.800]  不過很可惜
[00:02:39.800 --> 00:02:41.200]  有些很軟
[00:02:41.200 --> 00:02:42.600]  有些不適合
[00:02:42.600 --> 00:02:43.560]  血型
[00:02:43.560 --> 00:02:46.640]  有些身體不能看見
[00:02:46.640 --> 00:02:48.640]  種種的原因
[00:02:48.640 --> 00:02:51.880]  那些熟悉她的人去回應
[00:02:51.880 --> 00:02:55.560]  但是卻是她最終失望
[00:02:55.560 --> 00:03:01.800]  她找不到一個人願意適合捐腎給她
[00:03:01.800 --> 00:03:04.360]  突然間在失望的時候
[00:03:04.360 --> 00:03:07.440]  她得到一個消息
[00:03:07.440 --> 00:03:09.720]  有一個陌生人
[00:03:09.720 --> 00:03:12.280]  這個陌生人突然間
[00:03:12.280 --> 00:03:14.640]  透過一個朋友
[00:03:14.640 --> 00:03:20.640]  將一個消息轉達
[00:03:20.640 --> 00:03:26.320]  說她願意捐腎給Louise
[00:03:26.320 --> 00:03:30.120]  就是一個叫K-Line的女士
[00:03:30.120 --> 00:03:31.560]  她三十多歲
[00:03:31.560 --> 00:03:32.960]  三五色漆
[00:03:32.960 --> 00:03:35.760]  在臉書看到這個邀請
[00:03:35.760 --> 00:03:37.840]  她突然間有一個感動
[00:03:37.840 --> 00:03:41.040]  我要捐腎給這個人
[00:03:41.040 --> 00:03:43.880]  就是Louise覺得
[00:03:43.880 --> 00:03:48.320]  為什麼這個人會無緣無故捐腎給我呢?
[00:03:48.320 --> 00:03:50.520]  她會不會是為了錢呢?
