
[00:00:00.000 --> 00:00:01.720]  好了,我們今天講這段經文
[00:00:01.720 --> 00:00:03.600]  這段經文大家讀出來,有點熟悉
[00:00:03.600 --> 00:00:06.700]  但頭一句可能令你有一個誤解
[00:00:06.700 --> 00:00:08.620]  耶穌叫了十二個門徒來
[00:00:08.620 --> 00:00:09.680]  好,可以,收工
[00:00:09.680 --> 00:00:11.940]  因為是叫十二個門徒,不是叫你
[00:00:11.940 --> 00:00:13.340]  千萬不要誤會
[00:00:13.340 --> 00:00:14.800]  這段經文是講給你聽的
[00:00:14.800 --> 00:00:16.880]  不是講給十二個門徒聽
[00:00:16.880 --> 00:00:19.720]  十二個門徒是作為我們的代表
[00:00:19.720 --> 00:00:22.180]  但是我們都需要留心
[00:00:22.180 --> 00:00:25.800]  其實呢,我們有很多弟兄姊妹有一個感覺就是
[00:00:25.800 --> 00:00:28.500]  我們是信徒,還要加上便宜一點
[00:00:28.500 --> 00:00:29.560]  是便宜信徒
[00:00:29.560 --> 00:00:30.880]  不是很關我的事
[00:00:30.880 --> 00:00:33.100]  哪有這樣分的,大哥
[00:00:33.100 --> 00:00:38.100]  其實耶穌的心意,我們每個人都要成為祂的門徒
[00:00:38.100 --> 00:00:41.840]  沒有一個類別,沒有一個類別說
[00:00:41.840 --> 00:00:43.680]  信徒,還要便宜的
[00:00:43.680 --> 00:00:45.540]  便宜信徒,不關事
[00:00:45.540 --> 00:00:47.140]  每個人都是主的門徒
[00:00:47.140 --> 00:00:49.080]  因為主耶穌的心意是什麼?
[00:00:49.080 --> 00:00:51.120]  我們去普天下傳福音
[00:00:51.120 --> 00:00:53.760]  要叫「萬民作我的」
[00:00:53.760 --> 00:00:57.040]  門徒你留意一下,馬太福音二十八章
[00:00:57.040 --> 00:00:59.840]  什麼時候說「萬民作我的」便宜信徒
[00:00:59.840 --> 00:01:01.280]  沒有這麼說過
[00:01:01.280 --> 00:01:03.600]  全部都要做主的門徒
[00:01:03.600 --> 00:01:08.240]  我們認信耶穌做救主和生命的主的時候
[00:01:08.240 --> 00:01:10.520]  是成為門徒
[00:01:10.520 --> 00:01:14.480]  沒有一些要求說我們低級一點
[00:01:14.480 --> 00:01:16.120]  每個人都要作主的門徒
[00:01:16.120 --> 00:01:20.120]  所以十二個門徒是作為一個典範、一個示範
[00:01:20.120 --> 00:01:23.880]  我們每個人都要跟隨耶穌成為祂的門徒
[00:01:23.880 --> 00:01:26.800]  所以這次給十二個門徒的差遣
[00:01:26.800 --> 00:01:28.880]  其實同樣是我們的差遣
[00:01:28.880 --> 00:01:30.520]  我們每個人都有份
[00:01:30.520 --> 00:01:32.240]  我們奉差遣做什麼?
