
[00:00:00.000 --> 00:00:03.480]  謝謝牧師帶領我們有美好的敬拜
[00:00:03.480 --> 00:00:08.520]  今天開始我們就會開始新的一個講道系列
[00:00:08.520 --> 00:00:13.640]  那我們這一次會集中講彼得前書和後書
[00:00:13.640 --> 00:00:16.160]  今天是第一講
[00:00:16.160 --> 00:00:19.640]  今天這個題目是新生命新生活
[00:00:19.640 --> 00:00:22.120]  不知道大家有沒有聽過一句話
[00:00:22.120 --> 00:00:25.160]  是我們中國人的說的一句話
[00:00:25.160 --> 00:00:27.920]  就是說有關係就沒關係了
[00:00:27.920 --> 00:00:30.440]  沒關係就有關係了
[00:00:30.440 --> 00:00:33.880]  這句話很有意思
[00:00:33.880 --> 00:00:37.000]  但是到底他在這裏是說什麼呢
[00:00:37.000 --> 00:00:38.800]  他的意思就是說
[00:00:38.800 --> 00:00:42.920]  如果我們的關係如果打得好的話
[00:00:42.920 --> 00:00:46.280]  那無論發生大小的事情
[00:00:46.280 --> 00:00:47.880]  最後都會沒關係了
[00:00:47.880 --> 00:00:52.640]  就是說最後都很好解決問題
[00:00:52.640 --> 00:00:55.200]  就算有問題發生的時候
[00:00:55.200 --> 00:00:59.400]  只要你和別人關係打得好的話
[00:00:59.400 --> 00:01:02.040]  那個問題很快就可以解決了
[00:01:02.040 --> 00:01:04.480]  但是如果關係不好的話
[00:01:04.480 --> 00:01:08.040]  無論發生大小的事情
[00:01:08.040 --> 00:01:11.960]  最後那個問題都很大很難解決
[00:01:11.960 --> 00:01:15.440]  那這句話有的人看你怎麼理解
[00:01:15.440 --> 00:01:18.280]  其實這句話有正反兩面
[00:01:18.280 --> 00:01:20.480]  如果我們運用得好的話
[00:01:20.480 --> 00:01:24.200]  那我們跟人之間的關係其實可以處理得很好
[00:01:24.200 --> 00:01:30.440]  而且我們可以透過這個美好的關係的建立
[00:01:30.440 --> 00:01:35.480]  來帶來很多很正面的事情
[00:01:35.480 --> 00:01:38.960]  但是如果你錯用這種關係
[00:01:38.960 --> 00:01:43.200]  利用這個關係來做一些不好的事情的話
[00:01:43.200 --> 00:01:48.440]  那其實這個就不是太好了
[00:01:48.440 --> 00:01:52.520]  其實關係不管是在東方西方
[00:01:52.520 --> 00:01:56.800]  我想關係都是我們每個人都很需要的
[00:01:56.800 --> 00:01:58.560]  都是非常重要的
[00:01:58.560 --> 00:02:01.960]  那信徒與神的關係也一樣
[00:02:01.960 --> 00:02:05.280]  如果我們與神的關係建立得好的話
[00:02:05.280 --> 00:02:10.560]  那我們行出來我們的生活也自然就很好
