
[00:00:00.000 --> 00:00:03.980]  親愛的主 親愛的天父上帝 親愛的主聖靈
[00:00:03.980 --> 00:00:06.400]  主啊 祢是我們所依靠的主
[00:00:06.400 --> 00:00:08.640]  今天我們站在祢的面前
[00:00:08.640 --> 00:00:10.240]  孩子站在祢的面前
[00:00:10.240 --> 00:00:12.240]  主啊 我要先來禱告
[00:00:12.240 --> 00:00:16.200]  主啊 我先要將這片刀交在祢手中
[00:00:16.200 --> 00:00:19.440]  主啊 主啊 孩子的口真是愚拙
[00:00:19.440 --> 00:00:22.240]  主啊 怎能說出智慧的言語呢
[00:00:22.240 --> 00:00:24.640]  主啊 但是今天要來祈福祢
[00:00:24.640 --> 00:00:30.160]  就是主啊 祢自己寶貴的話語
[00:00:30.160 --> 00:00:33.160]  主啊 祢自己的聖靈在我們當中
[00:00:33.160 --> 00:00:35.160]  加力量給我們
[00:00:35.160 --> 00:00:37.160]  主啊 主啊 讓我們有能聽的耳
[00:00:37.160 --> 00:00:39.160]  主啊 改變我們的心思意念
[00:00:39.160 --> 00:00:41.160]  主啊 讓我們從祢的話語裡面
[00:00:41.160 --> 00:00:44.160]  每一句話 讓我們都紮在我們的心上
[00:00:44.160 --> 00:00:46.160]  讓我們回轉向祢
[00:00:46.160 --> 00:00:49.160]  願祢充滿我們 使我們得著有祢的生命
[00:00:49.160 --> 00:00:51.160]  謝謝主 確定我們的禱告
[00:00:51.160 --> 00:00:55.160]  奉靠耶穌的名 阿們
[00:00:55.160 --> 00:00:57.160]  弟兄姊妹
[00:00:57.160 --> 00:00:59.160]  今天我要跟大家分享的題目呢
[00:00:59.160 --> 00:01:02.160]  是出自於箴言一到九章
[00:01:02.160 --> 00:01:04.160]  我做了一個總結
[00:01:04.160 --> 00:01:07.160]  就是Tina神在說話
[00:01:07.160 --> 00:01:11.160]  最近我們的城島已經進入了箴言的第九章
[00:01:11.160 --> 00:01:14.160]  那從第一章到第九章
[00:01:14.160 --> 00:01:17.160]  它都有一個很特別的地方
[00:01:17.160 --> 00:01:22.160]  就是從父親的口吻對孩子說話
[00:01:22.160 --> 00:01:24.160]  所以我們可以在
[00:01:24.160 --> 00:01:27.160]  這個箴言第一章 第二章 第三章
[00:01:27.160 --> 00:01:29.160]  每一章我們都看見
[00:01:29.160 --> 00:01:30.160]  有一句話說
[00:01:30.160 --> 00:01:35.160]  我兒要聽父親的教訓
[00:01:35.160 --> 00:01:37.160]  父親的教訓裡面
[00:01:37.160 --> 00:01:39.160]  有什麼重點呢
[00:01:39.160 --> 00:01:42.160]  父親談論什麼是智慧
[00:01:42.160 --> 00:01:44.160]  但是其中有一項的主題
[00:01:44.160 --> 00:01:47.160]  是父親一再重複的
[00:01:47.160 --> 00:01:49.160]  什麼樣的主題
[00:01:49.160 --> 00:01:52.160]  就是要遠離淫婦
[00:01:52.160 --> 00:01:54.160]  或者稱為外女
[00:01:54.160 --> 00:01:56.160]  這個外女
[00:01:56.160 --> 00:01:58.160]  就是foreign woman
[00:01:58.160 --> 00:02:01.160]  是一個你不認識的陌生人
[00:02:01.160 --> 00:02:03.160]  她是一個淫婦
[00:02:03.160 --> 00:02:04.160]  她出現在
[00:02:04.160 --> 00:02:07.160]  箴言的第二章 第五章 第六章
[00:02:07.160 --> 00:02:10.160]  第七章 第八章 第九章
[00:02:10.160 --> 00:02:11.160]  連續六個地方
[00:02:11.160 --> 00:02:16.160]  都在談論這個淫婦
[00:02:16.160 --> 00:02:18.160]  為什麼要離開淫婦呢
[00:02:18.160 --> 00:02:20.160]  當然一個做父親的心裡面
[00:02:20.160 --> 00:02:22.160]  很清楚知道
[00:02:22.160 --> 00:02:25.160]  淫婦會將孩子的生命
[00:02:25.160 --> 00:02:29.160]  性命落入墮落當中
[00:02:29.160 --> 00:02:33.160]  最後甚至會失去寶貴的生命
[00:02:33.160 --> 00:02:35.160]  所以在第六章之後
[00:02:35.160 --> 00:02:37.160]  到第七章 第九章
[00:02:37.160 --> 00:02:43.160]  就主要就在談論兩個女人
[00:02:43.160 --> 00:02:46.160]  箴言裡面總共有三個女人出現
[00:02:46.160 --> 00:02:49.160]  第一個就叫做淫婦
[00:02:49.160 --> 00:02:51.160]  第二個叫做智慧女
[00:02:51.160 --> 00:02:56.160]  第三個是才德的婦人
[00:02:56.160 --> 00:02:58.160]  這個做父親的心意
[00:02:58.160 --> 00:02:59.160]  他很清楚知道
[00:02:59.160 --> 00:03:04.160]  這世界上面有兩種人
[00:03:04.160 --> 00:03:08.160]  一個是要親近 一個是要遠離
[00:03:08.160 --> 00:03:10.160]  其實在讀箴言的時候
[00:03:10.160 --> 00:03:13.160]  我常常想到我的父親
[00:03:13.160 --> 00:03:16.160]  他常常會在餐桌上
[00:03:16.160 --> 00:03:19.160]  跟我們說人生的大道理
[00:03:19.160 --> 00:03:22.160]  所以我自己寫了一個打油詩
[00:03:22.160 --> 00:03:26.160]  我寫說 一日的美好就在哪裡呢
[00:03:26.160 --> 00:03:29.160]  就在餐廳裡
[00:03:29.160 --> 00:03:33.160]  若想吃得好 就得聽道理
[00:03:33.160 --> 00:03:35.160]  如果你想要吃這頓飯
[00:03:35.160 --> 00:03:37.160]  你一定要聽父親講話
[00:03:37.160 --> 00:03:39.160]  如果你不好好聽父親講話
[00:03:39.160 --> 00:03:42.160]  也許下一餐表現不好
[00:03:42.160 --> 00:03:44.160]  可能就沒有雞腿了
[00:03:44.160 --> 00:03:46.160]  當然不是每餐都吃這麼好
[00:03:46.160 --> 00:03:48.160]  我的意思是說
[00:03:48.160 --> 00:03:52.160]  我的父親總是會在我們家人聚集的時候
[00:03:52.160 --> 00:03:55.160]  他在那裡分享人生大道理
[00:03:55.160 --> 00:03:59.160]  父親的口吻就跟箴言的作者一樣
[00:03:59.160 --> 00:04:01.160]  家父常常會說
[00:04:01.160 --> 00:04:04.160]  你看像我 潔潔
[00:04:04.160 --> 00:04:06.160]  你看我的皮鞋
[00:04:06.160 --> 00:04:11.160]  一雙穿了十幾年到現在還在穿
[00:04:11.160 --> 00:04:13.160]  小時候我心裡就想
[00:04:13.160 --> 00:04:15.160]  我可是只有一雙鞋
[00:04:15.160 --> 00:04:19.160]  爸爸你好多鞋
[00:04:19.160 --> 00:04:22.160]  我是天天穿我的布鞋在跑步
[00:04:22.160 --> 00:04:24.160]  你總是穿你的皮鞋
[00:04:24.160 --> 00:04:26.160]  而且是輪流換
[00:04:26.160 --> 00:04:28.160]  所以我們心裡面會犯低估的
[00:04:28.160 --> 00:04:30.160]  心裡面會起疑惑的
[00:04:30.160 --> 00:04:32.160]  但是總是要聽
[00:04:32.160 --> 00:04:34.160]  父親也會教導我們
[00:04:34.160 --> 00:04:36.160]  什麼樣叫做勤勞
[00:04:36.160 --> 00:04:38.160]  要活就要動
[00:04:38.160 --> 00:04:40.160]  書要好好讀
[00:04:40.160 --> 00:04:41.160]  字要好好寫
[00:04:41.160 --> 00:04:44.160]  最近有什麼地方要改善的
[00:04:44.160 --> 00:04:46.160]  比如說床頭都沒有擦
[00:04:46.160 --> 00:04:48.160]  所以都是灰塵
[00:04:48.160 --> 00:04:51.160]  父親總是到處叮嚀
[00:04:51.160 --> 00:04:53.160]  就是希望我們的生活
[00:04:53.160 --> 00:04:54.160]  我們的交友
[00:04:54.160 --> 00:04:55.160]  我們的工作
[00:04:55.160 --> 00:04:59.160]  甚至於我們未來結婚的對象
[00:04:59.160 --> 00:05:03.160]  父親都會在三的叮嚀祖父
