
[00:00:00.000 --> 00:00:05.000]  今天的講題是《夜禍話果然為我們行了大事》
[00:00:05.000 --> 00:00:10.000]  我們一起回望二四前瞻二五
[00:00:10.000 --> 00:00:12.000]  當然除了我們的生命
[00:00:12.000 --> 00:00:16.000]  我們知道全港全世界有很多事發生了
[00:00:16.000 --> 00:00:21.000]  上個星期我們用Yahoo來回顧
[00:00:21.000 --> 00:00:24.000]  我今天就用Google有不同的角度
[00:00:24.000 --> 00:00:27.000]  搜查一下究竟我們在不同的組別
[00:00:27.000 --> 00:00:33.000]  究竟有什麼最熱話最熱手
[00:00:33.000 --> 00:00:38.000]  首先一看就是環球的娛樂名人
[00:00:38.000 --> 00:00:39.000]  看看你認識多少個
[00:00:39.000 --> 00:00:41.000]  不斷有人搜尋的名字是什麼
[00:00:41.000 --> 00:00:43.000]  首先先看頭五個
[00:00:43.000 --> 00:00:46.000]  看看你認識多少個
[00:00:46.000 --> 00:00:48.000]  馬上就見到了
[00:00:48.000 --> 00:00:51.000]  特別中間兩個是很帥的
[00:00:51.000 --> 00:00:54.000]  有Avangard
[00:00:54.000 --> 00:00:57.000]  大家有沒有人認識第六個Avangard
[00:00:57.000 --> 00:00:59.000]  說了很多
[00:00:59.000 --> 00:01:02.000]  如果你發現這五個最少認識三個以上
[00:01:02.000 --> 00:01:04.000]  你加一下手
[00:01:04.000 --> 00:01:06.000]  你認識他 他認識你嗎
[00:01:06.000 --> 00:01:08.000]  再看下去
[00:01:08.000 --> 00:01:13.000]  特別在第二到第五位裡面
[00:01:13.000 --> 00:01:16.000]  第四位我太太介紹給我認識
[00:01:16.000 --> 00:01:19.000]  她說這是一個國內的KOL
[00:01:19.000 --> 00:01:20.000]  本來很胖的
[00:01:20.000 --> 00:01:24.000]  但是她拍了一段兩個小時的片
[00:01:24.000 --> 00:01:25.000]  就是怎樣減肥
[00:01:25.000 --> 00:01:27.000]  然後很多人看
[00:01:27.000 --> 00:01:30.000]  然後我太太說到這件事就看著我
[00:01:30.000 --> 00:01:32.000]  減肥真的很多人看
[00:01:32.000 --> 00:01:34.000]  看著我就是很大壓力
[00:01:34.000 --> 00:01:36.000]  然後她就說
[00:01:36.000 --> 00:01:37.000]  不過減肥之後
[00:01:37.000 --> 00:01:38.000]  她沒那麼受歡迎了
[00:01:38.000 --> 00:01:40.000]  本來很可愛的 肥嘟嘟
[00:01:40.000 --> 00:01:43.000]  我馬上有點安慰
[00:01:43.000 --> 00:01:44.000]  肥嘟嘟很可愛
[00:01:44.000 --> 00:01:48.000]  不知道大家知道第一位是誰
[00:01:48.000 --> 00:01:50.000]  跟2023年一樣
[00:01:50.000 --> 00:01:52.000]  就是
[00:01:52.000 --> 00:01:54.000]  又是Taylor Swift
[00:01:54.000 --> 00:01:55.000]  不知道你猜不猜得到
