
[00:00:00.000 --> 00:00:07.000]  我們讀一段聖經在希伯來書第十章第35到第38節
[00:00:07.000 --> 00:00:10.600]  這裏說:所以你們不可丟棄勇敢的心
[00:00:10.600 --> 00:00:13.600]  存這樣的心必得大賞賜
[00:00:13.600 --> 00:00:17.000]  你們必須忍耐使你們行完了神的旨意
[00:00:17.000 --> 00:00:19.700]  就可以得到所應許的
[00:00:19.700 --> 00:00:24.300]  因爲還有一點點時候那要來的就來並不遲延
[00:00:24.300 --> 00:00:27.000]  只是一人必因性得生
[00:00:27.000 --> 00:00:30.300]  他若退後我心裏就不喜歡他
[00:00:30.300 --> 00:00:32.300]  我們就讀到這裏
[00:00:32.300 --> 00:00:38.300]  等候神永遠不是一件容易的事情
[00:00:38.300 --> 00:00:41.000]  因爲我們不知道神的方法
[00:00:41.000 --> 00:00:44.100]  也不知道神工作的時候
[00:00:44.100 --> 00:00:45.600]  所以在等候的過程當中
[00:00:45.600 --> 00:00:50.300]  我們人常常落入心中的焦慮裏面
[00:00:50.300 --> 00:00:52.600]  希伯來書所寫的對象
[00:00:52.600 --> 00:00:57.700]  當時的教會就是面對這樣一種光景
[00:00:57.700 --> 00:01:01.600]  在希伯來書第十章裏面我們提到這些信徒
[00:01:01.600 --> 00:01:03.800]  他們不是出信的人
[00:01:03.800 --> 00:01:07.500]  他們爲主也經過一些大患難
[00:01:07.500 --> 00:01:12.700]  如果你回頭看第十章前面32節到34節
[00:01:12.700 --> 00:01:15.400]  你就看這些信徒是很不容易的
[00:01:15.400 --> 00:01:18.700]  他們忍受了大征戰的苦難
[00:01:18.700 --> 00:01:20.600]  這裏說他們被毀謗
[00:01:20.600 --> 00:01:22.300]  遭遇到患難
[00:01:22.300 --> 00:01:26.200]  甚至好像成爲戲井被人觀看
[00:01:26.200 --> 00:01:29.700]  他們也陪伴了當時很多受苦的人羣
[00:01:29.700 --> 00:01:31.900]  他們沒有撇下這些受苦的人
[00:01:31.900 --> 00:01:34.700]  他們與他們一同的受苦
[00:01:34.700 --> 00:01:38.500]  甚至他們的家業都被人搶去
[00:01:38.500 --> 00:01:41.500]  也甘心忍受
[00:01:41.500 --> 00:01:43.300]  當你讀到這些信徒的時候
[00:01:43.300 --> 00:01:45.300]  覺得真是太偉大了不是嗎
[00:01:45.300 --> 00:01:46.500]  太棒了
[00:01:46.500 --> 00:01:50.100]  我們真的是偉大的基督徒不是嗎
[00:01:50.100 --> 00:01:52.000]  可就在這個時刻
[00:01:52.000 --> 00:01:53.700]  他們卻軟弱了
[00:01:53.700 --> 00:01:55.400]  他們後退了
[00:01:55.400 --> 00:01:57.100]  他們冷淡了
[00:01:57.100 --> 00:01:58.600]  爲什麼呢
[00:01:58.600 --> 00:02:00.600]  只爲一個原因
[00:02:00.600 --> 00:02:06.200]  因爲他們並沒有看見神所應許的成就
[00:02:06.200 --> 00:02:10.100]  他們沒有看見上帝的作爲
[00:02:10.100 --> 00:02:14.400]  我們看見逼迫沒有讓他們灰心喪膽
[00:02:14.400 --> 00:02:19.200]  但是所盼望的遲延未得
[00:02:19.200 --> 00:02:22.100]  卻讓他們失去了信心
[00:02:22.100 --> 00:02:23.800]  這爲什麼希伯來書的作者
[00:02:23.800 --> 00:02:25.800]  你看整卷的希伯來書
[00:02:25.800 --> 00:02:28.500]  其實整個希伯來書
[00:02:28.500 --> 00:02:30.000]  就在講一件事情
[00:02:30.000 --> 00:02:33.100]  不斷地提醒每一個信徒說
[00:02:33.100 --> 00:02:36.800]  嘿 不可灰心要堅持到底
[00:02:36.800 --> 00:02:41.100]  跟你媽說不可灰心要堅持到底跟她說
[00:02:41.100 --> 00:02:46.100]  第二個問題是今天你是否也在這樣一種等候的情況當中
[00:02:46.100 --> 00:02:49.900]  你常常心中很焦慮呢
