
[00:00:00.000 --> 00:00:03.600]  這幾期我們都說到團體
[00:00:03.600 --> 00:00:06.600]  大家共行天路
[00:00:06.600 --> 00:00:09.600]  那麼在地的日子呢
[00:00:09.600 --> 00:00:12.300]  我們仍然是同主
[00:00:12.300 --> 00:00:17.100]  同你 同我 大家一起共行
[00:00:17.100 --> 00:00:19.500]  說到人生路
[00:00:19.500 --> 00:00:23.700]  我想起鄧麗君那首《漫步人生路》
[00:00:23.700 --> 00:00:26.000]  相信大家都很熟悉
[00:00:26.000 --> 00:00:28.400]  歌詞說
[00:00:28.400 --> 00:00:32.100]  路眾崎嶇 亦不怕受磨練
[00:00:32.100 --> 00:00:36.000]  願一生中苦痛快樂也體驗
[00:00:36.000 --> 00:00:40.300]  愉快悲哀 在身邊轉又轉
[00:00:40.300 --> 00:00:44.800]  風中賞雪 霧裡賞花 快樂迴旋
[00:00:44.800 --> 00:00:49.200]  毋用計較 快欣賞身邊美麗每一天
[00:00:49.200 --> 00:00:53.500]  還願確信美景良辰在腳邊
[00:00:53.500 --> 00:00:57.500]  願將歡笑聲蓋染苦痛那一面
[00:00:57.500 --> 00:01:00.100]  悲也好 喜也好
[00:01:00.100 --> 00:01:03.900]  每天找到新發現
[00:01:03.900 --> 00:01:06.800]  大家是不是很熟悉這首歌呢
[00:01:06.800 --> 00:01:10.300]  我們曉得在一生之中
[00:01:10.300 --> 00:01:13.900]  苦痛快樂都要體驗
[00:01:13.900 --> 00:01:19.300]  愉快悲哀 一直在我們身邊轉又轉
[00:01:19.300 --> 00:01:23.100]  我們是不是又真的懂得
[00:01:23.100 --> 00:01:29.400]  在風中賞雪 在霧裡賞花
[00:01:29.400 --> 00:01:34.500]  我們是不是悲也好喜也好
[00:01:34.500 --> 00:01:39.600]  每天都可以找到新發現
[00:01:39.600 --> 00:01:43.600]  《漫步人生路》的意境
[00:01:43.600 --> 00:01:48.200]  和蘇式的《定風波》有些相似
[00:01:48.200 --> 00:01:50.900]  有些異曲同工之妙
[00:01:50.900 --> 00:01:55.600]  蘇東波的這一決詞是這樣的
[00:01:55.600 --> 00:01:58.300]  莫聽川林打葉聲
[00:01:58.300 --> 00:02:01.400]  何妨任笑且隨行
[00:02:01.400 --> 00:02:04.200]  竹象芒孩輕聲罵
[00:02:04.200 --> 00:02:09.400]  誰怕 一梭煙雨任平生
[00:02:09.400 --> 00:02:12.200]  瞭俏春風吹走繩
[00:02:12.200 --> 00:02:16.500]  微冷 山頭邪照卻相認
[00:02:16.500 --> 00:02:19.100]  回首向來消失處
[00:02:19.100 --> 00:02:24.600]  歸去 也無風雨也無晴
[00:02:24.600 --> 00:02:26.700]  最後一句
[00:02:26.700 --> 00:02:30.200]  也無風雨也無晴
[00:02:30.200 --> 00:02:33.900]  很超脫的境界
[00:02:33.900 --> 00:02:36.500]  這決詞的意思是
[00:02:36.500 --> 00:02:44.000]  莫聽川透樹林打在樹葉上的風聲如聲
[00:02:44.000 --> 00:02:47.000]  我們不妨一邊從容趕路
[00:02:47.000 --> 00:02:50.200]  一邊長嘯又長歌
[00:02:50.200 --> 00:02:52.500]  手拿著竹象
[00:02:52.500 --> 00:02:54.800]  腳穿著草鞋
[00:02:54.800 --> 00:02:59.200]  步履輕鬆勝過騎馬
[00:02:59.200 --> 00:03:00.800]  有誰害怕
[00:03:00.800 --> 00:03:04.700]  任憑他風雨一世吹打
[00:03:04.700 --> 00:03:06.500]  披一件梭衣
[00:03:06.500 --> 00:03:09.400]  就可以頂得住
[00:03:09.400 --> 00:03:11.700]  生活的風風雨雨
[00:03:11.700 --> 00:03:13.400]  真是不少
[00:03:13.400 --> 00:03:16.000]  躲不過避不了
[00:03:16.000 --> 00:03:20.600]  乾脆就鼓足勇氣地迎上前去
[00:03:20.600 --> 00:03:22.700]  從容向前走
[00:03:22.700 --> 00:03:23.600]  樂觀的
[00:03:23.600 --> 00:03:27.600]  有講有笑又有唱
[00:03:27.600 --> 00:03:32.100]  風雨很快就會過去
[00:03:32.100 --> 00:03:34.100]  人或者可以做的
[00:03:34.100 --> 00:03:35.600]  就是這麼多
[00:03:35.600 --> 00:03:37.700]  人靠自己最叻
[00:03:37.700 --> 00:03:40.000]  或者就是這樣
[00:03:40.000 --> 00:03:42.700]  我甚至以為可以
[00:03:42.700 --> 00:03:47.100]  一梭煙雨任平生多麼瀟灑
[00:03:47.100 --> 00:03:50.400]  好像沒什麼可以影響到我
[00:03:50.400 --> 00:03:53.700]  也無風雨也無晴
[00:03:53.700 --> 00:03:55.300]  這種頓悟
[00:03:55.300 --> 00:03:59.400]  或者已經是人所可以做得到的
[00:03:59.400 --> 00:04:03.800]  最高境界
[00:04:03.800 --> 00:04:05.100]  丁照梅
[00:04:05.100 --> 00:04:06.600]  各位朋友
[00:04:06.600 --> 00:04:07.700]  你今天
[00:04:07.700 --> 00:04:11.000]  你現在是在什麼光景當中
[00:04:11.000 --> 00:04:14.300]  你依靠著什麼去過活
[00:04:14.300 --> 00:04:15.700]  在難處當中
