
[00:00:00.000 --> 00:00:02.760]  啊 弟兄姊妹 平安
[00:00:02.760 --> 00:00:06.480]  我好耐冇返過嚟 YA 呢度
[00:00:06.480 --> 00:00:09.400]  咁我見到一啲唔係熟悉嘅面孔啦
[00:00:09.400 --> 00:00:11.120]  咁所以我都自我介紹一下先
[00:00:11.120 --> 00:00:13.240]  我係 Yanis 啦
[00:00:13.240 --> 00:00:15.720]  我呢以前都係喺呢度聚會啦
[00:00:15.720 --> 00:00:17.400]  跟住呢我而家呢就喺
[00:00:17.400 --> 00:00:19.400]  長洲嘅建道聖學院呢
[00:00:19.400 --> 00:00:20.960]  讀緊道學碩士嘅課程
[00:00:20.960 --> 00:00:22.440]  而家呢就係二年班
[00:00:22.440 --> 00:00:24.160]  準備就升三年班啦
[00:00:24.160 --> 00:00:27.360]  咁都好開心今日能夠返到嚟 YA
[00:00:27.360 --> 00:00:29.840]  去同大家分享神嘅說話啦
[00:00:30.960 --> 00:00:32.800]  話說呢其實我都有諗過
[00:00:32.800 --> 00:00:34.640]  啊 我都好想返嚟嘅其實
[00:00:34.640 --> 00:00:36.000]  但係呢我自從
[00:00:36.000 --> 00:00:37.920]  即係轉咗實習教會之後呢
[00:00:37.920 --> 00:00:40.000]  其實我每個星期日啦
[00:00:40.000 --> 00:00:42.920]  我係要朝頭早五點半呢
[00:00:42.920 --> 00:00:44.080]  我就要起身
[00:00:44.080 --> 00:00:46.520]  因為呢我嘅實習教會呢喺大西北
[00:00:46.520 --> 00:00:47.600]  所以呢我要
[00:00:47.600 --> 00:00:50.000]  其實我呢個時候其實我差唔多要瞓覺
[00:00:50.000 --> 00:00:54.080]  希望 唉 聽日我能夠準時起身啦
[00:00:54.080 --> 00:00:55.000]  因為呢一
[00:00:55.000 --> 00:00:57.800]  miss 咗一班船呢我就會遲到㗎啦
[00:00:57.800 --> 00:00:59.480]  咁呢就會影響好大啦
[00:00:59.480 --> 00:01:00.520]  咁呢我就
[00:01:00.520 --> 00:01:01.720]  篤到又會嚟搵我啦
[00:01:01.720 --> 00:01:03.320]  所以 唉 都求住幫助
[00:01:03.320 --> 00:01:05.560]  聽日呢我能夠準時起身呢
[00:01:05.560 --> 00:01:07.360]  唔會錯過任何一班船
[00:01:07.360 --> 00:01:09.160]  能夠準時返到實習教會
[00:01:09.160 --> 00:01:11.360]  話說
[00:01:11.360 --> 00:01:13.240]  嗱 我都已經喺長洲呢
[00:01:13.240 --> 00:01:15.320]  生活咗五年嘅時間啦
[00:01:15.320 --> 00:01:17.640]  真係唔經唔覺已經五年嘅時間啦
[00:01:17.640 --> 00:01:19.000]  其實我發現呢
[00:01:19.000 --> 00:01:22.560]  我嘅生活節奏呢都比長洲去影響咗
[00:01:22.560 --> 00:01:24.200]  以前呢我喺市區呢
[00:01:24.200 --> 00:01:25.880]  我行步路都會快啲
[00:01:25.880 --> 00:01:28.160]  但係呢你返到去長洲嘅時候呢
[00:01:28.240 --> 00:01:30.520]  全部呢都係好慢嘅
[00:01:30.520 --> 00:01:32.080]  即係所有嘢都係好慢
[00:01:32.080 --> 00:01:34.440]  所以呢你行步路呢都會慢啲啦
[00:01:34.440 --> 00:01:36.280]  甚至呢你嘅生活節奏呢
[00:01:36.280 --> 00:01:38.560]  都因為咁樣呢而改變咗
[00:01:38.560 --> 00:01:40.880]  我學識咗呢咩叫慢活
[00:01:40.880 --> 00:01:43.120]  以前我真係一個好快嘅人啦
[00:01:43.120 --> 00:01:45.920]  甚至呢唔單止係生活節奏
[00:01:45.920 --> 00:01:49.440]  連呢我衣著嘅打扮呢都唔同咗喎
[00:01:49.440 --> 00:01:51.960]  其實呢以前呢我喺市區嘅時候呢
[00:01:51.960 --> 00:01:53.240]  我好鍾意呢就係
[00:01:53.240 --> 00:01:55.880]  拿件衫出嚟呢去襯下啦
[00:01:56.000 --> 00:01:58.560]  即係話我襯下究竟我呢件衫
[00:01:58.560 --> 00:02:00.400]  我著裙好看啲呀
[00:02:00.400 --> 00:02:01.920]  我著褲好看啲呀
[00:02:01.920 --> 00:02:04.480]  我戴耳環戴呢對好呀
[00:02:04.480 --> 00:02:06.240]  跟住呢就化個妝咁樣呢
[00:02:06.240 --> 00:02:07.600]  就會出門口
[00:02:07.600 --> 00:02:10.200]  咁呢個係我以前喺市區嘅日常嚟㗎
[00:02:10.200 --> 00:02:12.520]  但係呢你去到長洲嘅時候呢
[00:02:12.520 --> 00:02:14.720]  我呢就完全地呢
[00:02:14.720 --> 00:02:18.280]  嘅衣著就變咗做T恤牛仔褲
[00:02:18.280 --> 00:02:19.600]  點解呢
[00:02:19.600 --> 00:02:22.400]  就係因為呢當你成間嘅神學院呢
[00:02:22.400 --> 00:02:24.560]  個個都係著T恤牛仔褲
[00:02:24.560 --> 00:02:26.800]  攞住個布袋呢就會出門口㗎喇
[00:02:26.800 --> 00:02:29.960]  咁呢我有時候呢打開我自己個衣櫃啦
[00:02:29.960 --> 00:02:32.760]  跟住呢望到呢我以前買嗰啲手袋呢
[00:02:32.760 --> 00:02:35.240]  其實我一下呢真係好想
[00:02:35.240 --> 00:02:39.280]  攞住個手袋跟住呢就去上堂啦咁樣
[00:02:39.280 --> 00:02:40.520]  咁但係呢
[00:02:40.520 --> 00:02:43.280]  你諗下喎成間神學院
[00:02:43.280 --> 00:02:45.080]  都冇人咁樣做㗎喎
[00:02:45.080 --> 00:02:47.920]  所以呢你諗下個個都攞住個布袋上堂啦
[00:02:47.920 --> 00:02:50.720]  但係你一個呢就攞住個手得好優雅咁上堂
[00:02:50.720 --> 00:02:52.640]  成件事呢就好奇怪
[00:02:52.640 --> 00:02:53.880]  甚至呢
[00:02:54.000 --> 00:02:56.160]  你只要因為我哋神學院呢
[00:02:56.160 --> 00:02:57.800]  通常啲同學係點樣嘅裝扮呢
[00:02:57.800 --> 00:02:59.480]  就係T恤牛仔褲啦
[00:02:59.480 --> 00:03:01.000]  跟住呢就攞住個布袋啦
[00:03:01.000 --> 00:03:02.640]  掃顏啦跟住就走㗎喇
[00:03:02.640 --> 00:03:05.400]  咁呢我試過呢有一次呢就喺神學院啦
[00:03:05.400 --> 00:03:07.360]  我化咗妝咁樣啦化咗妝啦
[00:03:07.360 --> 00:03:09.960]  即係跟住呢就著靚咗少少咁樣啦
[00:03:09.960 --> 00:03:11.960]  跟住一行出房門
[00:03:11.960 --> 00:03:13.760]  跟住我啲同學就問我
[00:03:13.760 --> 00:03:14.920]  嘩Yannis
[00:03:14.920 --> 00:03:16.600]  你今日係咪去港道呀
[00:03:16.600 --> 00:03:20.240]  因為呢只有港道我哋去上港道法
[00:03:20.240 --> 00:03:21.360]  即係上堂嘅時候呢
[00:03:21.360 --> 00:03:23.320]  因為要執返個人啦
[00:03:23.320 --> 00:03:25.040]  咁先會得返啲硬意口鼻
[00:03:25.040 --> 00:03:27.160]  跟住我就覺得好奇怪
[00:03:27.160 --> 00:03:29.160]  所以呢自此呢我都冇再
[00:03:29.160 --> 00:03:31.160]  化妝啦各樣嘢啦
[00:03:31.160 --> 00:03:32.760]  而家出門口呢
[00:03:32.760 --> 00:03:33.880]  T恤牛仔褲
[00:03:33.880 --> 00:03:35.200]  拎住個布袋
[00:03:35.200 --> 00:03:36.240]  咁就算啦
[00:03:36.240 --> 00:03:37.360]  因為呢
[00:03:37.360 --> 00:03:39.840]  如果你唔係咁樣裝扮嘅話呢
[00:03:39.840 --> 00:03:42.800]  即係你係你係一個攞住個手袋呀去行嘅話呢
[00:03:42.800 --> 00:03:44.800]  成件事呢就會覺得好奇怪啦
[00:03:44.800 --> 00:03:45.840]  同埋好得呀
