
[00:00:00.000 --> 00:00:04.860]  各位,我們今天看一篇詩篇,好嗎?
[00:00:04.860 --> 00:00:10.200]  詩篇第122篇,如果有聖經的話,跟我一起看這篇詩篇
[00:00:10.200 --> 00:00:12.600]  我們去到一個地方,是耶和華
[00:00:12.600 --> 00:00:14.400]  我們先看經文,好嗎?
[00:00:14.400 --> 00:00:17.100]  第122篇
[00:00:17.100 --> 00:00:20.260]  大衛上行之師,我起來
[00:00:20.260 --> 00:00:22.460]  因為人對我說
[00:00:22.460 --> 00:00:24.900]  我們到耶和華的殿去
[00:00:24.900 --> 00:00:29.100]  耶和華,我們的腳站在你的門內
[00:00:29.100 --> 00:00:33.840]  耶路撒冷被建造,如同連結整齊的一座城
[00:00:33.840 --> 00:00:37.040]  眾之派就是耶和華之派,上那裡去
[00:00:37.040 --> 00:00:42.440]  按以色列的法度,傳揚耶和華的名
[00:00:42.440 --> 00:00:47.640]  透明在那裡設立審判的寶座,就是大衛家的寶座
[00:00:47.640 --> 00:00:50.500]  你們要為耶路撒冷求平安
[00:00:50.500 --> 00:00:53.200]  願愛你的人興旺
[00:00:53.200 --> 00:00:55.940]  願你城中有平安
[00:00:55.940 --> 00:00:58.840]  願你宮內得平成
[00:00:58.840 --> 00:01:01.740]  為我弟兄和同伴的緣故,我要說
[00:01:01.740 --> 00:01:03.100]  願你平安
[00:01:03.100 --> 00:01:08.340]  為耶和華我們上帝建的緣故,我要為你求福
[00:01:08.340 --> 00:01:11.800]  這篇詩篇,是一篇上行之師,是嗎?
[00:01:11.800 --> 00:01:13.700]  大衛上行之師
[00:01:13.700 --> 00:01:16.100]  我們講過很多次了,上行之師是什麼?
[00:01:16.100 --> 00:01:20.240]  是那些流散在世界各地不同地方神的子民
[00:01:20.240 --> 00:01:23.340]  他們去到耶路撒冷守節的時候
[00:01:23.340 --> 00:01:27.240]  中途,或者他們上到耶路撒冷京都的時候
[00:01:27.240 --> 00:01:30.140]  他們會唱的這些詩歌
[00:01:30.140 --> 00:01:34.340]  這些詩歌都是讚美詩,或者可以叫做
[00:01:34.340 --> 00:01:37.240]  就是去表達
[00:01:37.240 --> 00:01:43.640]  詩人對耶路撒冷,或者對敬拜上帝那種渴求
[00:01:43.640 --> 00:01:45.400]  那種渴望
[00:01:45.400 --> 00:01:50.360]  我不知道今天你因什麼緣故,或者因什麼心情進來
[00:01:50.360 --> 00:01:52.260]  去敬拜
[00:01:52.260 --> 00:01:56.060]  這些詩篇告訴我們,詩人有一種心情
[00:01:56.060 --> 00:01:57.540]  有一種渴望
[00:01:57.540 --> 00:02:00.040]  有一種渴求
[00:02:00.040 --> 00:02:02.340]  他們來到去敬拜
[00:02:02.340 --> 00:02:04.340]  在這裡很簡單有兩點
[00:02:04.340 --> 00:02:09.540]  第一,他說原來在這個敬拜的聚集裡面
[00:02:09.540 --> 00:02:12.140]  是有那種的喜樂
[00:02:12.140 --> 00:02:14.440]  the joy of worship
[00:02:14.440 --> 00:02:16.240]  worship在聖經裡面
[00:02:16.240 --> 00:02:18.340]  由始至終都是講一種
[00:02:18.340 --> 00:02:23.640]  是corporate,集體,一起走在一起,一起坐在一起
[00:02:23.640 --> 00:02:27.040]  一起走在一起,聚集的gathering
[00:02:27.040 --> 00:02:32.740]  是一種聚集式的,群眾式的一種活動
[00:02:32.740 --> 00:02:36.240]  他就見到一種這樣的喜樂
[00:02:36.240 --> 00:02:38.240]  一種這樣的渴求
[00:02:38.240 --> 00:02:40.240]  希望能夠去到耶路撒冷
[00:02:40.240 --> 00:02:44.840]  和其他的同伴,和其他人可以聚集在一起
[00:02:44.840 --> 00:02:47.840]  這裡講到上行之詩
[00:02:47.840 --> 00:02:51.040]  在法書裡面告訴神的子民
[00:02:51.040 --> 00:02:55.540]  他們一年三次起碼就要在他們流散的地方
