
[00:00:00.000 --> 00:00:04.000]  各位朋友,弟兄姊妹,早安,主佑便平安
[00:00:04.000 --> 00:00:07.000]  讓我們先一起低頭禱告
[00:00:07.000 --> 00:00:13.000]  慈悲人,我們天父上帝,我們獻上衷心的感謝
[00:00:13.000 --> 00:00:16.000]  很感謝你讓我們今天仍然有生命氣息
[00:00:16.000 --> 00:00:19.000]  讓我們能夠在清早的時候回到教會當中
[00:00:19.000 --> 00:00:24.000]  透過詩歌一起去勾歌讚美你
[00:00:25.000 --> 00:00:30.000]  讓我們看到你留下寶貴的說話,讓真理的靈幫助我們去明白真道
[00:00:30.000 --> 00:00:36.000]  以致我們能夠明記你恩典,知道我們所信所傳揚的
[00:00:36.000 --> 00:00:42.000]  是一位願意為我們的罪釘死十字架上的耶穌基督
[00:00:42.000 --> 00:00:47.000]  也有著神你自己大能使基督耶穌從死裡復活
[00:00:47.000 --> 00:00:50.000]  讓我們有永恆生命的盼望
[00:00:50.000 --> 00:00:53.000]  願意今天早上你就在我們中間
[00:00:54.000 --> 00:00:57.000]  有靈幫助我們讓講的、聽的能夠同德造就
[00:00:57.000 --> 00:01:00.000]  感謝讚美你,聽他同心合意祈禱
[00:01:00.000 --> 00:01:04.000]  奉靠基督耶穌的名字禱告,阿們
[00:01:04.000 --> 00:01:09.000]  很感謝神,我早兩天有機會打給一位家長
[00:01:09.000 --> 00:01:14.000]  問他可不可以在今天這個復活節的崇拜裡面
[00:01:14.000 --> 00:01:19.000]  分享一次他來到家長班所分享的一些點滴
[00:01:20.000 --> 00:01:24.000]  他說很好啊,不過你放心,我不會說你的名字
[00:01:24.000 --> 00:01:30.000]  早兩星期我們安排了家長幫他輕鬆一下心情的活動
[00:01:30.000 --> 00:01:32.000]  一起去畫水墨畫
[00:01:32.000 --> 00:01:35.000]  可能是因為復活節的緣故
[00:01:35.000 --> 00:01:38.000]  這個家長一邊畫畫一邊畫畫的時候
[00:01:38.000 --> 00:01:41.000]  他主動分享了一件事
[00:01:41.000 --> 00:01:44.000]  說他的兒子今年讀三年班
[00:01:44.000 --> 00:01:48.000]  有一份功課問他的兒子
[00:01:49.000 --> 00:01:52.000]  你覺得耶穌有沒有復活?
[00:01:52.000 --> 00:01:56.000]  你覺得耶穌有沒有復活?
[00:01:56.000 --> 00:02:00.000]  這個小朋友就很坦率地寫
[00:02:00.000 --> 00:02:03.000]  不覺得,沒有啊
[00:02:03.000 --> 00:02:08.000]  原因就是這麼久都沒有見人,當然沒有
[00:02:08.000 --> 00:02:14.000]  對了,到今天我們坐在同一班的弟兄姊妹
[00:02:14.000 --> 00:02:17.000]  我們相信大部分都相信耶穌
[00:02:18.000 --> 00:02:21.000]  我們都沒有見過真心的復活的主
[00:02:21.000 --> 00:02:25.000]  如果今天的題目問你和我
[00:02:25.000 --> 00:02:27.000]  如果耶穌真的沒有復活的時候
[00:02:27.000 --> 00:02:30.000]  對我們的信仰有什麼衝擊呢?
[00:02:30.000 --> 00:02:34.000]  我相信第一個最大的衝擊就是
[00:02:34.000 --> 00:02:38.000]  神所賜給我的恩典就枉然了
[00:02:38.000 --> 00:02:40.000]  什麼叫做恩典?
[00:02:40.000 --> 00:02:43.000]  我們試看看第八至第十節
[00:02:43.000 --> 00:02:45.000]  聖經保羅這樣說
[00:02:46.000 --> 00:02:48.000]  他最後也顯給我看
[00:02:48.000 --> 00:02:52.000]  我如同未到產期而生的人一般
[00:02:52.000 --> 00:02:56.000]  第九節,我原是使徒中最少的
[00:02:56.000 --> 00:02:58.000]  不配稱為使徒
[00:02:58.000 --> 00:03:02.000]  因為我曾迫害過神的教會
[00:03:02.000 --> 00:03:05.000]  第十節,然而由於神的恩典
[00:03:05.000 --> 00:03:07.000]  我才成了今日的我
[00:03:07.000 --> 00:03:10.000]  並且,祂所賜給我的恩典
[00:03:10.000 --> 00:03:12.000]  不是圖言的
[00:03:13.000 --> 00:03:16.000]  我被眾司徒格外勞苦
[00:03:16.000 --> 00:03:18.000]  其實不是我
[00:03:18.000 --> 00:03:22.000]  而是神的恩典與我同在
[00:03:22.000 --> 00:03:24.000]  短短三節聖經
[00:03:24.000 --> 00:03:26.000]  保羅就說了給我們聽
[00:03:26.000 --> 00:03:28.000]  他的生命的見證
[00:03:28.000 --> 00:03:30.000]  在第八節
[00:03:30.000 --> 00:03:32.000]  開始的時候
[00:03:32.000 --> 00:03:35.000]  他說最後也顯給我看
[00:03:35.000 --> 00:03:38.000]  這個「我」呢
[00:03:38.000 --> 00:03:41.000]  「我看」是指保羅他自己
[00:03:42.000 --> 00:03:43.000]  保羅自己的名字
[00:03:43.000 --> 00:03:47.000]  原本是有小謙卑的意思
[00:03:47.000 --> 00:03:49.000]  後來他改了這個名字
[00:03:49.000 --> 00:03:51.000]  是有一個羅馬的名字
[00:03:51.000 --> 00:03:53.000]  有希臘背景的
[00:03:53.000 --> 00:03:55.000]  保羅說這段話
[00:03:55.000 --> 00:03:57.000]  其實是講述
[00:03:57.000 --> 00:03:59.000]  在主耶穌死而復活之後
[00:03:59.000 --> 00:04:01.000]  大概相隔五年之後
[00:04:01.000 --> 00:04:03.000]  有一天
[00:04:03.000 --> 00:04:05.000]  我相信保羅萬萬也想不到
[00:04:05.000 --> 00:04:09.000]  竟然突然有聲音向他說話
[00:04:12.000 --> 00:04:14.000]  在《仕途行傳》
[00:04:14.000 --> 00:04:16.000]  路加醫生
[00:04:16.000 --> 00:04:18.000]  很細心地去考察
[00:04:18.000 --> 00:04:20.000]  記錄的《仕途行傳》
[00:04:20.000 --> 00:04:22.000]  聖經第九章
[00:04:22.000 --> 00:04:24.000]  一至六節說
[00:04:24.000 --> 00:04:26.000]  「素羅不斷用威嚇
[00:04:26.000 --> 00:04:28.000]  空曠的口氣
[00:04:28.000 --> 00:04:30.000]  向主的門徒說話」
[00:04:30.000 --> 00:04:32.000]  他又去見大祭司
[00:04:32.000 --> 00:04:34.000]  做什麼呢
[00:04:34.000 --> 00:04:36.000]  因為他去拿一封信
[00:04:36.000 --> 00:04:38.000]  希望可以去到
[00:04:38.000 --> 00:04:40.000]  大馬士革不同的會堂裡
[00:04:41.000 --> 00:04:42.000]  找一些信耶穌的人
[00:04:42.000 --> 00:04:44.000]  將他捆綁
[00:04:44.000 --> 00:04:46.000]  捉他去坐牢
[00:04:46.000 --> 00:04:48.000]  無論你是男女
[00:04:48.000 --> 00:04:50.000]  都不能夠例外
[00:04:50.000 --> 00:04:52.000]  在途中
[00:04:52.000 --> 00:04:54.000]  他去到大馬士革的時候
[00:04:54.000 --> 00:04:56.000]  忽然有一道強光掉下來
[00:04:56.000 --> 00:04:59.000]  保羅便面服在地上
[00:04:59.000 --> 00:05:01.000]  聽到有聲音對他說
[00:05:01.000 --> 00:05:03.000]  「素羅 素羅
[00:05:03.000 --> 00:05:05.000]  你為什麼迫害我啊」
[00:05:05.000 --> 00:05:07.000]  當時素羅很疑惑
[00:05:07.000 --> 00:05:10.000]  「主耶 你是誰啊」
[00:05:11.000 --> 00:05:13.000]  素羅親口對他說
[00:05:13.000 --> 00:05:16.000]  「我就是你迫害的耶穌」
[00:05:16.000 --> 00:05:21.000]  保羅便講述回以前
[00:05:21.000 --> 00:05:24.000]  如何迫害教會
