
[00:00:00.000 --> 00:00:02.560]  我們來到舊約網上的第十五講
[00:00:02.560 --> 00:00:05.500]  這次我們去到阿布拉罕一個信心的旅程
[00:00:05.500 --> 00:00:08.560]  Quest,一個探索,最後的一段
[00:00:08.560 --> 00:00:10.960]  就是蒼世紀第二十二章
[00:00:10.960 --> 00:00:12.600]  我們先來看經文
[00:00:12.600 --> 00:00:15.800]  「這些事以後,臣試驗阿布拉罕對他說
[00:00:15.800 --> 00:00:18.460]  阿布拉罕,他回答,我在這裡
[00:00:18.460 --> 00:00:22.460]  臣說,帶著你的兒子,就是你所愛的獨生子爾薩
[00:00:22.460 --> 00:00:27.960]  到摩利亞地區,在我所指示你的一座山上,把他獻為凡濟
[00:00:27.960 --> 00:00:30.460]  阿布拉罕清早起來,預備好了爐
[00:00:30.460 --> 00:00:33.460]  帶著兩個銅箔和自己的兒子爾薩
[00:00:33.460 --> 00:00:35.960]  入下好了獻凡濟用的柴
[00:00:35.960 --> 00:00:39.460]  就起程到臣指示他的地方去
[00:00:39.460 --> 00:00:44.960]  第三日,阿布拉罕舉目觀看遠遠地看見了那地方
[00:00:44.960 --> 00:00:47.460]  阿布拉罕對他的銅箔說
[00:00:47.460 --> 00:00:49.460]  你們和爐留在這裡
[00:00:49.460 --> 00:00:51.960]  我與孩子要到那邊去敬拜
[00:00:51.960 --> 00:00:53.960]  然後回到你們這裡來
[00:00:53.960 --> 00:00:58.460]  阿布拉罕把獻凡濟的柴放在他兒子爾薩的身上
[00:00:58.460 --> 00:01:01.460]  自己手裡拿著火與刀
[00:01:01.460 --> 00:01:03.960]  他們二人一同向前行的時候
[00:01:03.960 --> 00:01:05.960]  爾薩問他父親阿布拉罕說
[00:01:05.960 --> 00:01:06.960]  爸爸
[00:01:06.960 --> 00:01:07.960]  阿布拉罕回答
[00:01:07.960 --> 00:01:09.460]  我兒有什麼事
[00:01:09.460 --> 00:01:09.960]  爾薩說
[00:01:09.960 --> 00:01:12.460]  你看,火和柴都有了
[00:01:12.460 --> 00:01:15.960]  可是獻凡濟用的羊羔在那裡呢?
[00:01:15.960 --> 00:01:16.960]  阿布拉罕回答說
[00:01:16.960 --> 00:01:17.960]  我兒
[00:01:17.960 --> 00:01:22.460]  臣自己必親自預備獻凡濟用的羊羔
[00:01:22.460 --> 00:01:24.960]  於是二人繼續一起前行
[00:01:24.960 --> 00:01:27.960]  他們到了臣指示他的地方
[00:01:27.960 --> 00:01:30.960]  阿布拉罕就在那裡築了一座祭壇
[00:01:30.960 --> 00:01:33.960]  擺好了柴,捆綁了自己的兒子爾薩
[00:01:33.960 --> 00:01:36.960]  又把他放在祭壇的柴上
[00:01:36.960 --> 00:01:40.960]  阿布拉罕伸手拿刀要宰殺自己的兒子的時候
[00:01:40.960 --> 00:01:43.960]  耶和華的使者從天上呼叫阿布拉罕說
[00:01:43.960 --> 00:01:44.960]  阿布拉罕,阿布拉罕
[00:01:44.960 --> 00:01:45.960]  阿布拉罕回答說
[00:01:45.960 --> 00:01:46.960]  我在這裡
[00:01:46.960 --> 00:01:47.960]  天使說
[00:01:47.960 --> 00:01:49.960]  不可在這孩子身上下手
[00:01:49.960 --> 00:01:51.960]  一點也不可害他
[00:01:51.960 --> 00:01:54.460]  現在我知道你是敬畏神的了
[00:01:54.460 --> 00:01:56.460]  因為你沒有留下你的兒子
[00:01:56.460 --> 00:01:58.460]  你的獨生子不及我
[00:01:58.460 --> 00:02:00.460]  阿布拉罕舉目觀看
[00:02:00.460 --> 00:02:02.460]  看見在後面有一隻公綿羊
