
[00:00:00.000 --> 00:00:03.640]  今天我們講到未來的保證
[00:00:03.640 --> 00:00:06.340]  其實講到未來我們真的不知道
[00:00:06.340 --> 00:00:08.340]  有沒有人知道未來?
[00:00:08.340 --> 00:00:10.340]  有人說知道就發達吧
[00:00:10.340 --> 00:00:12.340]  沒有人知道未來
[00:00:12.340 --> 00:00:14.340]  不過我們知道
[00:00:14.340 --> 00:00:16.340]  誰掌管未來 大家都知道
[00:00:16.340 --> 00:00:18.340]  就是神
[00:00:18.340 --> 00:00:21.700]  你知不知道 神不是活在時間中間
[00:00:21.700 --> 00:00:23.700]  神是活在時間以外
[00:00:23.700 --> 00:00:31.320]  未有創世以前 未有時間之先 已經有神
[00:00:31.320 --> 00:00:35.760]  所以神是過去 現在 將來都在
[00:00:35.760 --> 00:00:39.060]  所以在神裏面是沒有過去式的
[00:00:39.060 --> 00:00:41.060]  是現在的
[00:00:41.060 --> 00:00:43.060]  所以我們的神能夠保證將來
[00:00:43.060 --> 00:00:45.060]  沒有人可以保證將來
[00:00:45.060 --> 00:00:47.060]  很多人很想知道將來發生什麼事
[00:00:47.060 --> 00:00:49.060]  所以很多人就去算命
[00:00:49.060 --> 00:00:51.060]  想知道有什麼事發生
[00:00:51.060 --> 00:00:54.020]  但我們知道沒有人可以保證將來
[00:00:54.020 --> 00:00:56.020]  只有神
[00:00:56.020 --> 00:00:58.020]  所以我們將我們的信心放在神那裏
[00:00:58.020 --> 00:01:00.020]  那將來就不用怕了
[00:01:00.020 --> 00:01:02.020]  是不是 多好啊
[00:01:02.020 --> 00:01:04.020]  這是我們今天的重點
[00:01:04.020 --> 00:01:06.020]  就是我們敬拜神
[00:01:06.020 --> 00:01:08.020]  將我們的前景放在神的手上
[00:01:08.020 --> 00:01:12.020]  我們讀一段經文
[00:01:12.020 --> 00:01:15.020]  在約書亞記第一章五至九節
[00:01:15.020 --> 00:01:19.020]  我讀給大家聽
[00:01:19.020 --> 00:01:23.020]  你一生的日子 必沒有人能在你面前站立得住
[00:01:23.020 --> 00:01:25.020]  我怎樣與摩西同在
[00:01:25.020 --> 00:01:27.020]  也必照樣與你同在
