
[00:00:00.000 --> 00:00:04.400]  很感恩今天我們又可以一齊去敬拜主
[00:00:04.400 --> 00:00:08.600]  今天又進入新一個月了
[00:00:08.600 --> 00:00:10.000]  四月
[00:00:10.000 --> 00:00:16.600]  不知你上個月或之前的日子有沒有經歷神
[00:00:16.600 --> 00:00:20.200]  今天會用《使徒行傳》一段經文
[00:00:20.200 --> 00:00:22.000]  第三章一到十節
[00:00:22.000 --> 00:00:25.400]  去講一下一個瘸腿的人
[00:00:25.400 --> 00:00:27.000]  他怎樣經歷神
[00:00:27.000 --> 00:00:30.000]  對於我們今天我們又怎樣經歷神
[00:00:30.000 --> 00:00:32.000]  怎樣經歷神的大能
[00:00:32.000 --> 00:00:34.200]  怎樣經歷神的同在呢
[00:00:34.200 --> 00:00:35.800]  我們一齊祈禱
[00:00:35.800 --> 00:00:42.200]  我們在神面前安靜禱告
[00:00:42.200 --> 00:00:43.400]  慈悲天父上帝
[00:00:43.400 --> 00:00:46.000]  我們再一次來祢面前
[00:00:46.000 --> 00:00:48.800]  去俯伏 去仰望祢
[00:00:48.800 --> 00:00:56.000]  因為祢是獨一 全智 全能 尊榮的神
[00:00:56.000 --> 00:00:59.800]  我們在祢面前自覺渺小 卑微
[00:00:59.800 --> 00:01:02.200]  但我們正因為這樣
[00:01:02.200 --> 00:01:05.800]  我們更加體會神祢多麼看重我們
[00:01:05.800 --> 00:01:09.400]  祢竟然賜給我們這些出於塵土的人
[00:01:09.400 --> 00:01:11.000]  有祢的形象
[00:01:11.000 --> 00:01:14.000]  我們不單止蒙祢創造
[00:01:14.000 --> 00:01:16.000]  更加蒙祢救贖
[00:01:16.000 --> 00:01:18.800]  祢今天帶領我們成性的過程
[00:01:18.800 --> 00:01:22.200]  在生活 在各樣的事情上
[00:01:22.200 --> 00:01:26.000]  特別在我們覺得很重要的事情上
[00:01:26.000 --> 00:01:28.400]  都經歷祢的保守
[00:01:28.400 --> 00:01:31.200]  當我們回想過去的日子
[00:01:31.200 --> 00:01:33.200]  有些我們真的懂得感恩
[00:01:33.200 --> 00:01:35.200]  有些我們還未明白
[00:01:35.200 --> 00:01:38.000]  但求祢給我們那份眼光
[00:01:38.000 --> 00:01:39.600]  那份屬靈的眼光
[00:01:39.600 --> 00:01:44.200]  看到祢怎樣帶領我們每一步 每一天
[00:01:44.200 --> 00:01:47.600]  求祢帶領 指引我們的心
[00:01:47.600 --> 00:01:52.600]  願祢潔淨我們心裡面種種的不潔
[00:01:52.600 --> 00:01:55.400]  種種的得罪理
[00:01:55.400 --> 00:01:58.000]  求祢使我們和祢毫無阻隔
[00:01:58.000 --> 00:02:04.400]  多謝你聽我們祈禱 奉耶穌的聖名
[00:02:04.400 --> 00:02:06.400]  最近我聽到有一個朋友
[00:02:06.400 --> 00:02:11.200]  一個年輕人 不是L2的那些
[00:02:11.200 --> 00:02:16.400]  他早前進了醫院 整整兩個月
[00:02:16.400 --> 00:02:20.200]  他之前好深一個感覺
[00:02:20.200 --> 00:02:23.600]  他跟我和一些朋友分享
[00:02:23.600 --> 00:02:26.400]  他以前覺得家人不愛他
[00:02:26.400 --> 00:02:29.000]  即是不太關心他
[00:02:29.000 --> 00:02:32.200]  但直到他住了醫院有病
[00:02:32.200 --> 00:02:34.400]  即是要休養 住醫院
[00:02:34.400 --> 00:02:36.000]  那段日子裡面
[00:02:36.000 --> 00:02:39.200]  他以前覺得不愛他的家人
[00:02:39.200 --> 00:02:43.200]  突然發覺原來他們是很愛自己
[00:02:43.200 --> 00:02:47.400]  他突然間醒悟 為何以前感覺不到
[00:02:47.400 --> 00:02:49.600]  好奇
[00:02:49.600 --> 00:02:54.000]  我不知道頂姐妹你自己有沒有類似的經歷
[00:02:54.000 --> 00:03:00.000]  我自己在面對殘障 失明 再培訓
[00:03:00.000 --> 00:03:04.000]  即是要重新定位 要找一個新的工作過程
[00:03:04.000 --> 00:03:08.600]  我都看到神是怎樣帶領祝福我的
[00:03:08.600 --> 00:03:12.600]  我記得有一個特別的聚會
[00:03:12.600 --> 00:03:14.400]  就是當醫生說
[00:03:14.400 --> 00:03:16.400]  其中一個是何志平
[00:03:16.400 --> 00:03:19.200]  說我眼睛無法治療
[00:03:19.200 --> 00:03:22.600]  頂姐妹很關心我
[00:03:22.600 --> 00:03:27.600]  當你平時自己走得沒什麼困難的時候
[00:03:27.600 --> 00:03:32.000]  突然間你發覺身邊很多人會關心你
