
[00:00:00.000 --> 00:00:04.000]  我們今天會講《路加方案》第十章
[00:00:04.000 --> 00:00:07.000]  請大家揭開經文
[00:00:07.000 --> 00:00:11.000]  《路加方案》第十章
[00:00:11.000 --> 00:00:14.000]  就是上星期楊牧師跟我們說
[00:00:14.000 --> 00:00:17.000]  好撒瑪利亞人的比喻
[00:00:17.000 --> 00:00:19.000]  跟著的下文
[00:00:19.000 --> 00:00:27.000]  我們手上有聖經的先打開聖經
[00:00:27.000 --> 00:00:28.000]  我們一同讀
[00:00:28.000 --> 00:00:31.000]  我請弟兄讀雙節
[00:00:31.000 --> 00:00:33.000]  姐妹讀單節
[00:00:33.000 --> 00:00:36.000]  弟兄們請先讀
[00:00:36.000 --> 00:00:37.000]  準備起
[00:00:37.000 --> 00:00:39.000]  他們繼續前行
[00:00:39.000 --> 00:00:42.000]  耶穌進了一個村莊
[00:00:42.000 --> 00:00:44.000]  有一個女人名叫瑪大
[00:00:44.000 --> 00:00:47.000]  接她到自己家裡
[00:00:47.000 --> 00:00:57.000]  瑪大事後的事多
[00:00:57.000 --> 00:00:58.000]  心裡忙亂
[00:00:58.000 --> 00:01:00.000]  進前來說
[00:01:00.000 --> 00:01:01.000]  主啊
[00:01:01.000 --> 00:01:04.000]  我的妹妹留下我一個人侍候
[00:01:04.000 --> 00:01:06.000]  祢不在意嗎
[00:01:06.000 --> 00:01:09.000]  請吩咐她來幫助我
[00:01:09.000 --> 00:01:19.000]  但不可少的只有一件
[00:01:19.000 --> 00:01:23.000]  瑪利亞已經選擇了那上好的福分
[00:01:23.000 --> 00:01:26.000]  是沒有人能從她奪去的
[00:01:27.000 --> 00:01:30.000]  就這樣看38節到42節
[00:01:30.000 --> 00:01:32.000]  感覺如何
[00:01:32.000 --> 00:01:34.000]  感覺就是
[00:01:34.000 --> 00:01:38.000]  耶穌以瑪大跟瑪利亞來做比較
[00:01:38.000 --> 00:01:40.000]  感覺會不會是
[00:01:40.000 --> 00:01:42.000]  工作侍奉雖然好
[00:01:42.000 --> 00:01:47.000]  不過不及在主耶穌面前聽到更好
[00:01:47.000 --> 00:01:51.000]  感覺是不是耶穌愛瑪利亞
[00:01:51.000 --> 00:01:54.000]  比愛瑪大更多
[00:01:55.000 --> 00:01:57.000]  有沒有這樣的感覺
[00:01:57.000 --> 00:01:59.000]  好像有
[00:01:59.000 --> 00:02:01.000]  但想深一層
[00:02:01.000 --> 00:02:05.000]  主耶穌是否在責備瑪大
[00:02:05.000 --> 00:02:07.000]  是不是呢
[00:02:07.000 --> 00:02:09.000]  我們看多一點
[00:02:09.000 --> 00:02:11.000]  瑪大那時在服侍多少人
[00:02:11.000 --> 00:02:14.000]  路加福音第十章第38節一開始說
[00:02:14.000 --> 00:02:16.000]  他們繼續前行
[00:02:16.000 --> 00:02:18.000]  他們是指哪些人
[00:02:18.000 --> 00:02:20.000]  我們猜了
[00:02:20.000 --> 00:02:23.000]  這裡沒有說他們有多少人
[00:02:23.000 --> 00:02:25.000]  再看前面
[00:02:25.000 --> 00:02:28.000]  前面第十章頭的時候
[00:02:28.000 --> 00:02:30.000]  就說到
[00:02:30.000 --> 00:02:32.000]  72個人
[00:02:32.000 --> 00:02:34.000]  因為耶穌趁72個人
[00:02:34.000 --> 00:02:37.000]  出去兩個一起的傳道
[00:02:37.000 --> 00:02:40.000]  跟著他們回來向耶穌報告
[00:02:40.000 --> 00:02:44.000]  跟著律法師來試探耶穌
[00:02:44.000 --> 00:02:46.000]  有可能
[00:02:46.000 --> 00:02:49.000]  我當72個人包含12個使徒
[00:02:49.000 --> 00:02:53.000]  有可能瑪大時期的72個加上耶穌
[00:02:53.000 --> 00:02:55.000]  73個人最少
[00:02:55.000 --> 00:02:57.000]  我猜沒有那麼多吧
[00:02:57.000 --> 00:03:00.000]  一間房子很難裝得下73個人
[00:03:00.000 --> 00:03:02.000]  你裝不裝得下
[00:03:02.000 --> 00:03:04.000]  我想就算那地方再大化
[00:03:04.000 --> 00:03:06.000]  也很難裝得下70多個人
[00:03:06.000 --> 00:03:08.000]  會不會少一點
[00:03:08.000 --> 00:03:11.000]  我們再看路加福音前面
[00:03:11.000 --> 00:03:14.000]  路加福音第八章一到三節
[00:03:14.000 --> 00:03:17.000]  路加福音第八章一到三節這樣說
[00:03:17.000 --> 00:03:18.000]  過了不久
[00:03:18.000 --> 00:03:21.000]  耶穌周遊各城各鄉傳道
[00:03:21.000 --> 00:03:23.000]  宣傳神國的福音
[00:03:23.000 --> 00:03:26.000]  和他同去的有12個使徒
[00:03:26.000 --> 00:03:30.000]  還有曾被邪靈所附被疾病所纏
[00:03:30.000 --> 00:03:33.000]  已經治好的幾個婦女
[00:03:33.000 --> 00:03:37.000]  路加福音第八章一到三節完全說
[00:03:37.000 --> 00:03:39.000]  跟隨主耶穌
[00:03:39.000 --> 00:03:41.000]  跟著他周遊列國的人
[00:03:41.000 --> 00:03:43.000]  即使不是主耶穌去到哪裡
[00:03:43.000 --> 00:03:44.000]  圍著他那群人
[00:03:44.000 --> 00:03:45.000]  不是跟著他走的
[00:03:45.000 --> 00:03:47.000]  12個使徒和一些婦女
[00:03:47.000 --> 00:03:49.000]  有名的婦女
[00:03:49.000 --> 00:03:51.000]  即是說出名字的
[00:03:51.000 --> 00:03:52.000]  包括哪些呢
[00:03:52.000 --> 00:03:54.000]  莫大拉的瑪利亞
[00:03:54.000 --> 00:03:55.000]  約阿娜
[00:03:55.000 --> 00:03:57.000]  蘇薩娜
[00:03:57.000 --> 00:04:00.000]  及好奢別的婦女
[00:04:00.000 --> 00:04:02.000]  這群人是跟著主耶穌
[00:04:02.000 --> 00:04:05.000]  跟著12個使徒一起走
[00:04:05.000 --> 00:04:08.000]  即是說馬大要服侍的
[00:04:08.000 --> 00:04:10.000]  有可能就是耶穌
[00:04:10.000 --> 00:04:12.000]  加上12個使徒
[00:04:12.000 --> 00:04:14.000]  加上有名稱的3個婦女
[00:04:14.000 --> 00:04:17.000]  及好奢別的婦女
[00:04:17.000 --> 00:04:19.000]  數不數多少人
[00:04:19.000 --> 00:04:21.000]  最少16個人
[00:04:21.000 --> 00:04:23.000]  可能差不多20個人
[00:04:23.000 --> 00:04:27.000]  你想像下有20個大人
[00:04:27.000 --> 00:04:29.000]  來到你自己家
[00:04:29.000 --> 00:04:32.000]  你煮一餐飯
[00:04:32.000 --> 00:04:36.000]  你估你要周章多久
[00:04:36.000 --> 00:04:39.000]  你覺不覺得要做很多事
[00:04:39.000 --> 00:04:41.000]  不是只有你一個人煮
[00:04:41.000 --> 00:04:43.000]  你還要安頓他們
[00:04:43.000 --> 00:04:45.000]  給他們喝東西
[00:04:45.000 --> 00:04:46.000]  你發覺原來要做很多事
[00:04:46.000 --> 00:04:48.000]  不過通常會想得好一點
[00:04:48.000 --> 00:04:50.000]  我估跟著主耶穌的婦女
[00:04:50.000 --> 00:04:52.000]  都願意一起幫忙
[00:04:52.000 --> 00:04:53.000]  即是說可能有幾個婦女
[00:04:53.000 --> 00:04:57.000]  一同服侍最少13個大男人
[00:04:57.000 --> 00:05:00.000]  難怪馬大那麼忙
[00:05:00.000 --> 00:05:02.000]  馬大做什麼呢
[00:05:02.000 --> 00:05:03.000]  準備膳食
[00:05:03.000 --> 00:05:04.000]  安頓他們
[00:05:04.000 --> 00:05:06.000]  這些全部不簡單的事
[00:05:06.000 --> 00:05:08.000]  同樣這些都是侍奉
[00:05:08.000 --> 00:05:12.000]  這些是在主身上的侍奉
[00:05:12.000 --> 00:05:18.000]  主耶穌會這樣罵他嗎
[00:05:18.000 --> 00:05:21.000]  我們再看清楚馬大和瑪利亞
[00:05:21.000 --> 00:05:23.000]  他們跟主的關係
[00:05:23.000 --> 00:05:25.000]  在約翰福音11章
[00:05:25.000 --> 00:05:27.000]  說到耶穌叫拉撒路復活
[00:05:27.000 --> 00:05:29.000]  11章第五節
[00:05:29.000 --> 00:05:30.000]  聖經這樣說
[00:05:30.000 --> 00:05:34.000]  耶穌數來愛馬大和他妹妹
[00:05:34.000 --> 00:05:35.000]  即是瑪利亞
[00:05:35.000 --> 00:05:38.000]  以及拉撒路
[00:05:38.000 --> 00:05:40.000]  原來一早熟悉
[00:05:40.000 --> 00:05:42.000]  而在聖經裡直接說
[00:05:42.000 --> 00:05:44.000]  耶穌愛他們
[00:05:44.000 --> 00:05:46.000]  聖經裡不是太多說
[00:05:46.000 --> 00:05:48.000]  耶穌特別愛哪些人
[00:05:48.000 --> 00:05:49.000]  有十二使徒
[00:05:49.000 --> 00:05:51.000]  有少年的官
[00:05:51.000 --> 00:05:54.000]  在聖經裡比較多的
[00:05:54.000 --> 00:05:55.000]  耶穌憐憫哪些人
[00:05:55.000 --> 00:05:57.000]  見到他們就憐憫他們
[00:05:57.000 --> 00:06:00.000]  但愛說得比較少
[00:06:00.000 --> 00:06:02.000]  馬大 瑪利亞 拉撒路
[00:06:02.000 --> 00:06:06.000]  是其中一家人
[00:06:06.000 --> 00:06:07.000]  所以肯定
[00:06:07.000 --> 00:06:10.000]  耶穌不是責備馬大
[00:06:10.000 --> 00:06:12.000]  但耶穌是可惜
[00:06:12.000 --> 00:06:14.000]  他是憐惜
[00:06:14.000 --> 00:06:17.000]  他做了很多很好的事
[00:06:17.000 --> 00:06:20.000]  但忽略了最重要的事
[00:06:20.000 --> 00:06:21.000]  第四十二節
[00:06:21.000 --> 00:06:26.000]  不可少的只有一樣
[00:06:26.000 --> 00:06:28.000]  原文裡
[00:06:28.000 --> 00:06:30.000]  可能翻譯有些時候
[00:06:30.000 --> 00:06:32.000]  有些譯本不是用不可少
[00:06:32.000 --> 00:06:35.000]  是不可少的只有幾件
[00:06:35.000 --> 00:06:37.000]  可能其中一件
[00:06:37.000 --> 00:06:38.000]  但無論如何
