
[00:00:00.000 --> 00:00:05.240]  今天我們分享的題目是「復活節我預備好了嗎?」
[00:00:05.240 --> 00:00:08.920]  我不知道如果在生命裡面有一些很重要的事情
[00:00:08.920 --> 00:00:10.840]  你是會怎麼去預備的
[00:00:10.840 --> 00:00:13.040]  現在因為疫情的緣故
[00:00:13.040 --> 00:00:15.080]  大家都不能夠去旅行
[00:00:15.080 --> 00:00:18.840]  如果疫情改善我們終於可以去旅行了
[00:00:18.840 --> 00:00:22.280]  你又會怎麼去預備一個難得的旅行呢?
[00:00:22.280 --> 00:00:24.480]  我記得我以前做律師的時候很忙
[00:00:24.480 --> 00:00:26.480]  所以有機會去旅行的時候
[00:00:26.480 --> 00:00:27.960]  我會很珍惜的
[00:00:27.960 --> 00:00:31.400]  所以我會看著每一個細節
[00:00:31.400 --> 00:00:34.880]  我會去想我怎麼去機場
[00:00:34.880 --> 00:00:37.600]  從機場怎麼去酒店
[00:00:37.600 --> 00:00:42.880]  每天的行程表我會有一個文件夾
[00:00:42.880 --> 00:00:45.800]  每個行程表對於我來說最重要的是什麼呢?
[00:00:45.800 --> 00:00:47.320]  大家應該猜到了
[00:00:47.320 --> 00:00:49.280]  就是每天吃什麼
[00:00:49.280 --> 00:00:51.960]  所以你就要想想每天要吃什麼
[00:00:51.960 --> 00:00:56.320]  你就想想吃的東西是否需要預訂的
[00:00:56.320 --> 00:00:59.600]  你又要想想每天要去哪裡
[00:00:59.600 --> 00:01:03.960]  每天去哪裡是否需要首先去買票
[00:01:03.960 --> 00:01:06.240]  所以買了票我就會印出來
[00:01:06.240 --> 00:01:08.960]  把那些票放在文件夾裡
[00:01:08.960 --> 00:01:11.560]  你會一一這樣預備好
[00:01:11.560 --> 00:01:14.200]  同樣我也記得我小時候
[00:01:14.200 --> 00:01:17.720]  爸爸媽媽有時候會請一些生意上的朋友
[00:01:17.720 --> 00:01:18.640]  來家裡吃飯
[00:01:18.640 --> 00:01:21.840]  每一次他們請生意上的朋友來吃飯
[00:01:21.840 --> 00:01:24.160]  他們都會很精心的預備
[00:01:24.160 --> 00:01:27.080]  例如我們來到家之前
[00:01:27.080 --> 00:01:28.280]  來到家之後
[00:01:28.280 --> 00:01:31.800]  吃飯之前有什麼飯前的小吃
[00:01:31.800 --> 00:01:33.720]  會喝什麼
[00:01:33.720 --> 00:01:37.440]  桌上的餐具會怎麼擺放
[00:01:37.440 --> 00:01:39.080]  晚上的餐單
[00:01:39.080 --> 00:01:42.160]  甚至那一晚應該會穿什麼
[00:01:42.160 --> 00:01:44.360]  什麼時間的管理
[00:01:44.360 --> 00:01:46.160]  什麼時候上什麼
[00:01:46.160 --> 00:01:48.440]  所有都會預備好的
[00:01:48.440 --> 00:01:52.720]  想到這裡我又想起教會一個很溫馨的場面
[00:01:52.720 --> 00:01:55.360]  就是我們的外宴
[00:01:55.360 --> 00:01:58.120]  我們應該很多人都參加過外宴
[00:01:58.120 --> 00:02:00.600]  你會發現我們都會很精心
[00:02:00.600 --> 00:02:04.600]  為我們每一次邀請的對象去預備外宴
[00:02:04.600 --> 00:02:06.440]  我們由他們入場
[00:02:06.440 --> 00:02:08.160]  我們很喜歡用那些球
[00:02:08.160 --> 00:02:10.480]  歡迎他們入場
[00:02:10.480 --> 00:02:12.520]  由歡迎他們入場
[00:02:12.520 --> 00:02:15.000]  到玩什麼遊戲
[00:02:15.000 --> 00:02:17.080]  要好玩刺激
[00:02:17.080 --> 00:02:19.680]  然後我們怎麼去敬拜
[00:02:19.680 --> 00:02:21.840]  敬拜完之後他們會坐在哪裡
[00:02:21.840 --> 00:02:24.000]  好像我們要分開坐
[00:02:24.000 --> 00:02:26.560]  讓我們的對象有人跟他聊天
[00:02:26.560 --> 00:02:28.640]  到我們晚上吃飯吃什麼
[00:02:28.640 --> 00:02:29.560]  怎麼安排
[00:02:29.560 --> 00:02:31.040]  怎麼跟他們拿東西
[00:02:31.040 --> 00:02:34.440]  然後我們應該要分享什麼訊息
[00:02:34.440 --> 00:02:37.720]  我們怎麼跟他們一起有決志回應
[00:02:37.720 --> 00:02:41.000]  然後最重要就是有什麼抽獎
[00:02:41.000 --> 00:02:43.560]  然後最後走的時候很開心
[00:02:43.560 --> 00:02:45.360]  他們能夠收到什麼禮物
[00:02:45.360 --> 00:02:47.680]  每一樣東西我都很感動
[00:02:47.680 --> 00:02:50.680]  弟兄姊妹一起很精心的預備
[00:02:50.680 --> 00:02:53.000]  所以這些客人給點掌聲,鼓勵弟兄姊妹
[00:02:53.000 --> 00:02:57.920]  重要的東西我們會預備的
[00:02:57.920 --> 00:03:00.240]  下個星期就是復活節了
[00:03:00.240 --> 00:03:02.440]  我不知道你覺得你的生命
[00:03:02.440 --> 00:03:04.840]  如何為復活節去預備
[00:03:04.840 --> 00:03:06.080]  我曾經聽過有人說
[00:03:06.080 --> 00:03:08.480]  什麼復活節要預備的
[00:03:08.480 --> 00:03:10.320]  聖誕節就是要預備的
[00:03:10.320 --> 00:03:11.600]  我說為什麼
[00:03:11.600 --> 00:03:15.040]  聖誕節有去預備聖誕大餐
[00:03:15.040 --> 00:03:16.560]  有去預備聖誕禮物
[00:03:16.560 --> 00:03:18.760]  復活節沒有什麼要預備的
[00:03:18.760 --> 00:03:23.000]  最多你有小朋友就買隻復活蛋給他
[00:03:23.000 --> 00:03:25.600]  但如果我們再一次思考
[00:03:25.600 --> 00:03:30.320]  其實原來復活節是耶穌釘十字架
[00:03:30.320 --> 00:03:32.160]  為我們死
[00:03:32.160 --> 00:03:34.440]  埋葬,為我們復活
[00:03:34.440 --> 00:03:38.640]  復活的主來到我們的生命
[00:03:38.640 --> 00:03:40.160]  復活的主來到我們的生命
[00:03:40.160 --> 00:03:43.040]  我們又怎麼去為祂預備呢?
[00:03:43.040 --> 00:03:44.560]  今天我很想請我們去看
[00:03:44.560 --> 00:03:46.400]  《路加福音》十九章裡面的經文
[00:03:46.400 --> 00:03:50.040]  這段經文是記載復活節之前一個星期
[00:03:50.040 --> 00:03:51.640]  所發生的事情
[00:03:51.640 --> 00:03:53.880]  我想我們一起在這段經文裡面
[00:03:53.880 --> 00:03:57.360]  我們一起去學三個功課
[00:03:57.360 --> 00:03:59.800]  今天我們第一個功課
[00:03:59.800 --> 00:04:04.880]  是要將生命的主權交給神
[00:04:04.880 --> 00:04:08.040]  我們一起讀《路加福音》十九章二十八節
[00:04:08.040 --> 00:04:09.680]  到三十八節,好嗎?
[00:04:09.680 --> 00:04:10.560]  我們一起讀
[00:04:10.560 --> 00:04:11.840]  一、二、三
[00:04:11.840 --> 00:04:14.000]  耶穌說完了這話
[00:04:14.000 --> 00:04:17.800]  就在前面走,上耶路撒冷去
[00:04:17.800 --> 00:04:20.680]  將近伯伐奇和伯大尼
[00:04:20.680 --> 00:04:24.000]  在一座山名叫甘南山那裡
[00:04:24.000 --> 00:04:26.760]  就打發兩個門徒說
[00:04:26.760 --> 00:04:29.440]  你們往對面村子裡去
[00:04:29.440 --> 00:04:34.320]  進去的時候必看見一匹驢驅存在那裡
[00:04:34.320 --> 00:04:36.760]  是從來沒有人騎過的
[00:04:36.760 --> 00:04:39.000]  可以解開牽來
[00:04:39.000 --> 00:04:41.680]  若有人問為什麼解牠
[00:04:41.680 --> 00:04:44.560]  你們就說主要用牠
[00:04:44.560 --> 00:04:46.360]  打發的人去了
[00:04:46.360 --> 00:04:50.720]  所遇見的正如耶穌所說的
[00:04:50.720 --> 00:04:53.240]  他們解牢驅的時候
[00:04:53.240 --> 00:04:57.240]  主人問他們說解牢驅做什麼
[00:04:57.240 --> 00:04:59.640]  他們說主要用牠
[00:04:59.640 --> 00:05:01.920]  他們解到耶穌那裡
[00:05:01.920 --> 00:05:05.040]  把自己的衣服搭在上面
[00:05:05.040 --> 00:05:07.240]  扶著耶穌騎上
[00:05:07.240 --> 00:05:10.800]  走的時候眾人把衣服鋪在路上
[00:05:10.800 --> 00:05:12.480]  將近耶路撒冷
[00:05:12.480 --> 00:05:14.880]  正下甘南山的時候
[00:05:14.880 --> 00:05:18.320]  眾門徒因所見過的一切異能
[00:05:18.320 --> 00:05:19.920]  都歡樂起來
[00:05:19.920 --> 00:05:21.840]  大聲讚美神說
[00:05:21.840 --> 00:05:25.160]  奉主命來的王事應當稱重的
[00:05:25.160 --> 00:05:27.120]  在天上有和平
[00:05:27.120 --> 00:05:30.000]  在至高之處有榮光
[00:05:30.000 --> 00:05:31.840]  今天我們看聖經
[00:05:31.840 --> 00:05:33.920]  我想用三件事
[00:05:33.920 --> 00:05:37.000]  一起去看究竟穆家想跟我們說什麼
[00:05:37.000 --> 00:05:38.920]  第一件事是兩個名詞
[00:05:38.920 --> 00:05:41.320]  第一個是甘南山
[00:05:41.320 --> 00:05:43.200]  第二個是牢驅
[00:05:43.200 --> 00:05:45.880]  當我們去看這兩個名詞的時候
[00:05:45.880 --> 00:05:49.440]  其實我們發現穆家是故意想告訴我們
[00:05:49.440 --> 00:05:51.600]  耶穌就是主
[00:05:51.600 --> 00:05:53.400]  祂就是王
