
[00:00:00.000 --> 00:00:02.000]  《生命樹宣教網絡》
[00:00:02.000 --> 00:00:04.680]  《聖經人聖經時》又和大家見面
[00:00:04.680 --> 00:00:06.360]  多讀聖經
[00:00:06.360 --> 00:00:08.680]  《大腿底下的誓言》
[00:00:08.680 --> 00:00:10.280]  嘩 什麼來的呢?
[00:00:10.280 --> 00:00:12.400]  如果你有讀聖經多一點都知道的
[00:00:12.400 --> 00:00:13.440]  留意一下
[00:00:13.440 --> 00:00:17.680]  大腿底下都有誓言的嗎?
[00:00:17.680 --> 00:00:19.720]  看看什麼事
[00:00:19.720 --> 00:00:21.600]  《蒼世紀二十四章》
[00:00:21.600 --> 00:00:22.080]  第一節
[00:00:22.080 --> 00:00:25.720]  《阿伯拉罕年紀老邁》
[00:00:25.720 --> 00:00:27.320]  老了
[00:00:27.320 --> 00:00:32.360]  「向來在一切事上,耶和華都賜福給他。」
[00:00:32.360 --> 00:00:35.840]  阿伯拉罕被上帝賜福
[00:00:35.840 --> 00:00:37.160]  是對的
[00:00:37.160 --> 00:00:38.200]  是配的
[00:00:38.200 --> 00:00:41.440]  因為你看到他對神的信服
[00:00:41.440 --> 00:00:43.000]  對神的忠心
[00:00:43.000 --> 00:00:44.520]  對神的信心
[00:00:44.520 --> 00:00:46.240]  嘩 真是難得
[00:00:46.240 --> 00:00:48.680]  千古奇才
[00:00:48.680 --> 00:00:50.080]  一個這麼難得的人
[00:00:50.080 --> 00:00:51.840]  不選他
[00:00:51.840 --> 00:00:52.520]  選誰呢?
[00:00:52.520 --> 00:00:53.920]  神就選一些這麼有信心
[00:00:53.920 --> 00:00:55.120]  這麼有忠心
[00:00:55.120 --> 00:00:56.360]  這麼有信靠
[00:00:56.360 --> 00:00:57.840]  這麼有信服的人
[00:00:57.840 --> 00:01:00.240]  來開始一個救贖的計劃
[00:01:00.240 --> 00:01:02.400]  你看到神很喜歡選這個人
[00:01:02.400 --> 00:01:04.120]  好 做阿多夏娃
[00:01:04.120 --> 00:01:05.200]  開始這個世界
[00:01:05.200 --> 00:01:07.200]  不行 選羅亞
[00:01:07.200 --> 00:01:08.400]  因為羅亞與神同行
[00:01:08.400 --> 00:01:09.840]  用他做方舟
[00:01:09.840 --> 00:01:12.000]  救回人類
[00:01:12.000 --> 00:01:14.200]  再一個新的繁衍
[00:01:14.200 --> 00:01:16.240]  然後再選一個人
[00:01:16.240 --> 00:01:18.560]  可以成就救恩
[00:01:18.560 --> 00:01:22.080]  用他做一條救贖的線開始
[00:01:22.080 --> 00:01:23.440]  就選了阿伯拉罕
[00:01:23.440 --> 00:01:25.360]  阿伯拉罕年紀老邁
[00:01:25.360 --> 00:01:29.320]  他建議兒子做樊祭等等
[00:01:29.320 --> 00:01:30.840]  耶和華以辣
[00:01:30.840 --> 00:01:33.200]  那件事剛剛昨天說了
[00:01:33.200 --> 00:01:35.120]  向來在一切事上
[00:01:35.120 --> 00:01:38.280]  耶和華都賜福給他
[00:01:38.280 --> 00:01:40.560]  來到老邁的時候
[00:01:40.560 --> 00:01:42.520]  看到兒子都差不多年齡了
[00:01:42.520 --> 00:01:44.120]  都是要結婚的
[00:01:44.120 --> 00:01:49.320]  阿伯拉罕對管理他全業最老的僕人
[00:01:49.320 --> 00:01:52.200]  即是那個大管家說了
[00:01:52.200 --> 00:01:57.760]  很有可能這個人是以便以謝
[00:01:57.760 --> 00:01:59.160]  因為沒有說是誰
[00:01:59.160 --> 00:02:02.720]  整件事都沒有說這個僕人是誰
[00:02:02.720 --> 00:02:05.320]  不過阿伯拉罕以前提過
[00:02:05.320 --> 00:02:06.800]  我沒有兒子
[00:02:06.800 --> 00:02:09.920]  生在我家裏的人就是我的兒子
[00:02:09.920 --> 00:02:12.400]  我的僕人以便以謝
[00:02:12.400 --> 00:02:15.040]  就算是我的後人
[00:02:15.040 --> 00:02:18.240]  這個很有可能這個僕人是以便以謝
[00:02:18.240 --> 00:02:19.400]  不知道
[00:02:19.400 --> 00:02:21.760]  最老的僕人跟他很久了
[00:02:21.760 --> 00:02:22.960]  信得過的
[00:02:22.960 --> 00:02:26.640]  請你把手放在我大腿底下
[00:02:26.640 --> 00:02:27.840]  做什麼?
[00:02:27.840 --> 00:02:30.000]  手放在大腿底下
[00:02:30.000 --> 00:02:35.760]  原來在那個時間的發誓承諾
[00:02:35.760 --> 00:02:37.160]  你幫我做一件事
[00:02:37.160 --> 00:02:38.000]  好啊
[00:02:38.000 --> 00:02:39.240]  你真的做了
[00:02:39.240 --> 00:02:40.160]  你發誓做了
[00:02:40.160 --> 00:02:40.760]  是
[00:02:40.760 --> 00:02:44.720]  你就將你的手放在我大腿底下
[00:02:44.720 --> 00:02:48.160]  好像我的事我做不到
[00:02:48.160 --> 00:02:51.880]  不過你就承接著幫我做了
