
[00:00:00.000 --> 00:00:13.000]  (廣東歌)
[00:00:13.000 --> 00:00:17.000]  請姐妹我們同心禱告
[00:00:17.000 --> 00:00:21.000]  神啊,祢是我們的神,我們要切切地尋求祢
[00:00:21.000 --> 00:00:25.000]  在乾旱疲乏無水之地,我們渴想祢
[00:00:25.000 --> 00:00:30.000]  我們的心切無離,當我們一同經歷過逆境
[00:00:30.000 --> 00:00:33.000]  我們學懂怎樣去依靠上帝過每一日
[00:00:33.000 --> 00:00:35.000]  因為祢的慈愛實在比生命更好
[00:00:35.000 --> 00:00:38.000]  祢的安慰比其他一切事更適切
[00:00:38.000 --> 00:00:41.000]  我們禁不住要開口讚美祢
[00:00:41.000 --> 00:00:45.000]  記住祢曾經帶領我們怎樣在困境當中前行
[00:00:45.000 --> 00:00:48.000]  思想祢所賜給我們的一切
[00:00:48.000 --> 00:00:52.000]  使我們可以得到日用的飲食和健康
[00:00:52.000 --> 00:00:56.000]  神啊,我們的心要緊緊跟隨祢
[00:00:56.000 --> 00:00:59.000]  我們的眼睛要仰望復活主的榮耀
[00:00:59.000 --> 00:01:02.000]  我們的耳朵要聆聽聖靈的教導
[00:01:02.000 --> 00:01:05.000]  祢伸出祢的右手扶持著我們
[00:01:05.000 --> 00:01:09.000]  我們都願意被祢拖帶著,每日與祢同行
[00:01:09.000 --> 00:01:13.000]  神啊,求祢叫我們常慣祢的恩惠慈愛之後
[00:01:13.000 --> 00:01:16.000]  我們不是單單只顧自己的事
[00:01:16.000 --> 00:01:19.000]  而是要追求耶穌基督的事
[00:01:19.000 --> 00:01:22.000]  祢是我們的心裡面運行
[00:01:22.000 --> 00:01:26.000]  要我們立志行善,去達成祢的美意
[00:01:26.000 --> 00:01:30.000]  過一個土神喜悅的生活,在主內天天成長
[00:01:30.000 --> 00:01:33.000]  縱然前面可能並不是一條平坦的路
[00:01:33.000 --> 00:01:37.000]  但是我們深知道日子如何,力量也如何
[00:01:37.000 --> 00:01:41.000]  求祢叫我們在我們的崗位上為主發光
[00:01:41.000 --> 00:01:45.000]  彰顯祢的榮美,奉主明求,阿門
[00:01:49.000 --> 00:01:51.000]  更多:http://fashionecstasy.com
