
[00:00:00.000 --> 00:00:02.660]  今日的講題是「雪星巴巴」
[00:00:02.660 --> 00:00:06.400]  不過不要誤會,今天不是父親節
[00:00:06.400 --> 00:00:09.760]  今天是沒有禮物給的
[00:00:09.760 --> 00:00:15.600]  大家記得我上次講的題目是什麼嗎?
[00:00:15.600 --> 00:00:17.800]  祈禱其實很簡單,對吧?
[00:00:17.800 --> 00:00:22.000]  我開始跟大家看一個主討文
[00:00:22.000 --> 00:00:24.600]  耶穌教導我們怎樣去祈禱
[00:00:24.600 --> 00:00:28.600]  所以來到今天,我們開始第一句
[00:00:28.600 --> 00:00:31.400]  就是「我們在天上的父」
[00:00:31.400 --> 00:00:32.600]  這個是主討文
[00:00:32.600 --> 00:00:37.100]  耶穌教導我們開始講第一句的說話
[00:00:37.100 --> 00:00:39.400]  那個對象就是我們天父
[00:00:39.400 --> 00:00:41.600]  所以今天的題目就是「雪星巴巴」
[00:00:41.600 --> 00:00:42.400]  分開幾方面呢?
[00:00:42.400 --> 00:00:45.000]  第一方面是父親的形象
[00:00:45.000 --> 00:00:49.000]  第二方面就是天父,我們的爸爸
[00:00:49.000 --> 00:00:54.600]  第三方面是我們天父的孩子
[00:00:54.600 --> 00:00:58.400]  第四方面就是天父懂你的心
[00:00:58.400 --> 00:01:02.800]  好,第一方面講到父親的形象
[00:01:02.800 --> 00:01:08.800]  這裡就講到耶穌基督有一個很親密的關係
[00:01:08.800 --> 00:01:13.400]  一個稱呼,就說「我們在天上的父」
[00:01:13.400 --> 00:01:17.800]  所以主討文一開始是一個很親密的稱呼開始的
[00:01:17.800 --> 00:01:24.400]  是一個令到我們跟著去念頌主討文的時候
[00:01:24.400 --> 00:01:26.400]  我們發覺應該是很親切的
[00:01:26.400 --> 00:01:28.400]  應該不是唸口王的
[00:01:28.400 --> 00:01:31.400]  應該是傾心吐意的
[00:01:31.400 --> 00:01:36.800]  因為我們就是這樣向著一位天父講一聲「爸爸」
[00:01:36.800 --> 00:01:40.600]  耶穌基督常常都是這樣稱呼神為
[00:01:40.600 --> 00:01:43.400]  原本的文字就是「阿爸」
