
[00:00:00.000 --> 00:00:02.520]  我們看看今天我們要分享的訊息
[00:00:02.520 --> 00:00:04.280]  就是一位女人
[00:00:04.280 --> 00:00:08.040]  她做了一件出軌的事
[00:00:08.040 --> 00:00:10.640]  在當時來說非常出軌
[00:00:10.640 --> 00:00:16.320]  如果當日有新聞報道或者是網絡的話
[00:00:16.320 --> 00:00:17.680]  她一定爆紅了
[00:00:17.680 --> 00:00:18.560]  為什麼呢?
[00:00:18.560 --> 00:00:21.040]  因為她做了一件當時來說
[00:00:21.040 --> 00:00:22.560]  門徒很不理解
[00:00:22.560 --> 00:00:24.680]  甚至非常極力反對的
[00:00:24.680 --> 00:00:26.280]  對她諸多批評的事情
[00:00:26.280 --> 00:00:29.760]  但是耶穌對她的評語是剛好相反的
[00:00:29.760 --> 00:00:31.120]  非常高舉的事情
[00:00:31.120 --> 00:00:34.760]  甚至說從今以後
[00:00:34.760 --> 00:00:36.040]  在普世之間
[00:00:36.040 --> 00:00:37.440]  即任何一個地方
[00:00:37.440 --> 00:00:39.240]  你們如果要傳福音的話
[00:00:39.240 --> 00:00:41.840]  一定要述說這個女人所做的事
[00:00:41.840 --> 00:00:44.400]  你說我們應不應該知道這是什麼事?
[00:00:44.400 --> 00:00:45.520]  應不應該知道?
[00:00:45.520 --> 00:00:48.400]  必須的,一定要知道
[00:00:48.400 --> 00:00:50.600]  我們先讀讀今天主題的經文
[00:00:50.600 --> 00:00:52.160]  《約翰福音》十二章一到八節
[00:00:52.160 --> 00:00:53.840]  我們一起來讀讀
[00:00:53.840 --> 00:00:57.040]  「與至前六日,耶穌來到伯大尼,
[00:00:57.040 --> 00:01:00.320]  就是他叫拉撒路從死裡復活之處。
[00:01:00.320 --> 00:01:02.960]  有人在那裡給耶穌預備筵席,
[00:01:02.960 --> 00:01:04.120]  買大刺後,
[00:01:04.120 --> 00:01:07.640]  拉撒路也在那裡與耶穌坐在人中。
[00:01:07.640 --> 00:01:10.920]  瑪利亞就拿了一斤極貴的珍拿達香膏,
[00:01:10.920 --> 00:01:12.280]  抹耶穌的腳,
[00:01:12.280 --> 00:01:14.160]  又用自己的頭髮去擦,
[00:01:14.160 --> 00:01:16.520]  屋裡就滿了高的香氣。
[00:01:16.520 --> 00:01:17.560]  有一個門徒,
[00:01:17.560 --> 00:01:20.480]  就算那張要賣耶穌的家略人又大,
[00:01:20.480 --> 00:01:25.720]  說:這香膏為什麼不賣三十兩銀子周濟窮人呢?
[00:01:25.720 --> 00:01:28.560]  他說者說:並不是掛念窮人,
[00:01:28.560 --> 00:01:31.080]  乃是他是個賊,又帶著錢囊,
[00:01:31.080 --> 00:01:33.400]  嘗取其中所存的。
[00:01:33.400 --> 00:01:36.040]  耶穌就回答說:由他吧,
[00:01:36.040 --> 00:01:38.600]  他是為我安葬之日存留的,
[00:01:38.600 --> 00:01:41.160]  因為常有窮人與你們同在,
[00:01:41.160 --> 00:01:44.160]  只是你們不常有我。」
[00:01:44.160 --> 00:01:46.080]  這段故事都幾熟悉,
[00:01:46.080 --> 00:01:49.760]  不過可能我們以往看的時候未必太過留意
[00:01:49.760 --> 00:01:53.120]  當然福音書其實互相來參考的
[00:01:53.120 --> 00:01:56.040]  有芙蕾福音、瑪太、瑪可、路加
[00:01:56.040 --> 00:01:58.160]  再加上約翰福音就是四大福音書
[00:01:58.160 --> 00:02:00.920]  所以我們今天看這段經文是主要經文約翰福音
[00:02:00.920 --> 00:02:05.480]  不過我們都需要參考瑪太和瑪可的
[00:02:05.480 --> 00:02:07.640]  我們儘管先看看瑪太
[00:02:07.640 --> 00:02:11.440]  我們就讀過上面那裡,我們讀紅色那些字
[00:02:11.440 --> 00:02:13.200]  「我實在告訴你們,
[00:02:13.200 --> 00:02:17.120]  普天之下,無論在什麼地方傳這福音,
[00:02:17.120 --> 00:02:20.440]  也要述說這女人所行的作個紀念。」
[00:02:20.440 --> 00:02:22.640]  好了,瑪可怎麼說?
[00:02:22.640 --> 00:02:24.000]  又讀紅色那些字了
[00:02:24.000 --> 00:02:25.600]  「我實在告訴你們,
[00:02:25.600 --> 00:02:29.640]  普天之下,無論在什麼地方傳這福音,
[00:02:29.640 --> 00:02:33.200]  也要述說這女人所行的作個紀念。」
[00:02:33.200 --> 00:02:34.200]  OK?
[00:02:34.200 --> 00:02:35.840]  這件事情究竟是什麼呢?
[00:02:35.840 --> 00:02:38.120]  我們現在就仔細來看一看
[00:02:38.120 --> 00:02:41.960]  首先我們都知道在某些情況、某些節日下
[00:02:41.960 --> 00:02:43.560]  我們會說某些說話的
[00:02:43.560 --> 00:02:46.840]  我舉些例子,新年說什麼說話?
[00:02:46.840 --> 00:02:47.640]  「恭喜發財」?
[00:02:47.640 --> 00:02:49.400]  不好吧,這麼世俗
[00:02:49.400 --> 00:02:50.920]  我們基督徒不說這些
[00:02:50.920 --> 00:02:51.600]  說什麼?
[00:02:51.600 --> 00:02:54.760]  「新年快樂」,多加一句
[00:02:54.760 --> 00:02:56.680]  什麼?
[00:02:56.680 --> 00:02:59.560]  「聽教聽話」?
[00:02:59.560 --> 00:03:02.360]  「新年快樂,靈命長進」
[00:03:02.360 --> 00:03:04.040]  生日呢?
[00:03:04.040 --> 00:03:05.120]  「生日快樂」
[00:03:05.120 --> 00:03:07.320]  現在好啊,現在有WhatsApp那些東西
[00:03:07.320 --> 00:03:09.920]  你送多少個蛋糕都可以,不用錢的
