
[00:00:00.000 --> 00:00:04.000]  很高興再次在大家當中
[00:00:04.000 --> 00:00:07.000]  分享神給我們的訊息
[00:00:07.000 --> 00:00:10.000]  分享神給我們的道
[00:00:10.000 --> 00:00:12.000]  不知為何這次的講道
[00:00:12.000 --> 00:00:14.000]  是我這麼多篇講道裏面
[00:00:14.000 --> 00:00:21.000]  事前最緊張的一篇
[00:00:21.000 --> 00:00:23.000]  不知大家記不記得
[00:00:23.000 --> 00:00:26.000]  我很多個月前講一篇道的時候
[00:00:26.000 --> 00:00:29.000]  提到神的手
[00:00:29.000 --> 00:00:31.000]  是撒旦的手
[00:00:31.000 --> 00:00:37.000]  在柴鎮身上很沉重
[00:00:37.000 --> 00:00:39.000]  不知大家還記不記得這句說話
[00:00:39.000 --> 00:00:40.000]  可能記得的
[00:00:40.000 --> 00:00:43.000]  不過記不記得原因呢
[00:00:43.000 --> 00:00:44.000]  不知大家記不記得原因
[00:00:44.000 --> 00:00:46.000]  為何撒旦的手
[00:00:46.000 --> 00:00:53.000]  在柴鎮身上這麼沉重呢
[00:00:53.000 --> 00:00:57.000]  就因為我們有一個很重要的使命
[00:00:57.000 --> 00:01:00.000]  有一個很重要的領袖
[00:01:00.000 --> 00:01:03.000]  就是柴鎮要成為一間
[00:01:03.000 --> 00:01:07.000]  服侍貧窮人的社區的教會
[00:01:07.000 --> 00:01:13.000]  要將服務和信仰
[00:01:13.000 --> 00:01:20.000]  生活的一個結連的信仰群體
[00:01:20.000 --> 00:01:28.000]  所以神不是很想見到柴鎮成功
[00:01:28.000 --> 00:01:31.000]  神不想柴鎮的人
[00:01:31.000 --> 00:01:32.000]  不是神不想
[00:01:32.000 --> 00:01:34.000]  是撒旦不想
[00:01:34.000 --> 00:01:37.000]  柴鎮的人很合一
[00:01:37.000 --> 00:01:42.000]  因為合一帶來很大的建造能力
[00:01:42.000 --> 00:01:45.000]  但如果我們紛爭的話
[00:01:45.000 --> 00:01:52.000]  我們會內耗將一切的能力化為烏有
[00:01:52.000 --> 00:01:54.000]  只能夠久而殘存
[00:01:54.000 --> 00:01:59.000]  維持著教會的生命特徵
[00:01:59.000 --> 00:02:03.000]  尚如一式的氣息
[00:02:03.000 --> 00:02:06.000]  但我相信神的心意
[00:02:06.000 --> 00:02:12.000]  不是要柴鎮長期在這個狀態裏
[00:02:12.000 --> 00:02:16.000]  所以今天當我要講這篇道的時候
[00:02:16.000 --> 00:02:19.000]  神有鼓勵我講一個領袖
[00:02:19.000 --> 00:02:22.000]  一個圖畫
[00:02:22.000 --> 00:02:31.000]  就是今天神向柴鎮弟兄姊妹招手
[00:02:31.000 --> 00:02:35.000]  神向柴鎮弟兄姊妹招手
[00:02:35.000 --> 00:02:37.000]  我不知道你怎樣看這隻手
[00:02:37.000 --> 00:02:40.000]  不是招財貓那隻
[00:02:40.000 --> 00:02:42.000]  可能動作差不多
[00:02:42.000 --> 00:02:49.000]  回來囉
[00:02:49.000 --> 00:02:58.000]  回到神給柴鎮的基本呼召和使命當中
[00:02:58.000 --> 00:03:00.000]  為什麼我會這樣理解呢
[00:03:00.000 --> 00:03:02.000]  如果大家有機會
[00:03:02.000 --> 00:03:03.000]  一會兒再看
[00:03:03.000 --> 00:03:06.000]  封面的文章將我基本的領袖
