
[00:00:00.000 --> 00:00:02.000]  第五章第九節
[00:00:02.000 --> 00:00:06.000]  "使人和睦的人有福,因爲他們必稱爲神的兒子"
[00:00:06.000 --> 00:00:09.000]  所以今天我們說的是"使人和睦的人有福"
[00:00:09.000 --> 00:00:12.000]  很多時候爭執
[00:00:12.000 --> 00:00:17.000]  問題本身是可以是小事一樁
[00:00:17.000 --> 00:00:21.000]  如果能夠一開始的時候就能夠對付
[00:00:21.000 --> 00:00:25.000]  一開始的時候就能夠去找些辦法去解決的時候
[00:00:25.000 --> 00:00:29.000]  就能夠大事化小,小事化無
[00:00:29.000 --> 00:00:37.000]  但是很多時候我們很困難去做使人和睦的事情
[00:00:37.000 --> 00:00:40.000]  反而是將小事化大
[00:00:40.000 --> 00:00:46.000]  將它越搞越大,甚至是一發不可收拾
[00:00:46.000 --> 00:00:48.000]  我們先看看這個視頻
[00:00:59.000 --> 00:01:14.000]  (電視劇)
[00:01:30.000 --> 00:01:43.000]  (電視劇)
[00:01:43.000 --> 00:01:56.000]  (電視劇)
[00:01:56.000 --> 00:02:03.000]  (電視劇)
[00:02:03.000 --> 00:02:28.000]  (電視劇)
[00:02:28.000 --> 00:02:38.000]  (電視劇)
[00:02:38.000 --> 00:02:48.000]  (電視劇)
[00:02:48.000 --> 00:03:00.000]  (電視劇)
[00:03:00.000 --> 00:03:20.000]  (電視劇)
[00:03:20.000 --> 00:03:49.000]  (電視劇)
[00:03:49.000 --> 00:03:53.000]  (電視劇)
[00:03:53.000 --> 00:03:56.000]  本來是小事一樁
[00:03:56.000 --> 00:03:59.000]  很多時候我們不懂得處理的時候
[00:03:59.000 --> 00:04:01.000]  小事化大
[00:04:01.000 --> 00:04:08.000]  大事就將它鬧大了,一發不可收拾
[00:04:08.000 --> 00:04:13.000]  我們這一段的日子裏面都是講到八福
[00:04:13.000 --> 00:04:20.000]  八福其實是講到世界的子民和天國的子民的分別
[00:04:20.000 --> 00:04:25.000]  世界觀不一樣,價值觀不一樣,人生觀也不一樣
[00:04:25.000 --> 00:04:29.000]  生活方向、方式也不一樣
[00:04:29.000 --> 00:04:34.000]  最重要的是終點也不一樣
[00:04:34.000 --> 00:04:41.000]  其實八福裏面是講到不一樣的價值觀
[00:04:41.000 --> 00:04:44.000]  一開始主耶穌就說
[00:04:44.000 --> 00:04:48.000]  虛心的人有福了,因爲天國是他們的
[00:04:48.000 --> 00:04:51.000]  一直講八福,最後的福氣就是
[00:04:51.000 --> 00:04:56.000]  爲異受逼迫的人有福了,因爲天國是他們的
[00:04:56.000 --> 00:05:01.000]  由天國開始,也由天國來做一個結束
[00:05:01.000 --> 00:05:06.000]  是一個完美的complete circle
[00:05:06.000 --> 00:05:12.000]  其實我們看回八福裏面,有些東西也是福氣
[00:05:12.000 --> 00:05:17.000]  愛恫的人有福,受逼迫的人也有福
