
[00:00:00.000 --> 00:00:03.740]  今天我們會最後一次讀《馬可福音》
[00:00:03.740 --> 00:00:07.500]  連續有幾個星期讀《馬可福音》
[00:00:07.500 --> 00:00:08.740]  這次是最後一次
[00:00:08.740 --> 00:00:14.180]  這次可以當作是一個總結
[00:00:14.180 --> 00:00:16.060]  雖然不是所有《馬可福音》都讀完
[00:00:16.060 --> 00:00:20.700]  但是我覺得今天會讓我們的心靈可以誠實敬拜
[00:00:20.700 --> 00:00:24.060]  我們今天會圍繞著《馬可福音》第七章
[00:00:24.060 --> 00:00:25.780]  我先讀給你們聽
[00:00:25.780 --> 00:00:32.980]  有法利塞人和幾個文士從耶路撒冷來到耶穌那裡聚集
[00:00:32.980 --> 00:00:36.900]  他們曾看見他的門徒中有人用竹手
[00:00:36.900 --> 00:00:39.460]  就是沒有洗的手吃飯
[00:00:39.460 --> 00:00:44.300]  原來法利塞人和猶太人都俱守古人的遺傳
[00:00:44.300 --> 00:00:47.940]  若不仔細洗手就不吃飯
[00:00:47.940 --> 00:00:51.220]  從史上來若不洗肉也不吃飯
[00:00:51.220 --> 00:00:53.460]  還有好些別的規矩
[00:00:53.460 --> 00:00:58.300]  他們歷代俱守就是洗杯、罐、銅器等物
[00:00:58.300 --> 00:01:01.580]  法利塞人和文士問他們說你的門徒
[00:01:01.580 --> 00:01:06.060]  為什麼不照古人的遺傳用竹手吃飯呢?
[00:01:06.060 --> 00:01:10.180]  耶穌說:以塞亞指著你們假冒為善的人
[00:01:10.180 --> 00:01:12.220]  所說的語言是不錯的
[00:01:12.220 --> 00:01:16.420]  如經上說:這百姓用嘴唇尊敬我
[00:01:16.420 --> 00:01:18.420]  心卻遠離我
[00:01:18.420 --> 00:01:22.540]  他們將人的吩咐當作道理教導人
[00:01:22.540 --> 00:01:25.580]  所以拜我也是謊言
[00:01:25.580 --> 00:01:29.660]  有誰看過《大經占卜》看過這個經文的請舉手?
[00:01:29.660 --> 00:01:32.340]  大家都知道說什麼不要假冒為善
[00:01:32.340 --> 00:01:34.340]  不要立法主義
[00:01:34.340 --> 00:01:39.180]  但是當我們看這個經文的時候
[00:01:39.180 --> 00:01:41.300]  如果你想連到上下文的時候
[00:01:41.300 --> 00:01:42.540]  是有些困難的
[00:01:42.540 --> 00:01:45.580]  如果你有看聖經喜歡賢經
[00:01:45.580 --> 00:01:47.780]  你知道聖經不會一截截的
[00:01:47.780 --> 00:01:50.420]  但是當你看回上下文裡面
[00:01:50.420 --> 00:01:52.940]  你會看到首先是餵飽五千人
[00:01:52.940 --> 00:01:54.740]  接著耶穌在水面走
[00:01:54.740 --> 00:01:57.500]  接著他解釋何謂潔淨
[00:01:57.500 --> 00:01:59.260]  即是剛才我們那個經文
[00:01:59.260 --> 00:02:02.460]  接著有個婦人懇求耶穌驅魔
[00:02:02.460 --> 00:02:05.900]  接著又醫治了一個耳聾結舌的人
[00:02:05.900 --> 00:02:07.340]  接著就餵飽四千人
[00:02:07.340 --> 00:02:10.700]  好像有個三文治包著雜碎
[00:02:10.700 --> 00:02:11.740]  有人吃雜碎嗎?
[00:02:11.740 --> 00:02:13.260]  即是什麼都有
[00:02:13.260 --> 00:02:16.020]  那麼聖經是不是這樣看的呢?
[00:02:16.020 --> 00:02:20.300]  究竟我們可不可以走進作者的心態裡面
[00:02:20.300 --> 00:02:23.300]  看看他想帶出一個什麼訊息呢?
[00:02:23.300 --> 00:02:26.220]  當我們想找一個圖案看聖經的時候
[00:02:26.220 --> 00:02:28.460]  通常都是找關鍵字
[00:02:28.460 --> 00:02:29.780]  看看一些結構
[00:02:29.780 --> 00:02:30.780]  看看一些文法
[00:02:30.780 --> 00:02:35.100]  今天我想和大家找一條鎖匙
[00:02:35.100 --> 00:02:38.820]  這條鎖匙可以貫穿剛才所有的章節
[00:02:38.820 --> 00:02:40.700]  你要看這幾個章節
[00:02:40.700 --> 00:02:42.660]  就用那條鎖匙
