
[00:00:00.000 --> 00:00:04.360]  上一次和大家正道的時候
[00:00:04.360 --> 00:00:07.680]  是講到彼得後書的第一章的頭一段
[00:00:07.680 --> 00:00:08.640]  一至十一節
[00:00:08.640 --> 00:00:09.640]  如果大家還記得
[00:00:09.640 --> 00:00:12.280]  就是這個真知識與真生命
[00:00:12.280 --> 00:00:15.480]  我們藉著這個真道認識上帝
[00:00:15.480 --> 00:00:19.960]  以致能夠得著生命
[00:00:19.960 --> 00:00:21.900]  提到這件事我想問一下
[00:00:21.900 --> 00:00:23.800]  靚英姐妹
[00:00:23.800 --> 00:00:26.480]  你有沒有知道聖經裏面講
[00:00:26.480 --> 00:00:30.480]  這個詞「靈命」或者「屬靈生命」
[00:00:30.480 --> 00:00:31.880]  我們有時候說「靈命」
[00:00:31.880 --> 00:00:33.280]  這個靈命很長進
[00:00:33.280 --> 00:00:34.480]  這個靈命人很好
[00:00:34.480 --> 00:00:35.600]  很愛住
[00:00:35.600 --> 00:00:41.200]  「靈命」這個詞在聖經哪裏有的?
[00:00:41.200 --> 00:00:45.240]  聖經哪裏講「靈命」?
[00:00:45.240 --> 00:00:46.400]  如果你不知道是正常的
[00:00:46.400 --> 00:00:49.400]  因為原來聖經裏面是沒有講「靈命」這個詞的
[00:00:49.400 --> 00:00:52.280]  所以這就是tricky question
[00:00:52.280 --> 00:00:55.520]  真是講「靈命」這個詞
[00:00:55.520 --> 00:01:01.480]  其實聖經裏面沒有特別用這個名詞
[00:01:01.480 --> 00:01:06.880]  當然聖經裏面講到我們追求成為一個屬靈的人
[00:01:06.880 --> 00:01:12.880]  在屬靈上能夠讓聖靈更加幫助我們
[00:01:12.880 --> 00:01:16.880]  但是原來靈命指的是屬神的生命
[00:01:16.880 --> 00:01:18.400]  屬神的生命就有了
[00:01:18.400 --> 00:01:20.240]  或者我們屬於基督的生命
[00:01:20.240 --> 00:01:23.880]  或者從基督裏面的新生命
[00:01:23.880 --> 00:01:28.920]  原來我們怎樣稱為「靈命好」呢?
[00:01:28.920 --> 00:01:33.120]  曾經有一位神學院的教授跟我們分享
[00:01:33.120 --> 00:01:36.360]  他說聖經裏面雖然沒有講「靈命」這個名詞
[00:01:36.360 --> 00:01:41.320]  但是他提到有很多的詞彙或者一些觀念
[00:01:41.320 --> 00:01:44.600]  來表達出一個「靈命好」的人是什麼呢?
[00:01:44.600 --> 00:01:46.480]  就好像我們都熟悉的
[00:01:46.480 --> 00:01:48.320]  譬如敬畏神
[00:01:48.320 --> 00:01:51.320]  譬如過敬虔的生活
[00:01:51.320 --> 00:01:54.560]  聖潔 公義
[00:01:54.560 --> 00:01:56.840]  有屬靈的智慧
[00:01:56.840 --> 00:01:59.920]  遵守和信服神的話
[00:01:59.920 --> 00:02:01.240]  信教主
[00:02:01.240 --> 00:02:02.800]  以神為樂
[00:02:02.800 --> 00:02:07.600]  特別在新約裏面有一個很重要的觀念就是在基督裏
[00:02:07.600 --> 00:02:12.320]  他說其實這些就是「靈命」長進的指標
[00:02:12.320 --> 00:02:16.560]  或者是「靈命」的一些真正的表現
[00:02:16.560 --> 00:02:22.680]  所以原來我們發覺聖經裏面不是很著重「靈命」的詞彙或者定義
[00:02:22.680 --> 00:02:25.360]  更加重要的就是那個「靈命」的表現
[00:02:25.360 --> 00:02:29.040]  來達致那個「靈命」的真實性
[00:02:29.040 --> 00:02:32.200]  當我們說我們得到一個屬神的生命
[00:02:32.200 --> 00:02:38.160]  我們其實最終追求的就是越來越像耶穌基督
[00:02:38.160 --> 00:02:40.120]  因為這個是耶穌基督的生命
[00:02:40.120 --> 00:02:42.480]  所以當我們領受了這個新生命
[00:02:42.480 --> 00:02:44.320]  即是說基督的生命的時候
[00:02:44.320 --> 00:02:47.240]  我們越來越能夠活出耶穌基督
[00:02:47.240 --> 00:02:48.360]  越來越像主
[00:02:48.360 --> 00:02:51.800]  這就證明我們的「靈命」是在長進的
[00:02:51.800 --> 00:02:56.640]  所以的確很需要時常想起基督的心意
[00:02:56.640 --> 00:03:02.200]  或者耶穌基督是怎樣活出什麼樣的生活和表現
[00:03:02.200 --> 00:03:05.040]  讓我們去追求更加像主
[00:03:05.040 --> 00:03:08.120]  這不只是在外表裏面像耶穌
[00:03:08.120 --> 00:03:12.160]  因為我們只可以想到二千多年的耶穌
[00:03:12.160 --> 00:03:16.320]  他的衣著和當時的生活環境可能很不同
[00:03:16.320 --> 00:03:20.560]  但是他著重的就是基督裏面那種生命的表現
[00:03:20.560 --> 00:03:24.320]  這就是超越時代和空間
[00:03:24.320 --> 00:03:26.040]  這也不是在知識上
[00:03:26.040 --> 00:03:30.120]  上次我們說過彼得很著重的真知識
[00:03:30.120 --> 00:03:33.800]  不只是頭腦的認識、知道
[00:03:33.800 --> 00:03:38.360]  而是經歷到神在生命當中的真實性
[00:03:38.360 --> 00:03:42.760]  以致他能夠在真正的生命裏面長進
[00:03:42.760 --> 00:03:47.040]  所以在彼得剛才講的時候
[00:03:47.040 --> 00:03:51.920]  有兩個很重要的都提到關乎真道
[00:03:51.920 --> 00:03:54.320]  所以什麼叫追求真道呢?
[00:03:54.320 --> 00:03:55.720]  視生命成長
[00:03:55.720 --> 00:03:57.200]  什麼是道呢?
[00:03:57.200 --> 00:03:58.840]  什麼叫真道呢?
[00:03:58.840 --> 00:04:01.720]  我們來看看彼得的陳述
[00:04:01.720 --> 00:04:03.280]  彼得在這裡講的時候
[00:04:03.280 --> 00:04:04.600]  他是帶著迫切性的
[00:04:04.600 --> 00:04:07.680]  因為知道他在地上的日子不多
[00:04:07.680 --> 00:04:10.680]  所以他說主會再很快回來
[00:04:10.680 --> 00:04:15.120]  但同時間他想到地上的帳篷快要完結了
[00:04:15.120 --> 00:04:18.280]  我們要結束在地上的生活了
[00:04:18.280 --> 00:04:20.280]  這是彼得當時的一種心情
[00:04:20.280 --> 00:04:22.680]  所以他既然知道自己快要離世了
[00:04:22.680 --> 00:04:28.160]  所以他再三提醒在地上追求
[00:04:28.160 --> 00:04:33.240]  讓神的真道在我們生命當中不斷成長的重要
[00:04:33.240 --> 00:04:38.360]  我們看看十二節到二十一節
[00:04:38.360 --> 00:04:41.920]  這裏就是彼得三番四次
[00:04:41.920 --> 00:04:46.840]  再三向門徒提醒和激勵他們
[00:04:46.840 --> 00:04:51.040]  我們一起從十二節開始讀
[00:04:51.040 --> 00:04:54.080]  你們雖然曉得這些事
[00:04:54.080 --> 00:04:58.440]  並且在你們已有的真道上堅固
