
[00:00:00.000 --> 00:00:02.240]  從前我在我的舞會侍奉的時候
[00:00:02.240 --> 00:00:05.000]  有一次舞會需要安納執事
[00:00:05.000 --> 00:00:09.080]  我的舞會的制度和乘機有點不相同
[00:00:09.080 --> 00:00:11.320]  我們的執事是終身制的
[00:00:11.320 --> 00:00:14.120]  終身的意思是當你被安納之後
[00:00:14.120 --> 00:00:15.880]  你一輩子就是執事了
[00:00:15.880 --> 00:00:17.880]  你只可以不再崗位
[00:00:17.880 --> 00:00:19.280]  即是說沒有負責任何事
[00:00:19.280 --> 00:00:21.280]  但你仍然是那位執事
[00:00:21.280 --> 00:00:23.680]  所以他就像牧師一樣
[00:00:23.680 --> 00:00:25.080]  是會被安納的
[00:00:25.080 --> 00:00:30.280]  當時我被委託負責一個執事的訓練班
[00:00:30.280 --> 00:00:32.280]  於是我就去準備了
[00:00:32.280 --> 00:00:36.480]  我編尋書局裏面不同的書籍
[00:00:36.480 --> 00:00:39.480]  甚至神學院裏面所有的書籍
[00:00:39.480 --> 00:00:42.480]  希望尋找到合用的教科書
[00:00:42.480 --> 00:00:44.480]  合用的參考書
[00:00:44.480 --> 00:00:45.880]  但結果我發現
[00:00:45.880 --> 00:00:47.480]  無論是坊間的書局
[00:00:47.480 --> 00:00:49.480]  又或者神學院裏面的圖書館
[00:00:49.480 --> 00:00:51.480]  其實有關執事訓練
[00:00:51.480 --> 00:00:53.480]  或者訓練執事的課程
[00:00:53.480 --> 00:00:55.480]  書籍其實是極少的
[00:00:55.480 --> 00:00:56.680]  我只是找到一本
[00:00:56.680 --> 00:00:57.680]  在神學院裏面找到一本
[00:00:57.680 --> 00:00:59.280]  七十年代的時候寫的
[00:00:59.280 --> 00:01:02.280]  很舊很舊的關於執事訓練的書
[00:01:02.280 --> 00:01:05.080]  以及找到一本外國的期刊
[00:01:05.080 --> 00:01:07.080]  是專門關於執事的
[00:01:07.080 --> 00:01:10.280]  在裏面有很多的執事會寫一些文章
[00:01:10.280 --> 00:01:12.280]  分享在裏面侍奉的困難
[00:01:12.280 --> 00:01:14.680]  當我去尋找之後
[00:01:14.680 --> 00:01:16.280]  我發現一件事
[00:01:16.280 --> 00:01:19.480]  就是所有關於所有合用的書
[00:01:19.480 --> 00:01:22.680]  其實都是和教會領袖訓練有關的
[00:01:22.680 --> 00:01:24.880]  就是說他寫的是教會領袖
[00:01:24.880 --> 00:01:26.880]  而不是寫執事的訓練
[00:01:26.880 --> 00:01:29.480]  而這個教會領袖這個詞語
[00:01:29.480 --> 00:01:31.480]  在內容上他既包括了
[00:01:31.480 --> 00:01:35.080]  教會裏面的傳道人牧師
[00:01:35.080 --> 00:01:37.680]  也包括了評訓圖裏面的領袖
[00:01:37.680 --> 00:01:43.280]  譬如說長老、執事、導師、團長、職員等等
[00:01:43.280 --> 00:01:46.680]  由此可見似乎在聖經裏面的教導
[00:01:46.680 --> 00:01:50.680]  所說到執這個領袖的時候
[00:01:50.680 --> 00:01:55.880]  他並不是單單針對傳道人或牧師
[00:01:55.880 --> 00:01:59.480]  而是針對所有教會裏面的領袖
[00:01:59.480 --> 00:02:01.080]  也就是可以這麼說
[00:02:01.080 --> 00:02:02.880]  在神的眼中
[00:02:02.880 --> 00:02:09.880]  教會領袖並不是分為執事、牧者和執事兩個類別
[00:02:09.880 --> 00:02:11.880]  而是兩者都在神的面前
[00:02:11.880 --> 00:02:13.680]  他們同樣是神的僕人
[00:02:13.680 --> 00:02:15.480]  他們都是侍奉神的
[00:02:15.480 --> 00:02:18.880]  所以神對兩者有相同的要求
[00:02:19.480 --> 00:02:21.280]  今天我的講題是
[00:02:21.280 --> 00:02:24.080]  「各盡其職 團隊的侍奉」
[00:02:24.080 --> 00:02:25.880]  意思就是說在教會裏面
[00:02:25.880 --> 00:02:28.280]  無論是牧者又或者是長執
[00:02:28.280 --> 00:02:30.480]  無論是全職侍奉的傳道人
[00:02:30.480 --> 00:02:34.280]  或者以評訓圖的身份在教會裏面侍奉的領袖
[00:02:34.280 --> 00:02:37.480]  神對兩者有同樣嚴格的要求
[00:02:37.480 --> 00:02:40.680]  並且兩者應該在神面前一同合作
[00:02:40.680 --> 00:02:42.680]  來建立神的家
[00:02:42.680 --> 00:02:44.280]  牧者和長執
[00:02:44.280 --> 00:02:45.880]  應該成為一個團隊
[00:02:45.880 --> 00:02:48.880]  一起為同一個目標來努力
[00:02:48.880 --> 00:02:53.280]  而這個目標就是讓神的名在教會當中被高舉
[00:02:53.280 --> 00:02:55.280]  在這個團隊裏面
[00:02:55.280 --> 00:02:58.880]  放下自己共同為神的旨意來努力
[00:02:58.880 --> 00:03:00.480]  才是最重要的
[00:03:00.480 --> 00:03:02.080]  在這個團隊裏面
[00:03:02.080 --> 00:03:03.880]  不分你和我
[00:03:03.880 --> 00:03:07.880]  要努力的就是要讓神在教會當中成功
[00:03:07.880 --> 00:03:09.280]  在團隊裏面
[00:03:09.280 --> 00:03:10.880]  不分你和我
[00:03:10.880 --> 00:03:13.680]  團隊的成功就是我的成功
[00:03:13.680 --> 00:03:15.480]  在這個團隊裏面
[00:03:15.480 --> 00:03:17.880]  你的成功就是我的成功
[00:03:17.880 --> 00:03:19.880]  我的成功也是你的成功
[00:03:19.880 --> 00:03:23.480]  因為無論是整個團隊的成功
[00:03:23.480 --> 00:03:24.480]  又或者是你的成功
[00:03:24.480 --> 00:03:25.480]  又或者是我的成功
[00:03:25.480 --> 00:03:27.880]  其實都是神的成功
[00:03:27.880 --> 00:03:31.680]  今天讓我們從聖經裏面思考一下這個真理
[00:03:31.680 --> 00:03:33.680]  並且讓我們一起努力
[00:03:33.680 --> 00:03:39.080]  讓成績在神面前成為一間蒙神恩典的教會
[00:03:39.080 --> 00:03:40.680]  而我們一起努力的
[00:03:40.680 --> 00:03:42.280]  不是誰人的成功
[00:03:42.280 --> 00:03:45.080]  而是神在我們當中得著榮耀
[00:03:45.080 --> 00:03:48.080]  讓我們一起有一個禱告
[00:03:48.080 --> 00:03:55.080]  主求你讓我們有基督耶穌的心為心
[00:03:55.080 --> 00:03:59.080]  當耶穌基督在亞西馬利湖裏面向神禱告的時候
[00:03:59.080 --> 00:04:00.080]  祂說
[00:04:00.080 --> 00:04:03.080]  祂只是願神的旨意成就
[00:04:03.080 --> 00:04:07.080]  今天求你也讓我們每一個在教會當中的弟兄姊妹
[00:04:07.080 --> 00:04:10.080]  每一個被你呼召去侍奉的人
[00:04:10.080 --> 00:04:11.680]  無論是牧者
[00:04:11.680 --> 00:04:13.080]  無論是傳道人
[00:04:13.080 --> 00:04:15.080]  無論是堂委執事
[00:04:15.080 --> 00:04:17.080]  無論是導師
[00:04:17.080 --> 00:04:18.080]  無論是職員
[00:04:18.080 --> 00:04:21.080]  讓我們也以基督的心為心
[00:04:21.080 --> 00:04:24.080]  我們願祢的旨意在我們身上成就
[00:04:24.080 --> 00:04:27.080]  願祢的旨意在教會當中成就
[00:04:27.080 --> 00:04:29.080]  願祢被高舉
[00:04:29.080 --> 00:04:31.080]  求祢來紀念我們
[00:04:31.080 --> 00:04:32.080]  奉耶穌基督名求
[00:04:32.080 --> 00:04:37.080]  年輕的時候我常常聽到我們的長輩
[00:04:37.080 --> 00:04:38.080]  我們的牧者
[00:04:38.080 --> 00:04:41.080]  他講到侍奉是生命的侍奉
[00:04:41.080 --> 00:04:44.080]  那時候我們比較勤力地看屬靈書
[00:04:44.080 --> 00:04:46.080]  現在懶惰了
[00:04:46.080 --> 00:04:50.080]  常常看到屬靈書都講到生命的侍奉
[00:04:50.080 --> 00:04:51.080]  不過有些時候
[00:04:51.080 --> 00:04:54.080]  我都不太明白生命這個詞語
[00:04:54.080 --> 00:04:56.080]  我覺得這個詞語很抽象
[00:04:56.080 --> 00:04:59.080]  我還記得當我在神學院裏面讀道學碩士的時候
[00:04:59.080 --> 00:05:01.080]  我跟同學分享說
[00:05:01.080 --> 00:05:03.080]  我覺得這個詞語太過抽象
[00:05:03.080 --> 00:05:06.080]  抽象到每個人都有不同的意思
[00:05:06.080 --> 00:05:08.080]  所以我覺得我會放棄這個詞語
[00:05:08.080 --> 00:05:09.080]  不用這個詞語
[00:05:09.080 --> 00:05:11.080]  結果換來一個同學的指責
[00:05:11.080 --> 00:05:12.080]  批評
[00:05:12.080 --> 00:05:16.080]  我今天還記得他提醒我的說話
[00:05:16.080 --> 00:05:17.080]  不過日子久了之後
[00:05:17.080 --> 00:05:20.080]  我開始接受這個詞語
[00:05:20.080 --> 00:05:23.080]  因為我覺得這個詞語其實很有意思
[00:05:23.080 --> 00:05:25.080]  因為我也開始明白
[00:05:25.080 --> 00:05:28.080]  這個詞語裏面的意義是什麼
[00:05:28.080 --> 00:05:31.080]  生命的侍奉指的是什麼呢?
[00:05:31.080 --> 00:05:33.080]  指的是神所要求的
[00:05:33.080 --> 00:05:35.080]  在侍奉裏所要求的
[00:05:35.080 --> 00:05:37.080]  其實是要求那個侍奉者
[00:05:37.080 --> 00:05:38.080]  這個本人
[00:05:38.080 --> 00:05:39.080]  而不是這個侍奉者
[00:05:39.080 --> 00:05:41.080]  他做了什麼出來
[00:05:41.080 --> 00:05:43.080]  我們的社會重視的
[00:05:43.080 --> 00:05:45.080]  或者我們社會今天的工作裏面重視的
[00:05:45.080 --> 00:05:47.080]  是一個工作的人
[00:05:47.080 --> 00:05:49.080]  他有什麼成績成果
[00:05:49.080 --> 00:05:50.080]  有什麼業績
[00:05:50.080 --> 00:05:51.080]  有什麼果效
[00:05:51.080 --> 00:05:53.080]  因此你可以是一個
[00:05:53.080 --> 00:05:57.080]  又嫖又賭又煙又酒又說髒話又難相處的人
[00:05:57.080 --> 00:06:00.080]  但是他是一個業績最好的員工
[00:06:00.080 --> 00:06:03.080]  老闆升你職加你工資
[00:06:03.080 --> 00:06:06.080]  公司對你不會要求其他東西的
[00:06:06.080 --> 00:06:08.080]  你要求的只是你的業績
[00:06:08.080 --> 00:06:11.080]  你所有的其他東西只是你的私生活
[00:06:11.080 --> 00:06:12.080]  公司不會要求你
[00:06:12.080 --> 00:06:15.080]  只要你不要影響公司的業績就可以了
[00:06:15.080 --> 00:06:17.080]  我初初出來社會做事的時候
[00:06:17.080 --> 00:06:20.080]  我和十字固裏面工作
[00:06:20.080 --> 00:06:22.080]  當時有一位同事
[00:06:22.080 --> 00:06:25.080]  是一位晚間兼職的同事
[00:06:25.080 --> 00:06:28.080]  他有三份工
[00:06:28.080 --> 00:06:30.080]  日間他做銷售員
[00:06:30.080 --> 00:06:31.080]  他這樣說
[00:06:31.080 --> 00:06:33.080]  他說每天回到公司裏面報到
[00:06:33.080 --> 00:06:35.080]  就可以走了
[00:06:35.080 --> 00:06:36.080]  然後他做什麼
[00:06:36.080 --> 00:06:37.080]  公司不理你的
[00:06:37.080 --> 00:06:38.080]  整天不上班
[00:06:38.080 --> 00:06:40.080]  整天睡覺都可以
[00:06:40.080 --> 00:06:42.080]  只要你按時按後
[00:06:42.080 --> 00:06:46.080]  每個月將公司給你的要求的數目
[00:06:46.080 --> 00:06:47.080]  交上去
[00:06:47.080 --> 00:06:49.080]  即是說你做了這麼多生意
[00:06:49.080 --> 00:06:50.080]  交足數了
[00:06:50.080 --> 00:06:52.080]  這樣就可以了
[00:06:52.080 --> 00:06:55.080]  然後公司報到完之後
[00:06:55.080 --> 00:06:57.080]  他就開始回第二份工了
[00:06:57.080 --> 00:07:00.080]  這份工就做副警
[00:07:00.080 --> 00:07:01.080]  然後晚間
[00:07:01.080 --> 00:07:03.080]  他又來到洪拾柱那裏做第三份工
[00:07:03.080 --> 00:07:06.080]  就做了一份晚上的兼職
[00:07:06.080 --> 00:07:07.080]  不過這位同事
[00:07:07.080 --> 00:07:10.080]  是所有同事都不喜歡的人
[00:07:10.080 --> 00:07:11.080]  他既吸煙
[00:07:11.080 --> 00:07:12.080]  又說髒話
[00:07:12.080 --> 00:07:16.080]  又經常誇讚自己很高傲
[00:07:16.080 --> 00:07:18.080]  經常拿著一本色情雜誌
[00:07:18.080 --> 00:07:20.080]  由於他和我同一張桌子
[00:07:20.080 --> 00:07:22.080]  所以早上上班的時候
[00:07:22.080 --> 00:07:24.080]  拉開櫃桶就會看到一本色情雜誌在那裏
[00:07:24.080 --> 00:07:26.080]  他又撩女同事
[00:07:26.080 --> 00:07:28.080]  又約女同事出街
[00:07:28.080 --> 00:07:30.080]  結果有一次有一個女同事
[00:07:30.080 --> 00:07:31.080]  請了一個黑社會的人
[00:07:31.080 --> 00:07:33.080]  來到我們的辦公室
[00:07:33.080 --> 00:07:34.080]  來警告他
[00:07:34.080 --> 00:07:37.080]  向他講一些警告的說話
[00:07:37.080 --> 00:07:40.080]  所以最後他就被上司解僱了
[00:07:40.080 --> 00:07:42.080]  他離職之前就和大家拍照
[00:07:42.080 --> 00:07:43.080]  留念
[00:07:43.080 --> 00:07:44.080]  我刻意不和他拍
[00:07:44.080 --> 00:07:47.080]  每張照片都安排到他和其他人拍
[00:07:47.080 --> 00:07:49.080]  所以他的照片裏面沒有我出現
[00:07:49.080 --> 00:07:51.080]  我也沒有他的照片
