
[00:00:00.000 --> 00:00:03.600]  多謝師班藉著這首信復
[00:00:03.600 --> 00:00:08.960]  提醒我們來跟隨神
[00:00:08.960 --> 00:00:12.000]  不是我們自己選擇我們的道路
[00:00:12.000 --> 00:00:15.360]  而是我們願意信服神的引導
[00:00:15.360 --> 00:00:21.120]  今天我們一齊思想如何跟隨耶穌學信復
[00:00:21.120 --> 00:00:24.080]  我們一起讀一段聖經作為開始
[00:00:24.080 --> 00:00:26.240]  我們一齊思考
[00:00:26.240 --> 00:00:28.240]  我們打開菲洛比書
[00:00:30.000 --> 00:00:34.320]  第二章第六節到第十一節
[00:00:34.320 --> 00:00:37.360]  菲洛比書第二章第六節到第十一節
[00:00:37.360 --> 00:00:40.080]  找到我們同聲中讀這段經文
[00:00:40.080 --> 00:00:42.400]  這段經文都很熟悉
[00:00:42.400 --> 00:00:45.280]  我們再一次來中讀這段經文
[00:00:45.280 --> 00:00:46.160]  預備起
[00:00:46.160 --> 00:00:48.320]  他伴有神的形象
[00:00:48.320 --> 00:00:52.000]  不要自己與神同等為強奪
[00:00:52.000 --> 00:00:54.000]  不追忌
[00:00:54.000 --> 00:00:56.000]  取了奴僕的形象
[00:00:56.000 --> 00:00:57.760]  成為人的樣式
[00:00:57.760 --> 00:00:59.520]  既有人的樣子
[00:00:59.520 --> 00:01:01.200]  就自己悲鳴
[00:01:01.200 --> 00:01:02.640]  全心馴服
[00:01:02.640 --> 00:01:04.000]  以至於死
[00:01:04.000 --> 00:01:06.320]  且死在十字架上
[00:01:06.320 --> 00:01:09.360]  所以神將他升為至高
[00:01:09.360 --> 00:01:13.200]  不明之明
[00:01:13.200 --> 00:01:15.360]  一切在天上的
[00:01:15.360 --> 00:01:16.400]  地上的
[00:01:16.400 --> 00:01:17.920]  和地底下的
[00:01:17.920 --> 00:01:19.280]  因耶穌的名
[00:01:19.280 --> 00:01:20.560]  無不屈膝
[00:01:20.560 --> 00:01:23.600]  無不口稱耶穌基督為主
[00:01:23.600 --> 00:01:26.240]  使榮耀歸於菩薩
[00:01:26.240 --> 00:01:31.360]  跟耶穌來學信復
[00:01:31.360 --> 00:01:34.960]  我們怎樣去跟耶穌呢
[00:01:34.960 --> 00:01:39.280]  今天我們就來思想這個主題
[00:01:39.280 --> 00:01:42.160]  在1986年1月
[00:01:42.160 --> 00:01:45.200]  一個很清朗的早晨
[00:01:45.200 --> 00:01:48.960]  穿梭機載著七個太空人
[00:01:48.960 --> 00:01:52.240]  來到甘迺迪太空中心
[00:01:52.240 --> 00:01:54.800]  準備起飛
[00:01:54.800 --> 00:01:56.800]  當時很多群眾
[00:01:56.800 --> 00:02:00.560]  來看穿梭機升空
[00:02:00.560 --> 00:02:05.680]  正是大家看到它離開地面
[00:02:05.680 --> 00:02:06.960]  進入太空
[00:02:06.960 --> 00:02:10.160]  大家都感到很震撼
[00:02:10.160 --> 00:02:15.280]  當穿梭機離開支架塔的時候
[00:02:15.280 --> 00:02:18.480]  那班工作人員好像鬆了一口氣
[00:02:18.480 --> 00:02:21.680]  但豈知73秒之後
