
[00:00:00.000 --> 00:00:04.560]  路加福音有一段經文叫做《平地寶訓》
[00:00:04.560 --> 00:00:08.320]  聽名字就覺得似曾相識又好像不太相識
[00:00:08.320 --> 00:00:12.600]  因爲你記得馬太福音裏有一段叫做《登山寶訓》
[00:00:12.600 --> 00:00:15.240]  在路加福音的《平地寶訓》裏
[00:00:15.240 --> 00:00:18.240]  它和《登山寶訓》的內容有些類似
[00:00:18.240 --> 00:00:21.320]  都是講到什麼樣的人是有福
[00:00:21.320 --> 00:00:23.000]  要講到愛仇敵
[00:00:23.000 --> 00:00:25.320]  不要論斷人等等
[00:00:25.320 --> 00:00:28.440]  不過馬太福音裏的《登山寶訓》就是上山
[00:00:28.440 --> 00:00:31.680]  然後耶穌坐下教訓衆人
[00:00:31.680 --> 00:00:33.920]  路加福音的《平地寶訓》
[00:00:33.920 --> 00:00:39.480]  就是耶穌下山的時候在一個平原教導衆人
[00:00:39.480 --> 00:00:42.400]  而在這段《平地寶訓》結束的部分
[00:00:42.400 --> 00:00:44.640]  都和《登山寶訓》有些相似
[00:00:44.640 --> 00:00:48.000]  都提到兩種樹木的比喻
[00:00:48.000 --> 00:00:51.160]  也提到兩種根基的比喻
[00:00:51.160 --> 00:00:54.600]  很顯然這兩位福音書的作者
[00:00:54.600 --> 00:00:57.520]  都是用這兩個比喻作爲
[00:00:57.520 --> 00:01:02.200]  耶穌基督很重要的一個比較長的教導的結尾
[00:01:02.200 --> 00:01:04.240]  今天我們就會讀路加福音
[00:01:04.240 --> 00:01:06.080]  《平地寶訓》裏面
[00:01:06.080 --> 00:01:08.680]  最後部分的這兩個比喻
[00:01:08.680 --> 00:01:11.000]  好樹和壞樹的比喻
[00:01:11.000 --> 00:01:15.080]  也更加重要的就是那兩種根基的比喻
[00:01:15.080 --> 00:01:19.640]  讓我們一同去領悟主耶穌更多天國的真理
[00:01:19.640 --> 00:01:20.440]  我們先禱告
[00:01:20.440 --> 00:01:23.240]  將這段神的交託給主
[00:01:23.240 --> 00:01:26.800]  主耶穌基督我們打開禰的華語
[00:01:26.800 --> 00:01:29.120]  求禰一靈指教我們
[00:01:29.120 --> 00:01:31.360]  以致我們能夠領悟
[00:01:31.360 --> 00:01:33.680]  能夠聽道而行道
[00:01:33.680 --> 00:01:35.040]  幫助我們
[00:01:35.040 --> 00:01:38.080]  祈禱奉主耶穌基督得勝明智祈求
[00:01:38.080 --> 00:01:39.400]  阿們
[00:01:39.400 --> 00:01:46.960]  在路加福音《平地寶訓》的第一個比喻
[00:01:46.960 --> 00:01:48.320]  就是它的結尾部分
[00:01:48.320 --> 00:01:49.760]  我請大家幫我讀出這一節
[00:01:49.760 --> 00:01:51.760]  43節預備起
