
[00:00:00.000 --> 00:00:08.000]  這篇文章給予我們一個榜樣
[00:00:08.000 --> 00:00:16.000]  這篇文章講述了一次很大的動盪
[00:00:16.000 --> 00:00:24.000]  就是在大選之前 大家在投票時很緊張
[00:00:24.000 --> 00:00:28.000]  在大選前兩個星期
[00:00:28.000 --> 00:00:30.000]  就在耶加達這個地方
[00:00:30.000 --> 00:00:35.000]  就是在中部 他們有些政治大會
[00:00:35.000 --> 00:00:42.000]  完了之後 群眾突然間很騷動起來 很不滿
[00:00:42.000 --> 00:00:47.000]  連群結隊做一些搗亂的事情
[00:00:47.000 --> 00:00:54.000]  有些放火燒車 有些甚至做搶掠 殺戮的事情
[00:00:54.000 --> 00:01:02.000]  估計有一百萬這樣的人在這個聚會散出來
[00:01:02.000 --> 00:01:08.000]  David的宣教同工住在大樓裏
[00:01:08.000 --> 00:01:12.000]  這群群眾就會去到那個地方
[00:01:12.000 --> 00:01:14.000]  所以很危急
[00:01:14.000 --> 00:01:20.000]  特別是一些外國宣教士 更加成為他們攻擊的對象
[00:01:20.000 --> 00:01:27.000]  當時David還沒有回到宣教士的大樓
[00:01:27.000 --> 00:01:33.000]  他看到很多車被燒著 很混亂的場面
[00:01:33.000 --> 00:01:35.000]  前面的車很緊貼他
[00:01:35.000 --> 00:01:41.000]  司機也被人拉下車 被人搖到快要倒下
[00:01:41.000 --> 00:01:46.000]  突然間有個暴徒走到他那裏 一鎚打他的車
[00:01:46.000 --> 00:01:50.000]  導致他成為下一個被搶掠者
[00:01:50.000 --> 00:01:58.000]  當時的車被燒著 還有幾秒鐘給David去應變
[00:01:58.000 --> 00:02:02.000]  但那些暴徒已經上了車頂
[00:02:02.000 --> 00:02:07.000]  想推倒他的車
[00:02:07.000 --> 00:02:16.000]  當時David唯有求生之計 看看逃生的方向
[00:02:16.000 --> 00:02:20.000]  馬上看到一條路 馬上開車
[00:02:20.000 --> 00:02:23.000]  那些暴徒就跑了出去
[00:02:23.000 --> 00:02:27.000]  他就拼命地不知去哪裏 一直踩著車
[00:02:27.000 --> 00:02:30.000]  就看到有個工廠的地方
[00:02:30.000 --> 00:02:34.000]  無論如何都要到裏面避一避
[00:02:34.000 --> 00:02:42.000]  就看到有武裝警衛在門口守著
[00:02:42.000 --> 00:02:48.000]  但那些武裝警衛不知道他是甚麼人
[00:02:48.000 --> 00:02:54.000]  可能是暴徒也說要不要開槍射David呢
[00:02:54.000 --> 00:02:56.000]  一輛車走過來
[00:02:56.000 --> 00:02:59.000]  就在這個時候David就煞停了車
[00:02:59.000 --> 00:03:07.000]  差不多離工廠大閘幾呎之近
[00:03:07.000 --> 00:03:09.000]  因為當時大閘是關閉的
[00:03:09.000 --> 00:03:14.000]  後來那些暴徒就跟著來 用石頭擲David的車
[00:03:14.000 --> 00:03:18.000]  於是那些工廠警衛就知道這是平民
[00:03:18.000 --> 00:03:20.000]  他不是搗亂的
[00:03:20.000 --> 00:03:22.000]  就馬上開了閘讓他進去
[00:03:22.000 --> 00:03:26.000]  進去裏面其實有一大班人在避難
[00:03:26.000 --> 00:03:31.000]  大家都不敢多說話 氣氛很凝重
[00:03:31.000 --> 00:03:33.000]  沒有人能夠自由出入
[00:03:33.000 --> 00:03:36.000]  因為很害怕一出去不知道會有甚麼後果
[00:03:36.000 --> 00:03:39.000]  在裏面一班人說起
[00:03:39.000 --> 00:03:43.000]  David就想問一下那個宣教大樓有沒有事
[00:03:43.000 --> 00:03:45.000]  就問一下其中一些人
[00:03:45.000 --> 00:03:49.000]  有些人就說那間大樓燒著了 甚麼都沒有了
[00:03:49.000 --> 00:03:53.000]  David就因為太太又在那裏
[00:03:53.000 --> 00:03:57.000]  很擔心所有一班宣教的同工在裏面
[00:03:57.000 --> 00:03:59.000]  怎麼辦呢
[00:03:59.000 --> 00:04:02.000]  他就覺得神呀 為甚麼這件事會發生呢
[00:04:02.000 --> 00:04:05.000]  為甚麼你讓我家人遭遇這些事呢
[00:04:05.000 --> 00:04:09.000]  後來原來這個訊息是錯誤的
[00:04:09.000 --> 00:04:12.000]  因為一直燒都不知道燒哪間的
[00:04:12.000 --> 00:04:14.000]  他們就說燒了大樓
[00:04:14.000 --> 00:04:17.000]  這件事就平息了
[00:04:17.000 --> 00:04:20.000]  其實在這個混亂當中有很多死傷
[00:04:20.000 --> 00:04:28.000]  其實我們都知道很多的事實是告訴我們
[00:04:28.000 --> 00:04:33.000]  很多的爭奪 很多的世人的心腸
[00:04:33.000 --> 00:04:37.000]  其實很容易我們都會受到有意無意的傷害
[00:04:37.000 --> 00:04:40.000]  危難很多時候都會突然間發生
[00:04:40.000 --> 00:04:44.000]  這些情況我們都會有些驚懼
[00:04:44.000 --> 00:04:47.000]  不知道你們怎樣去面對這些驚懼
[00:04:47.000 --> 00:04:52.000]  有時這些驚懼會幫我們成長
[00:04:52.000 --> 00:04:57.000]  但亦有時這些驚懼會使我們越來越萎縮
[00:04:57.000 --> 00:05:00.000]  譬如有些我們被人傷害過
[00:05:00.000 --> 00:05:03.000]  我們很害怕再次被人傷害
[00:05:03.000 --> 00:05:06.000]  我們就開始慢慢退縮
[00:05:06.000 --> 00:05:12.000]  但裏面就埋藏了很多的憤怒 苦毒
[00:05:12.000 --> 00:05:14.000]  我們都不自知
[00:05:14.000 --> 00:05:17.000]  以至聖經叫我們過一個好的品格
[00:05:17.000 --> 00:05:19.000]  愛人 去憐憫
[00:05:19.000 --> 00:05:22.000]  可能我們不知不覺越來越減退
[00:05:22.000 --> 00:05:25.000]  又有時一些很危難的事情
[00:05:25.000 --> 00:05:26.000]  身體的病患
[00:05:26.000 --> 00:05:30.000]  又或者一些突然間的危難 危急發生的時候
[00:05:30.000 --> 00:05:33.000]  我們好像手足無措
[00:05:33.000 --> 00:05:35.000]  究竟怎樣再走前面的路呢?
[00:05:35.000 --> 00:05:39.000]  我們會否忘記了神給我們的使命呢?
[00:05:39.000 --> 00:05:41.000]  就好像David那樣
[00:05:41.000 --> 00:05:43.000]  我們會怎樣去面對我們的人生呢?
[00:05:43.000 --> 00:05:46.000]  經常都有這些驚惶在當中
[00:05:46.000 --> 00:05:50.000]  今天我們就看看尼西米記第六章十節至十四節
[00:05:50.000 --> 00:05:54.000]  我們看看尼西米一個屬靈的領袖
[00:05:54.000 --> 00:05:57.000]  他很有計劃 很有策略
[00:05:57.000 --> 00:06:00.000]  他怎樣面對恐懼呢?
[00:06:00.000 --> 00:06:07.000]  如果我們看回其實恐懼在建造耶路撒冷的城牆
[00:06:07.000 --> 00:06:13.000]  這個城牆由開始到現在我們看到的經文不斷地發生
[00:06:13.000 --> 00:06:15.000]  由開始就是這樣
[00:06:15.000 --> 00:06:20.000]  但這個城牆我們要知道不是一個人的意欲
[00:06:20.000 --> 00:06:22.000]  其實這個城牆很有意義
[00:06:22.000 --> 00:06:24.000]  能夠使得神的選民
[00:06:24.000 --> 00:06:26.000]  這些被擄歸回的人
[00:06:26.000 --> 00:06:28.000]  他們得罪了神
[00:06:28.000 --> 00:06:30.000]  他們被擄到巴比倫
[00:06:30.000 --> 00:06:32.000]  然後回來歸回
[00:06:32.000 --> 00:06:34.000]  他們要重建家園
[00:06:34.000 --> 00:06:36.000]  白費代興的時候
[00:06:36.000 --> 00:06:38.000]  這個城牆很重要
[00:06:38.000 --> 00:06:40.000]  以至他們在當中能夠安定的生活
[00:06:40.000 --> 00:06:42.000]  有敬拜的生活
[00:06:42.000 --> 00:06:46.000]  最終能夠將神的榮耀傳到外邦
[00:06:46.000 --> 00:06:50.000]  這是最重要的一個神的心意
[00:06:50.000 --> 00:06:53.000]  但是當他重建這個城牆的時候
[00:06:53.000 --> 00:06:58.000]  鄰近這些敵人就一直攻擊
[00:06:58.000 --> 00:07:02.000]  我們看到一直是對整個群體的攻擊
[00:07:02.000 --> 00:07:04.000]  譬如在第四章
[00:07:04.000 --> 00:07:07.000]  當他們要重建這個城牆的時候
[00:07:07.000 --> 00:07:09.000]  在第四章十一節就說
[00:07:09.000 --> 00:07:10.000]  我們的敵人說
[00:07:10.000 --> 00:07:12.000]  趁他們不知道看不見的時候
[00:07:12.000 --> 00:07:14.000]  我們進入他們中間
[00:07:14.000 --> 00:07:15.000]  殺了他們
[00:07:15.000 --> 00:07:17.000]  使工作停止
[00:07:17.000 --> 00:07:19.000]  就要他們停止工作
[00:07:19.000 --> 00:07:21.000]  來到第六章
[00:07:21.000 --> 00:07:23.000]  就不是攻擊那些人
[00:07:23.000 --> 00:07:25.000]  那些人民一班的群眾
[00:07:25.000 --> 00:07:28.000]  是攻擊領袖李希米
[00:07:28.000 --> 00:07:31.000]  首先就想用一些陰謀引他出城外
[00:07:31.000 --> 00:07:33.000]  然後害他
[00:07:33.000 --> 00:07:35.000]  接著就用一些信
[00:07:35.000 --> 00:07:37.000]  誣蔑他
[00:07:37.000 --> 00:07:39.000]  說你想做猶太人的王
[00:07:39.000 --> 00:07:42.000]  我們知道你是這樣想謀反的
[00:07:42.000 --> 00:07:45.000]  以致李希米懼怕
[00:07:45.000 --> 00:07:48.000]  最後我們看到第九節說
[00:07:48.000 --> 00:07:51.000]  就希望他們能夠使他們懼怕
[00:07:51.000 --> 00:07:53.000]  然後他們的手就軟弱了
[00:07:53.000 --> 00:07:54.000]  不能工作
[00:07:54.000 --> 00:07:56.000]  以致不能員工
[00:07:56.000 --> 00:07:58.000]  目的就是這樣
[00:07:58.000 --> 00:08:00.000]  一步一步的逼近
[00:08:00.000 --> 00:08:03.000]  這裡十節至十四節
[00:08:03.000 --> 00:08:06.000]  更加說到要危害李希米的生命
[00:08:06.000 --> 00:08:09.000]  去殺了他
[00:08:09.000 --> 00:08:14.000]  所以這個恐懼越來越大
[00:08:14.000 --> 00:08:16.000]  你想想李希米
[00:08:16.000 --> 00:08:19.000]  面對著外憂內患
[00:08:19.000 --> 00:08:21.000]  現在就直接攻擊他
[00:08:21.000 --> 00:08:23.000]  作為一個領袖
[00:08:23.000 --> 00:08:25.000]  如何去面對這個恐懼呢
[00:08:25.000 --> 00:08:27.000]  或者我們首先看看
[00:08:27.000 --> 00:08:31.000]  我們看看第十一節
